Messstelle:                ;Oslip, Bl 33
HZB-Nummer:                ;345272
HD-Nummer:                 ;33
DBMS-Nummer:               ;1002340
PorenGW-Gebiet:            ;313 Wulkatal
Grundwasserkörper:         ;Gruppe Wulkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1997
 Geländehöhe:              ;136,08
 Messpunkthöhe:            ;136,93
 Sohllage:                 ;130,43
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1997               ;16 37 52                 ;47 50 10
  31.12.1996               ;16 37 47                 ;47 50 08
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.1997 09:00:00   ;   132,70 ;     
04.09.1998 09:00:00   ;   132,31 ;     
03.01.1999 09:00:00   ;   132,90 ;     
29.10.2000 09:00:00   ;   132,42 ;     
12.08.2001 09:00:00   ;   132,27 ;     
01.01.2002 00:00:05   ;   132,29 ;     
08.12.2003 09:00:00   ;   132,26 ;     
05.01.2004 09:00:00   ;   132,26 ;     
10.01.2005 09:00:00   ;   132,31 ;     
01.01.2006 00:00:05   ;   132,79 ;     
20.08.2007 09:00:00   ;   132,40 ;     
15.12.2008 09:00:00   ;   132,82 ;     
07.12.2009 09:00:00   ;   133,13 ;     
19.07.2010 08:00:00   ;   132,96 ;     
12.12.2011 08:00:00   ;   132,43 ;     
09.07.2012 08:00:00   ;   132,30 ;     
01.01.2013 00:00:05   ;   132,51 ;     
03.02.2014 08:00:00   ;   132,80 ;     
31.12.2015 23:59:55   ;   132,70 ;     
31.12.2016 23:59:55   ;   132,30 ;     
06.02.2017 08:00:00   ;   132,24 ;     
02.01.2018 08:00:00   ;   132,26 ;     
28.10.2019 08:00:00   ;   132,27 ;     
31.08.2020 08:00:00   ;   132,16 ;     
06.12.2021 08:00:00   ;   132,21 ;     
