Messstelle:                ;Ebbs, Bl  8 (171)
HZB-Nummer:                ;346791
HD-Nummer:                 ;
DBMS-Nummer:               ;7004178
Fremdnummer:               ;GW70508067
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Grenzkraftwerke GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.2003
 Geländehöhe:              ;481,20
 Messpunkthöhe:            ;482,00
 Sohllage:                 ;467,75
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  02.01.1984               ;12 13 22                 ;47 37 06
  01.01.1984               ;12 12 21                 ;47 37 00
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.03.1984 12:00:00   ;   471,56 ;     
12.03.1985 12:00:00   ;   471,54 ;     
29.12.1986 07:01:00   ;   471,29 ;     
09.02.1987 07:01:00   ;   471,29 ;     
07.03.1988 07:01:00   ;   471,76 ;     
31.12.1989 23:59:55   ;   471,51 ;     
31.12.1990 23:59:55   ;   471,21 ;     
29.04.1991 07:01:00   ;   470,96 ;     
03.02.1992 07:01:00   ;   471,26 ;     
01.01.1993 00:00:05   ;   472,08 ;     
20.12.1994 07:01:00   ;   471,78 ;     
17.01.1995 07:01:00   ;   471,78 ;     
07.05.1996 07:01:00   ;   471,63 ;     
25.03.1997 07:01:00   ;   471,91 ;     
31.12.1999 23:59:55   ;   472,04 ;     
28.01.2000 09:00:00   ;   472,02 ;     
21.02.2001 09:00:00   ;   471,94 ;     
17.03.2002 13:00:00   ;   472,06 ;     
31.12.2003 23:59:55   ;   471,56 ;     
11.01.2004 14:00:00   ;   471,54 ;     
12.03.2005 18:00:00   ;   471,87 ;     
06.03.2006 18:00:00   ;   471,88 ;     
05.05.2007 11:00:00   ;   471,75 ;     
03.02.2009 01:00:00   ;   471,90 ;     
10.05.2010 13:00:00   ;   471,78 ;     
16.06.2011 21:00:00   ;   471,68 ;     
05.01.2012 16:00:00   ;   472,15 ;     
31.12.2013 08:00:00   ;   472,38 ;     
07.05.2014 08:00:00   ;   471,84 ;     
29.12.2015 08:00:00   ;   471,67 ;     
30.01.2016 16:59:00   ;   471,60 ;     
16.02.2017 19:00:00   ;   471,73 ;     
09.12.2018 10:00:00   ;   471,58 ;     
01.01.2019 00:00:05   ;   471,66 ;     
31.07.2020 22:00:00   ;   471,80 ;     
07.05.2021 13:00:00   ;   471,81 ;     
