Messstelle:                ;Bachloh, Br 43.2
HZB-Nummer:                ;375238
HD-Nummer:                 ;A43.2
DBMS-Nummer:               ;4003001
PorenGW-Gebiet:            ;121 Almtal
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.02.2016
 Geländehöhe:              ;346,23
 Messpunkthöhe:            ;346,63
 Sohllage:                 ;335,29
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 54 24                 ;48 04 54
  25.05.1981               ;13 54 27                 ;48 04 55
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2015 HG30 Datenausfälle wegen Baustelle
  2016 HG30 Datenausfälle wegen Baustelle
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
13.12.1982 12:00:00   ;   335,87 ;     
03.12.1984 12:00:00   ;   335,80 ;     
05.11.1985 12:00:00   ;   335,98 ;     
09.12.1986 12:00:00   ;   335,83 ;     
04.11.1991 12:00:00   ;   335,87 ;     
28.09.1992 12:00:00   ;   335,88 ;     
30.11.1993 07:01:00   ;   335,85 ;     
02.08.1994 07:01:00   ;   335,70 ;     
15.08.1995 07:01:00   ;   335,83 ;     
12.03.1996 07:01:00   ;   335,72 ;     
29.09.1997 07:01:00   ;   335,88 ;     
09.02.1998 07:01:00   ;   336,05 ;     
02.11.1999 07:01:00   ;   335,84 ;     
11.12.2000 07:01:00   ;   335,91 ;     
22.01.2001 07:01:00   ;   335,90 ;     
16.12.2002 07:01:00   ;   335,88 ;     
09.12.2003 07:01:00   ;   335,68 ;     
05.01.2004 07:01:00   ;   335,72 ;     
05.12.2005 07:01:00   ;   335,65 ;     
23.10.2006 07:01:00   ;   335,68 ;     
26.02.2007 07:01:00   ;   335,64 ;     
31.12.2008 23:59:55   ;   335,52 ;     
13.01.2009 12:00:00   ;   335,45 ;     
13.10.2010 12:00:00   ;   335,44 ;     
28.11.2011 12:00:00   ;   335,33 ;     
27.11.2012 12:00:00   ;   335,42 ;     
31.12.2013 23:59:55   ;   335,40 ;     
11.03.2014 12:00:00   ;   335,33 ;     
04.10.2016 12:00:00   ;   335,20 ;     
24.01.2017 12:00:00   ;   335,17 ;     
22.08.2018 12:00:00   ;   335,18 ;     
10.12.2019 11:00:00   ;   335,23 ;     
31.12.2020 23:59:55   ;   335,23 ;     
24.11.2021 07:01:00   ;   335,16 ;     
