Messstelle:                ;Marchtrenk, Br 23.15
HZB-Nummer:                ;375642
HD-Nummer:                 ;W23.15
DBMS-Nummer:               ;4002961
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.06.2006
 Geländehöhe:              ;305,06
 Messpunkthöhe:            ;305,41
 Sohllage:                 ;295,09
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 06 10                 ;48 12 07
  01.01.2003               ;14 06 11                 ;48 12 08
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.08.1993 07:01:00   ;   296,06 ;     
18.11.1994 07:01:00   ;   295,87 ;     
01.01.1995 00:00:05   ;   296,02 ;     
14.03.1996 07:01:00   ;   296,13 ;     
13.02.1997 07:01:00   ;   296,27 ;     
03.09.1998 07:01:00   ;   295,89 ;     
09.12.1999 07:01:00   ;   295,73 ;     
21.09.2000 07:01:00   ;   295,80 ;     
01.01.2001 00:00:05   ;   295,86 ;     
01.08.2002 07:01:00   ;   295,90 ;     
27.12.2003 07:01:00   ;   295,72 ;     
31.12.2004 23:59:55   ;   295,67 ;     
20.01.2005 07:01:00   ;   295,59 ;     
16.02.2006 07:01:00   ;   295,84 ;     
11.01.2007 07:01:00   ;   296,19 ;     
20.11.2008 07:01:00   ;   296,12 ;     
19.02.2009 07:01:00   ;   295,96 ;     
29.12.2010 07:01:00   ;   296,24 ;     
28.12.2011 07:01:00   ;   296,09 ;     
01.01.2012 00:00:05   ;   296,09 ;     
01.01.2013 00:00:05   ;   296,31 ;     
08.05.2014 07:01:00   ;   296,14 ;     
31.12.2015 23:59:55   ;   295,97 ;     
28.01.2016 07:01:00   ;   295,91 ;     
06.03.2017 07:01:00   ;   295,81 ;     
03.12.2018 07:01:00   ;   295,69 ;     
20.12.2019 07:01:00   ;   295,70 ;     
31.01.2020 07:01:00   ;   295,71 ;     
10.12.2021 07:01:00   ;   296,26 ;     
01.01.2022 00:00:05   ;   296,37 ;     
