Messstelle:                ;Altenstadt, Bl 01.32.37 A
HZB-Nummer:                ;322263
HD-Nummer:                 ;01.32.37 A
DBMS-Nummer:               ;8002113
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;31.05.2005
 Geländehöhe:              ;437,02
 Messpunkthöhe:            ;437,86
 Sohllage:                 ;422,72
 T-Messtiefe u.GOK:        ;12,16
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  09.02.2006               ;09 35 17                 ;47 16 08
  12.12.1998               ;09 35 18                 ;47 16 08
  01.01.1979               ;09 35 18                 ;47 16 08
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1977 00:00:00   ;   430,03 ;     
01.08.1977 00:00:00   ;   430,24 ;     
01.09.1977 00:00:00   ;Lücke     ;     
01.10.1977 00:00:00   ;Lücke     ;     
01.11.1977 00:00:00   ;Lücke     ;     
01.12.1977 00:00:00   ;Lücke     ;     
01.01.1978 00:00:00   ;   429,34 ;     
01.02.1978 00:00:00   ;   429,41 ;     
01.03.1978 00:00:00   ;   430,01 ;     
01.04.1978 00:00:00   ;   430,21 ;     
01.05.1978 00:00:00   ;   430,13 ;     
01.06.1978 00:00:00   ;   430,58 ;     
01.07.1978 00:00:00   ;   430,81 ;     
01.08.1978 00:00:00   ;   430,81 ;     
01.09.1978 00:00:00   ;   430,43 ;     
01.10.1978 00:00:00   ;   430,03 ;     
01.11.1978 00:00:00   ;   429,73 ;     
01.12.1978 00:00:00   ;   429,30 ;     
01.01.1979 00:00:00   ;   428,99 ;     
01.02.1979 00:00:00   ;   428,96 ;     
01.03.1979 00:00:00   ;   429,09 ;     
01.04.1979 00:00:00   ;   429,23 ;     
01.05.1979 00:00:00   ;   429,39 ;     
01.06.1979 00:00:00   ;   430,01 ;     
01.07.1979 00:00:00   ;   430,45 ;     
01.08.1979 00:00:00   ;   430,21 ;     
01.09.1979 00:00:00   ;   430,00 ;     
01.10.1979 00:00:00   ;   430,05 ;     
01.11.1979 00:00:00   ;   429,93 ;     
01.12.1979 00:00:00   ;   429,86 ;     
01.01.1980 00:00:00   ;   429,71 ;     
01.02.1980 00:00:00   ;   430,09 ;     
01.03.1980 00:00:00   ;   429,93 ;     
01.04.1980 00:00:00   ;   429,64 ;     
01.05.1980 00:00:00   ;   429,93 ;     
01.06.1980 00:00:00   ;   430,08 ;     
01.07.1980 00:00:00   ;   430,73 ;     
01.08.1980 00:00:00   ;   430,95 ;     
01.09.1980 00:00:00   ;   430,39 ;     
01.10.1980 00:00:00   ;   429,83 ;     
01.11.1980 00:00:00   ;   429,51 ;     
01.12.1980 00:00:00   ;   429,20 ;     
01.01.1981 00:00:00   ;   429,19 ;     
01.02.1981 00:00:00   ;   429,26 ;     
01.03.1981 00:00:00   ;   429,57 ;     
01.04.1981 00:00:00   ;   429,93 ;     
01.05.1981 00:00:00   ;   429,76 ;     
01.06.1981 00:00:00   ;   429,71 ;     
01.07.1981 00:00:00   ;   429,81 ;     
01.08.1981 00:00:00   ;   430,47 ;     
01.09.1981 00:00:00   ;   430,38 ;     
01.10.1981 00:00:00   ;   431,08 ;     
01.11.1981 00:00:00   ;   431,05 ;     
01.12.1981 00:00:00   ;   431,07 ;     
01.01.1982 00:00:00   ;   431,36 ;     
01.02.1982 00:00:00   ;   431,14 ;     
01.03.1982 00:00:00   ;   430,59 ;     
01.04.1982 00:00:00   ;   430,14 ;     
01.05.1982 00:00:00   ;   429,85 ;     
01.06.1982 00:00:00   ;   429,97 ;     
01.07.1982 00:00:00   ;   430,07 ;     
01.08.1982 00:00:00   ;   429,81 ;     
01.09.1982 00:00:00   ;   429,67 ;     
01.10.1982 00:00:00   ;   429,75 ;     
01.11.1982 00:00:00   ;   429,47 ;     
01.12.1982 00:00:00   ;   429,17 ;     
01.01.1983 00:00:00   ;   429,08 ;     
01.02.1983 00:00:00   ;   429,14 ;     
01.03.1983 00:00:00   ;   429,10 ;     
01.04.1983 00:00:00   ;   429,17 ;     
01.05.1983 00:00:00   ;   429,44 ;     
01.06.1983 00:00:00   ;   429,76 ;     
01.07.1983 00:00:00   ;   430,01 ;     
01.08.1983 00:00:00   ;   430,09 ;     
01.09.1983 00:00:00   ;   430,11 ;     
01.10.1983 00:00:00   ;   429,99 ;     
01.11.1983 00:00:00   ;   429,47 ;     
01.12.1983 00:00:00   ;   429,11 ;     
01.01.1984 00:00:00   ;   429,09 ;     
