Messstelle:                ;Hiesendorf, Br 14.12
HZB-Nummer:                ;324525
HD-Nummer:                 ;14.12
DBMS-Nummer:               ;4002550
PorenGW-Gebiet:            ;173 Unteres Ennstal
Grundwasserkörper:         ;Unteres Ennstal (NT,OT) [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.11.2014
 Geländehöhe:              ;287,85
 Messpunkthöhe:            ;288,25
 Sohllage:                 ;262,65
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  24.08.2022               ;14 27 18                 ;48 10 36
  01.01.2009               ;14 27 15                 ;48 10 34
  01.01.2003               ;14 26 55                 ;48 10 32
  01.01.1991               ;14 27 14                 ;48 10 32
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1995 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2016 HG13 fehlende Monatsmittel zufolge Beobachterausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.1994 00:00:00   ;   265,02 ;     
01.04.1994 00:00:00   ;   265,20 ;     
01.05.1994 00:00:00   ;   265,73 ;     
01.06.1994 00:00:00   ;   265,84 ;     
01.07.1994 00:00:00   ;   265,61 ;     
01.08.1994 00:00:00   ;   265,32 ;     
01.09.1994 00:00:00   ;   265,17 ;     
01.10.1994 00:00:00   ;   265,06 ;     
01.11.1994 00:00:00   ;   264,97 ;     
01.12.1994 00:00:00   ;   264,91 ;     
01.01.1995 00:00:00   ;   264,87 ;     
01.02.1995 00:00:00   ;   264,83 ;     
01.03.1995 00:00:00   ;   264,82 ;     
01.04.1995 00:00:00   ;   264,84 ;     
01.05.1995 00:00:00   ;   264,93 ;     
01.06.1995 00:00:00   ;   265,06 ;     
01.07.1995 00:00:00   ;   265,15 ;     
01.08.1995 00:00:00   ;   265,14 ;     
01.09.1995 00:00:00   ;   265,09 ;     
01.10.1995 00:00:00   ;   265,02 ;     
01.11.1995 00:00:00   ;   264,98 ;     
01.12.1995 00:00:00   ;   264,93 ;     
01.01.1996 00:00:00   ;   264,90 ;     
01.02.1996 00:00:00   ;   264,87 ;     
