Messstelle:                ;Kröllendorf, Br 286
HZB-Nummer:                ;326835
HD-Nummer:                 ;
DBMS-Nummer:               ;3002724
PorenGW-Gebiet:            ;185 Ybbstal
Grundwasserkörper:         ;Ybbstal / Ybbser Scheibe [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.04.2014
 Geländehöhe:              ;334,51
 Messpunkthöhe:            ;334,86
 Sohllage:                 ;294,20
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;14 48 29                 ;48 03 06
  01.01.1980               ;14 48 30                 ;48 03 04
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1980 00:00:00   ;   298,80 ;     
01.02.1980 00:00:00   ;   298,75 ;     
01.03.1980 00:00:00   ;   298,91 ;     
01.04.1980 00:00:00   ;   299,17 ;     
01.05.1980 00:00:00   ;   299,29 ;     
01.06.1980 00:00:00   ;   299,13 ;     
01.07.1980 00:00:00   ;   299,13 ;     
01.08.1980 00:00:00   ;   298,32 ;     
01.09.1980 00:00:00   ;   297,57 ;     
01.10.1980 00:00:00   ;   297,37 ;     
01.11.1980 00:00:00   ;   298,11 ;     
01.12.1980 00:00:00   ;   298,57 ;     
01.01.1981 00:00:00   ;   298,53 ;     
01.02.1981 00:00:00   ;   298,58 ;     
01.03.1981 00:00:00   ;   298,70 ;     
01.04.1981 00:00:00   ;   298,61 ;     
01.05.1981 00:00:00   ;   298,32 ;     
01.06.1981 00:00:00   ;   297,46 ;     
01.07.1981 00:00:00   ;   297,15 ;     
01.08.1981 00:00:00   ;   298,01 ;     
01.09.1981 00:00:00   ;   298,33 ;     
01.10.1981 00:00:00   ;   298,35 ;     
01.11.1981 00:00:00   ;   298,37 ;     
01.12.1981 00:00:00   ;   298,42 ;     
01.01.1982 00:00:00   ;   298,82 ;     
01.02.1982 00:00:00   ;   299,55 ;     
01.03.1982 00:00:00   ;   299,57 ;     
01.04.1982 00:00:00   ;   299,27 ;     
