Messstelle:                ;Lebern, Br 34981
HZB-Nummer:                ;328856
HD-Nummer:                 ;uw34981
DBMS-Nummer:               ;6002539
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.1980
 Geländehöhe:              ;332,34
 Messpunkthöhe:            ;332,74
 Sohllage:                 ;326,44
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 27 29                 ;47 01 00
  01.08.1980               ;15 27 28                 ;47 01 01
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2012 bis 2012 FG06 durch Kraftwerk beeinflusst
  2012 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2012 00:00:00   ;   328,82 ;     
01.02.2012 00:00:00   ;   328,70 ;     
01.03.2012 00:00:00   ;   328,60 ;     
01.04.2012 00:00:00   ;   328,59 ;     
01.05.2012 00:00:00   ;   328,56 ;     
01.06.2012 00:00:00   ;   328,57 ;     
01.07.2012 00:00:00   ;   328,54 ;     
01.08.2012 00:00:00   ;   328,59 ;     
01.09.2012 00:00:00   ;   328,59 ;     
01.10.2012 00:00:00   ;   328,58 ;     
01.11.2012 00:00:00   ;   328,57 ;     
01.12.2012 00:00:00   ;   328,50 ;     
01.01.2013 00:00:00   ;   328,49 ;     
01.02.2013 00:00:00   ;   328,54 ;     
01.03.2013 00:00:00   ;   328,55 ;     
01.04.2013 00:00:00   ;   328,58 ;     
01.05.2013 00:00:00   ;   328,69 ;     
01.06.2013 00:00:00   ;   328,62 ;     
01.07.2013 00:00:00   ;   328,62 ;     
01.08.2013 00:00:00   ;   328,52 ;     
01.09.2013 00:00:00   ;   328,45 ;     
01.10.2013 00:00:00   ;   328,41 ;     
01.11.2013 00:00:00   ;   328,40 ;     
01.12.2013 00:00:00   ;   328,39 ;     
01.01.2014 00:00:00   ;   328,39 ;     
01.02.2014 00:00:00   ;   328,46 ;     
01.03.2014 00:00:00   ;   328,43 ;     
01.04.2014 00:00:00   ;   328,40 ;     
01.05.2014 00:00:00   ;   328,51 ;     
01.06.2014 00:00:00   ;   328,50 ;     
01.07.2014 00:00:00   ;   328,49 ;     
01.08.2014 00:00:00   ;   328,49 ;     
01.09.2014 00:00:00   ;   328,62 ;     
01.10.2014 00:00:00   ;   328,61 ;     
01.11.2014 00:00:00   ;   328,59 ;     
01.12.2014 00:00:00   ;   328,57 ;     
01.01.2015 00:00:00   ;   328,52 ;     
01.02.2015 00:00:00   ;   328,50 ;     
01.03.2015 00:00:00   ;   328,50 ;     
01.04.2015 00:00:00   ;   328,52 ;     
01.05.2015 00:00:00   ;   328,54 ;     
01.06.2015 00:00:00   ;   328,57 ;     
01.07.2015 00:00:00   ;   328,57 ;     
01.08.2015 00:00:00   ;   328,56 ;     
01.09.2015 00:00:00   ;   328,55 ;     
01.10.2015 00:00:00   ;   328,52 ;     
01.11.2015 00:00:00   ;   328,53 ;     
01.12.2015 00:00:00   ;   328,48 ;     
01.01.2016 00:00:00   ;   328,43 ;     
01.02.2016 00:00:00   ;   328,45 ;     
01.03.2016 00:00:00   ;   328,51 ;     
01.04.2016 00:00:00   ;   328,51 ;     
01.05.2016 00:00:00   ;   328,54 ;     
01.06.2016 00:00:00   ;   328,59 ;     
01.07.2016 00:00:00   ;   328,62 ;     
01.08.2016 00:00:00   ;   328,66 ;     
01.09.2016 00:00:00   ;   328,63 ;     
01.10.2016 00:00:00   ;   328,60 ;     
01.11.2016 00:00:00   ;   328,59 ;     
01.12.2016 00:00:00   ;   328,51 ;     
01.01.2017 00:00:00   ;   328,42 ;     
01.02.2017 00:00:00   ;   328,39 ;     
01.03.2017 00:00:00   ;   328,40 ;     
01.04.2017 00:00:00   ;   328,43 ;     
01.05.2017 00:00:00   ;   328,49 ;     
01.06.2017 00:00:00   ;   328,54 ;     
01.07.2017 00:00:00   ;   328,54 ;     
01.08.2017 00:00:00   ;   328,55 ;     
01.09.2017 00:00:00   ;   328,57 ;     
01.10.2017 00:00:00   ;   328,57 ;     
01.11.2017 00:00:00   ;   328,52 ;     
01.12.2017 00:00:00   ;   328,49 ;     
01.01.2018 00:00:00   ;   328,50 ;     
01.02.2018 00:00:00   ;   328,50 ;     
01.03.2018 00:00:00   ;   328,50 ;     
01.04.2018 00:00:00   ;   328,57 ;     
01.05.2018 00:00:00   ;   328,62 ;     
01.06.2018 00:00:00   ;   328,55 ;     
01.07.2018 00:00:00   ;   328,57 ;     
01.08.2018 00:00:00   ;   328,51 ;     
01.09.2018 00:00:00   ;   328,50 ;     
01.10.2018 00:00:00   ;   328,46 ;     
01.11.2018 00:00:00   ;   328,42 ;     
01.12.2018 00:00:00   ;   328,39 ;     
01.01.2019 00:00:00   ;   328,35 ;     
01.02.2019 00:00:00   ;   328,33 ;     
01.03.2019 00:00:00   ;   328,34 ;     
01.04.2019 00:00:00   ;   328,36 ;     
01.05.2019 00:00:00   ;   328,34 ;     
