Messstelle:                ;Gnadendorf, Bl 421
HZB-Nummer:                ;331983
HD-Nummer:                 ;
DBMS-Nummer:               ;3002888
PorenGW-Gebiet:            ;275 Zayatal
Grundwasserkörper:         ;Gruppe Weinviertel [MAR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.06.2015
 Geländehöhe:              ;248,95
 Messpunkthöhe:            ;250,00
 Sohllage:                 ;200,60
 T-Messtiefe u.GOK:        ;8,95
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 23 36                 ;48 37 11
  01.07.1991               ;16 23 33                 ;48 37 10
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1991 00:00:00   ;   245,44 ;     
01.08.1991 00:00:00   ;   245,54 ;     
01.09.1991 00:00:00   ;   245,46 ;     
01.10.1991 00:00:00   ;   245,62 ;     
01.11.1991 00:00:00   ;   245,75 ;     
01.12.1991 00:00:00   ;   245,88 ;     
01.01.1992 00:00:00   ;   245,97 ;     
01.02.1992 00:00:00   ;   246,06 ;     
01.03.1992 00:00:00   ;   246,00 ;     
01.04.1992 00:00:00   ;   245,86 ;     
01.05.1992 00:00:00   ;   245,45 ;     
