Messstelle:                ;Heiligenkreuz i.L., Bl 14 B
HZB-Nummer:                ;335513
HD-Nummer:                 ;
DBMS-Nummer:               ;1002259
PorenGW-Gebiet:            ;335 Lafnitztal
Grundwasserkörper:         ;Gruppe Hügelland Raab Ost [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.09.2004
 Geländehöhe:              ;227,28
 Messpunkthöhe:            ;228,28
 Sohllage:                 ;219,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1994               ;16 14 49                 ;46 59 28
  31.12.1993               ;16 14 51                 ;46 59 27
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2005 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2016 HG13 fehlende Monatsmittel zufolge Beobachterausfall
  2017 HG13 fehlende Monatsmittel zufolge Beobachterausfall
  2018 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2020 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2021 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.10.2004 00:00:00   ;   221,88 ;     
01.11.2004 00:00:00   ;   221,84 ;     
01.12.2004 00:00:00   ;   221,81 ;     
01.01.2005 00:00:00   ;   221,80 ;     
01.02.2005 00:00:00   ;   221,77 ;     
01.03.2005 00:00:00   ;   221,78 ;     
01.04.2005 00:00:00   ;   221,88 ;     
01.05.2005 00:00:00   ;   221,92 ;     
01.06.2005 00:00:00   ;   221,91 ;     
01.07.2005 00:00:00   ;   222,36 ;     
01.08.2005 00:00:00   ;   222,50 ;     
01.09.2005 00:00:00   ;   222,32 ;     
01.10.2005 00:00:00   ;   222,31 ;     
01.11.2005 00:00:00   ;   222,09 ;     
01.12.2005 00:00:00   ;   222,18 ;     
01.01.2006 00:00:00   ;   222,51 ;     
01.02.2006 00:00:00   ;   222,49 ;     
01.03.2006 00:00:00   ;   223,34 ;     
01.04.2006 00:00:00   ;   223,24 ;     
01.05.2006 00:00:00   ;   223,42 ;     
01.06.2006 00:00:00   ;   223,48 ;     
01.07.2006 00:00:00   ;   222,95 ;     
01.08.2006 00:00:00   ;   222,66 ;     
01.09.2006 00:00:00   ;   222,42 ;     
01.10.2006 00:00:00   ;   222,27 ;     
01.11.2006 00:00:00   ;   222,14 ;     
01.12.2006 00:00:00   ;   222,06 ;     
01.01.2007 00:00:00   ;   221,96 ;     
01.02.2007 00:00:00   ;   221,94 ;     
01.03.2007 00:00:00   ;   222,31 ;     
01.04.2007 00:00:00   ;   222,11 ;     
01.05.2007 00:00:00   ;   222,12 ;     
01.06.2007 00:00:00   ;   222,10 ;     
01.07.2007 00:00:00   ;   221,96 ;     
01.08.2007 00:00:00   ;   221,88 ;     
01.09.2007 00:00:00   ;   222,27 ;     
01.10.2007 00:00:00   ;   222,08 ;     
01.11.2007 00:00:00   ;   222,22 ;     
01.12.2007 00:00:00   ;   222,50 ;     
01.01.2008 00:00:00   ;   222,38 ;     
01.02.2008 00:00:00   ;   222,38 ;     
01.03.2008 00:00:00   ;   222,39 ;     
01.04.2008 00:00:00   ;   222,37 ;     
01.05.2008 00:00:00   ;   222,30 ;     
01.06.2008 00:00:00   ;   222,22 ;     
01.07.2008 00:00:00   ;   222,33 ;     
01.08.2008 00:00:00   ;   222,35 ;     
01.09.2008 00:00:00   ;   222,15 ;     
01.10.2008 00:00:00   ;   222,06 ;     
01.11.2008 00:00:00   ;   222,03 ;     
01.12.2008 00:00:00   ;   222,13 ;     
01.01.2009 00:00:00   ;   222,26 ;     
01.02.2009 00:00:00   ;   222,62 ;     
01.03.2009 00:00:00   ;   222,83 ;     
01.04.2009 00:00:00   ;   222,60 ;     
01.05.2009 00:00:00   ;   222,43 ;     
01.06.2009 00:00:00   ;   222,72 ;     
01.07.2009 00:00:00   ;   223,42 ;     
01.08.2009 00:00:00   ;   223,26 ;     
01.09.2009 00:00:00   ;   223,03 ;     
01.10.2009 00:00:00   ;   222,75 ;     
01.11.2009 00:00:00   ;   222,73 ;     
01.12.2009 00:00:00   ;   223,12 ;     
01.01.2010 00:00:00   ;   223,27 ;     
01.02.2010 00:00:00   ;   223,59 ;     
01.03.2010 00:00:00   ;   223,69 ;     
01.04.2010 00:00:00   ;   223,48 ;     
01.05.2010 00:00:00   ;   223,20 ;     
01.06.2010 00:00:00   ;   223,14 ;     
01.07.2010 00:00:00   ;   223,11 ;     
01.08.2010 00:00:00   ;   222,99 ;     
01.09.2010 00:00:00   ;   222,77 ;     
01.10.2010 00:00:00   ;   223,16 ;     
01.11.2010 00:00:00   ;   223,30 ;     
01.12.2010 00:00:00   ;   224,09 ;     
01.01.2011 00:00:00   ;   223,73 ;     
01.02.2011 00:00:00   ;   223,54 ;     
01.03.2011 00:00:00   ;   223,29 ;     
01.04.2011 00:00:00   ;   223,04 ;     
01.05.2011 00:00:00   ;   223,04 ;     
01.06.2011 00:00:00   ;   222,99 ;     
01.07.2011 00:00:00   ;   222,86 ;     
01.08.2011 00:00:00   ;   223,11 ;     
01.09.2011 00:00:00   ;   222,83 ;     
01.10.2011 00:00:00   ;   222,68 ;     
01.11.2011 00:00:00   ;   222,55 ;     
01.12.2011 00:00:00   ;   222,43 ;     
01.01.2012 00:00:00   ;   222,33 ;     
01.02.2012 00:00:00   ;   222,21 ;     
01.03.2012 00:00:00   ;   222,15 ;     
01.04.2012 00:00:00   ;   222,08 ;     
