Messstelle:                ;Nikitsch, Bl 4
HZB-Nummer:                ;335695
HD-Nummer:                 ;
DBMS-Nummer:               ;1002277
PorenGW-Gebiet:            ;322 Nikitschbachtal
Grundwasserkörper:         ;Gruppe Ikvatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.10.2005
 Geländehöhe:              ;226,10
 Messpunkthöhe:            ;226,95
 Sohllage:                 ;215,10
 T-Messtiefe u.GOK:        ;10,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1993               ;16 40 29                 ;47 32 24
  31.12.1992               ;16 40 29                 ;47 32 24
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1993 00:00:00   ;   216,50 ;     
01.02.1993 00:00:00   ;   216,67 ;     
01.03.1993 00:00:00   ;   216,67 ;     
01.04.1993 00:00:00   ;   216,67 ;     
01.05.1993 00:00:00   ;   216,69 ;     
01.06.1993 00:00:00   ;   216,67 ;     
01.07.1993 00:00:00   ;   216,64 ;     
01.08.1993 00:00:00   ;   216,61 ;     
01.09.1993 00:00:00   ;   216,58 ;     
01.10.1993 00:00:00   ;   216,56 ;     
01.11.1993 00:00:00   ;   216,56 ;     
01.12.1993 00:00:00   ;   216,56 ;     
01.01.1994 00:00:00   ;   216,68 ;     
01.02.1994 00:00:00   ;   216,90 ;     
01.03.1994 00:00:00   ;   216,99 ;     
01.04.1994 00:00:00   ;   217,02 ;     
01.05.1994 00:00:00   ;   217,08 ;     
01.06.1994 00:00:00   ;   217,11 ;     
01.07.1994 00:00:00   ;   217,10 ;     
01.08.1994 00:00:00   ;   217,05 ;     
01.09.1994 00:00:00   ;   216,99 ;     
01.10.1994 00:00:00   ;   216,94 ;     
01.11.1994 00:00:00   ;   216,88 ;     
01.12.1994 00:00:00   ;   216,85 ;     
01.01.1995 00:00:00   ;   216,81 ;     
01.02.1995 00:00:00   ;   216,79 ;     
01.03.1995 00:00:00   ;   216,81 ;     
01.04.1995 00:00:00   ;   216,89 ;     
01.05.1995 00:00:00   ;   216,95 ;     
01.06.1995 00:00:00   ;   217,03 ;     
01.07.1995 00:00:00   ;   217,12 ;     
01.08.1995 00:00:00   ;   217,09 ;     
01.09.1995 00:00:00   ;   217,03 ;     
01.10.1995 00:00:00   ;   217,01 ;     
01.11.1995 00:00:00   ;   216,99 ;     
01.12.1995 00:00:00   ;   216,98 ;     
01.01.1996 00:00:00   ;   217,01 ;     
01.02.1996 00:00:00   ;   217,32 ;     
01.03.1996 00:00:00   ;   217,71 ;     
01.04.1996 00:00:00   ;   218,37 ;     
01.05.1996 00:00:00   ;   218,57 ;     
01.06.1996 00:00:00   ;   218,70 ;     
01.07.1996 00:00:00   ;   218,74 ;     
01.08.1996 00:00:00   ;   218,71 ;     
01.09.1996 00:00:00   ;   218,74 ;     
01.10.1996 00:00:00   ;   218,84 ;     
01.11.1996 00:00:00   ;   218,86 ;     
01.12.1996 00:00:00   ;   218,81 ;     
01.01.1997 00:00:00   ;   218,72 ;     
01.02.1997 00:00:00   ;   218,67 ;     
01.03.1997 00:00:00   ;   218,65 ;     
01.04.1997 00:00:00   ;   218,69 ;     
01.05.1997 00:00:00   ;   218,67 ;     
01.06.1997 00:00:00   ;   218,60 ;     
01.07.1997 00:00:00   ;   218,57 ;     
01.08.1997 00:00:00   ;   218,52 ;     
01.09.1997 00:00:00   ;   218,46 ;     
01.10.1997 00:00:00   ;   218,39 ;     
01.11.1997 00:00:00   ;   218,33 ;     
01.12.1997 00:00:00   ;   218,30 ;     
01.01.1998 00:00:00   ;   218,30 ;     
01.02.1998 00:00:00   ;   218,28 ;     
01.03.1998 00:00:00   ;   218,23 ;     
01.04.1998 00:00:00   ;   218,18 ;     
01.05.1998 00:00:00   ;   218,13 ;     
01.06.1998 00:00:00   ;   218,08 ;     
01.07.1998 00:00:00   ;   218,03 ;     
01.08.1998 00:00:00   ;   217,98 ;     
01.09.1998 00:00:00   ;   218,01 ;     
01.10.1998 00:00:00   ;   218,10 ;     
01.11.1998 00:00:00   ;   218,19 ;     
01.12.1998 00:00:00   ;   218,28 ;     
01.01.1999 00:00:00   ;   218,38 ;     
01.02.1999 00:00:00   ;   218,43 ;     
01.03.1999 00:00:00   ;   218,45 ;     
01.04.1999 00:00:00   ;   218,49 ;     
01.05.1999 00:00:00   ;   218,51 ;     
01.06.1999 00:00:00   ;   218,49 ;     
01.07.1999 00:00:00   ;   218,46 ;     
01.08.1999 00:00:00   ;   218,42 ;     
01.09.1999 00:00:00   ;   218,39 ;     
01.10.1999 00:00:00   ;   218,35 ;     
01.11.1999 00:00:00   ;   218,32 ;     
01.12.1999 00:00:00   ;   218,28 ;     
01.01.2000 00:00:00   ;   218,10 ;     
01.02.2000 00:00:00   ;   218,05 ;     
01.03.2000 00:00:00   ;   218,03 ;     
01.04.2000 00:00:00   ;   218,00 ;     
01.05.2000 00:00:00   ;   217,97 ;     
01.06.2000 00:00:00   ;   217,94 ;     
01.07.2000 00:00:00   ;   217,91 ;     
01.08.2000 00:00:00   ;   217,89 ;     
01.09.2000 00:00:00   ;   217,86 ;     
01.10.2000 00:00:00   ;   217,83 ;     
01.11.2000 00:00:00   ;   217,80 ;     
01.12.2000 00:00:00   ;   217,77 ;     
01.01.2001 00:00:00   ;   217,75 ;     
01.02.2001 00:00:00   ;   217,72 ;     
01.03.2001 00:00:00   ;   217,69 ;     
01.04.2001 00:00:00   ;   217,66 ;     
01.05.2001 00:00:00   ;   217,64 ;     
01.06.2001 00:00:00   ;   217,61 ;     
01.07.2001 00:00:00   ;   217,58 ;     
01.08.2001 00:00:00   ;   217,55 ;     
01.09.2001 00:00:00   ;   217,52 ;     
01.10.2001 00:00:00   ;   217,49 ;     
01.11.2001 00:00:00   ;   217,47 ;     
01.12.2001 00:00:00   ;   217,44 ;     
01.01.2002 00:00:00   ;   217,43 ;     
01.02.2002 00:00:00   ;   217,39 ;     
01.03.2002 00:00:00   ;   217,34 ;     
01.04.2002 00:00:00   ;   217,29 ;     
01.05.2002 00:00:00   ;   217,24 ;     
01.06.2002 00:00:00   ;Lücke     ;     
01.07.2002 00:00:00   ;Lücke     ;     
01.08.2002 00:00:00   ;Lücke     ;     
01.09.2002 00:00:00   ;Lücke     ;     
01.10.2002 00:00:00   ;Lücke     ;     
01.11.2002 00:00:00   ;Lücke     ;     
01.12.2002 00:00:00   ;Lücke     ;     
01.01.2003 00:00:00   ;Lücke     ;     
01.02.2003 00:00:00   ;Lücke     ;     
01.03.2003 00:00:00   ;   216,91 ;     
01.04.2003 00:00:00   ;   216,88 ;     
01.05.2003 00:00:00   ;   216,85 ;     
01.06.2003 00:00:00   ;   216,83 ;     
01.07.2003 00:00:00   ;   216,80 ;     
01.08.2003 00:00:00   ;   216,78 ;     
01.09.2003 00:00:00   ;   216,75 ;     
01.10.2003 00:00:00   ;   216,72 ;     
01.11.2003 00:00:00   ;   216,70 ;     
01.12.2003 00:00:00   ;   216,67 ;     
01.01.2004 00:00:00   ;   216,64 ;     
01.02.2004 00:00:00   ;   216,62 ;     
01.03.2004 00:00:00   ;   216,59 ;     
01.04.2004 00:00:00   ;   216,59 ;     
01.05.2004 00:00:00   ;   216,59 ;     
01.06.2004 00:00:00   ;   216,59 ;     
01.07.2004 00:00:00   ;   216,59 ;     
01.08.2004 00:00:00   ;   216,60 ;     
01.09.2004 00:00:00   ;   216,60 ;     
01.10.2004 00:00:00   ;   216,60 ;     
01.11.2004 00:00:00   ;   216,60 ;     
01.12.2004 00:00:00   ;   216,60 ;     
01.01.2005 00:00:00   ;   216,59 ;     
01.02.2005 00:00:00   ;   216,58 ;     
01.03.2005 00:00:00   ;   216,64 ;     
01.04.2005 00:00:00   ;   216,74 ;     
01.05.2005 00:00:00   ;   216,72 ;     
01.06.2005 00:00:00   ;   216,70 ;     
