Messstelle:                ;Maria Gail, Bl 116
HZB-Nummer:                ;338590
HD-Nummer:                 ;
DBMS-Nummer:               ;2002131
PorenGW-Gebiet:            ;425 Unteres Gailtal
Grundwasserkörper:         ;Gailtal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.05.2021
 Geländehöhe:              ;488,05
 Messpunkthöhe:            ;489,22
 Sohllage:                 ;483,37
 T-Messtiefe u.GOK:        ;3,83
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  20.03.1973               ;13 52 34                 ;46 35 59
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1991 00:00:00   ;   486,23 ;     
01.08.1991 00:00:00   ;   486,40 ;     
01.09.1991 00:00:00   ;   486,23 ;     
01.10.1991 00:00:00   ;   486,45 ;     
01.11.1991 00:00:00   ;   486,66 ;     
01.12.1991 00:00:00   ;   486,61 ;     
01.01.1992 00:00:00   ;   486,29 ;     
01.02.1992 00:00:00   ;   486,26 ;     
01.03.1992 00:00:00   ;   486,32 ;     
01.04.1992 00:00:00   ;   486,75 ;     
01.05.1992 00:00:00   ;   486,94 ;     
01.06.1992 00:00:00   ;   486,56 ;     
01.07.1992 00:00:00   ;   486,38 ;     
01.08.1992 00:00:00   ;   486,16 ;     
01.09.1992 00:00:00   ;   486,13 ;     
01.10.1992 00:00:00   ;   486,65 ;     
01.11.1992 00:00:00   ;   486,83 ;     
01.12.1992 00:00:00   ;   486,98 ;     
01.01.1993 00:00:00   ;   486,44 ;     
01.02.1993 00:00:00   ;   486,26 ;     
01.03.1993 00:00:00   ;   486,18 ;     
01.04.1993 00:00:00   ;   486,15 ;     
01.05.1993 00:00:00   ;   486,15 ;     
01.06.1993 00:00:00   ;   486,12 ;     
01.07.1993 00:00:00   ;   486,18 ;     
01.08.1993 00:00:00   ;   486,17 ;     
01.09.1993 00:00:00   ;   486,23 ;     
01.10.1993 00:00:00   ;   487,39 ;     
01.11.1993 00:00:00   ;   487,08 ;     
01.12.1993 00:00:00   ;   486,58 ;     
01.01.1994 00:00:00   ;   486,67 ;     
01.02.1994 00:00:00   ;   486,51 ;     
01.03.1994 00:00:00   ;   486,43 ;     
01.04.1994 00:00:00   ;   486,61 ;     
01.05.1994 00:00:00   ;   486,59 ;     
01.06.1994 00:00:00   ;   486,46 ;     
01.07.1994 00:00:00   ;   486,26 ;     
01.08.1994 00:00:00   ;   486,17 ;     
01.09.1994 00:00:00   ;   486,49 ;     
01.10.1994 00:00:00   ;   486,38 ;     
01.11.1994 00:00:00   ;   486,49 ;     
01.12.1994 00:00:00   ;   486,22 ;     
01.01.1995 00:00:00   ;   486,11 ;     
01.02.1995 00:00:00   ;   486,21 ;     
01.03.1995 00:00:00   ;   486,49 ;     
01.04.1995 00:00:00   ;   486,41 ;     
01.05.1995 00:00:00   ;   486,43 ;     
01.06.1995 00:00:00   ;   486,56 ;     
01.07.1995 00:00:00   ;   486,34 ;     
01.08.1995 00:00:00   ;   486,13 ;     
01.09.1995 00:00:00   ;   486,28 ;     
01.10.1995 00:00:00   ;   486,19 ;     
01.11.1995 00:00:00   ;   486,01 ;     
01.12.1995 00:00:00   ;   485,99 ;     
01.01.1996 00:00:00   ;   486,07 ;     
01.02.1996 00:00:00   ;   485,98 ;     
01.03.1996 00:00:00   ;   486,08 ;     
