Messstelle:                ;Gmünd, Bl 951
HZB-Nummer:                ;338707
HD-Nummer:                 ;
DBMS-Nummer:               ;2002291
PorenGW-Gebiet:            ;413 Liesertal
Grundwasserkörper:         ;Gruppe Zentralzone [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.07.2003
 Geländehöhe:              ;752,50
 Messpunkthöhe:            ;753,40
 Sohllage:                 ;745,54
 T-Messtiefe u.GOK:        ;6,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  24.07.2003               ;13 31 47                 ;46 55 13
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2004 00:00:00   ;   749,76 ;     
01.06.2004 00:00:00   ;   749,80 ;     
01.07.2004 00:00:00   ;   750,13 ;     
01.08.2004 00:00:00   ;   749,64 ;     
01.09.2004 00:00:00   ;   749,51 ;     
01.10.2004 00:00:00   ;   749,51 ;     
01.11.2004 00:00:00   ;   750,43 ;     
01.12.2004 00:00:00   ;   750,18 ;     
01.01.2005 00:00:00   ;   749,81 ;     
01.02.2005 00:00:00   ;   749,46 ;     
01.03.2005 00:00:00   ;   749,44 ;     
01.04.2005 00:00:00   ;   749,89 ;     
01.05.2005 00:00:00   ;   749,79 ;     
01.06.2005 00:00:00   ;   749,32 ;     
