Messstelle:                ;Kamering, Bl 623
HZB-Nummer:                ;338988
HD-Nummer:                 ;
DBMS-Nummer:               ;2002306
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.10.2022
 Geländehöhe:              ;513,47
 Messpunkthöhe:            ;514,59
 Sohllage:                 ;507,16
 T-Messtiefe u.GOK:        ;3,88
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  12.05.2003               ;13 36 55                 ;46 43 50
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG28 gerätetechnisch bedingte Datenausfälle
  2018 HG28 gerätetechnisch bedingte Datenausfälle
  2019 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.2003 00:00:00   ;   511,49 ;     
01.07.2003 00:00:00   ;   511,51 ;     
01.08.2003 00:00:00   ;   511,51 ;     
01.09.2003 00:00:00   ;   511,57 ;     
01.10.2003 00:00:00   ;   511,60 ;     
01.11.2003 00:00:00   ;   511,67 ;     
01.12.2003 00:00:00   ;   511,50 ;     
01.01.2004 00:00:00   ;   511,33 ;     
01.02.2004 00:00:00   ;   511,28 ;     
01.03.2004 00:00:00   ;   511,42 ;     
01.04.2004 00:00:00   ;   511,49 ;     
01.05.2004 00:00:00   ;   511,29 ;     
01.06.2004 00:00:00   ;   511,34 ;     
01.07.2004 00:00:00   ;   511,87 ;     
01.08.2004 00:00:00   ;   511,60 ;     
01.09.2004 00:00:00   ;   511,48 ;     
01.10.2004 00:00:00   ;   511,52 ;     
01.11.2004 00:00:00   ;   511,72 ;     
01.12.2004 00:00:00   ;   511,49 ;     
01.01.2005 00:00:00   ;   511,34 ;     
01.02.2005 00:00:00   ;   511,23 ;     
01.03.2005 00:00:00   ;   511,19 ;     
01.04.2005 00:00:00   ;   511,37 ;     
01.05.2005 00:00:00   ;   511,24 ;     
01.06.2005 00:00:00   ;   511,28 ;     
01.07.2005 00:00:00   ;   511,58 ;     
01.08.2005 00:00:00   ;   511,53 ;     
01.09.2005 00:00:00   ;   511,49 ;     
01.10.2005 00:00:00   ;   511,67 ;     
01.11.2005 00:00:00   ;   511,46 ;     
01.12.2005 00:00:00   ;   511,36 ;     
01.01.2006 00:00:00   ;   511,30 ;     
01.02.2006 00:00:00   ;   511,24 ;     
01.03.2006 00:00:00   ;   511,46 ;     
01.04.2006 00:00:00   ;   511,53 ;     
01.05.2006 00:00:00   ;   511,38 ;     
01.06.2006 00:00:00   ;   511,31 ;     
01.07.2006 00:00:00   ;   511,51 ;     
01.08.2006 00:00:00   ;   511,64 ;     
01.09.2006 00:00:00   ;   511,30 ;     
01.10.2006 00:00:00   ;   511,28 ;     
01.11.2006 00:00:00   ;   511,23 ;     
01.12.2006 00:00:00   ;   511,30 ;     
01.01.2007 00:00:00   ;   511,23 ;     
01.02.2007 00:00:00   ;   511,30 ;     
01.03.2007 00:00:00   ;   511,52 ;     
01.04.2007 00:00:00   ;   511,42 ;     
01.05.2007 00:00:00   ;   511,29 ;     
01.06.2007 00:00:00   ;   511,39 ;     
01.07.2007 00:00:00   ;   511,70 ;     
01.08.2007 00:00:00   ;   512,06 ;     
01.09.2007 00:00:00   ;   511,63 ;     
01.10.2007 00:00:00   ;   511,55 ;     
01.11.2007 00:00:00   ;   511,50 ;     
01.12.2007 00:00:00   ;   511,37 ;     
01.01.2008 00:00:00   ;   511,20 ;     
01.02.2008 00:00:00   ;   511,22 ;     
01.03.2008 00:00:00   ;   511,24 ;     
01.04.2008 00:00:00   ;   511,25 ;     
01.05.2008 00:00:00   ;   511,21 ;     
01.06.2008 00:00:00   ;   511,32 ;     
01.07.2008 00:00:00   ;   511,28 ;     
01.08.2008 00:00:00   ;   511,34 ;     
01.09.2008 00:00:00   ;   511,28 ;     
01.10.2008 00:00:00   ;   511,27 ;     
01.11.2008 00:00:00   ;   511,61 ;     
01.12.2008 00:00:00   ;   511,64 ;     
01.01.2009 00:00:00   ;   511,46 ;     
01.02.2009 00:00:00   ;   511,55 ;     
01.03.2009 00:00:00   ;   512,01 ;     
01.04.2009 00:00:00   ;   512,04 ;     
01.05.2009 00:00:00   ;   511,42 ;     
01.06.2009 00:00:00   ;   511,30 ;     
01.07.2009 00:00:00   ;   511,36 ;     
01.08.2009 00:00:00   ;   511,35 ;     
01.09.2009 00:00:00   ;   511,44 ;     
01.10.2009 00:00:00   ;   511,38 ;     
01.11.2009 00:00:00   ;   511,39 ;     
01.12.2009 00:00:00   ;   511,58 ;     
01.01.2010 00:00:00   ;   511,42 ;     
01.02.2010 00:00:00   ;   511,29 ;     
01.03.2010 00:00:00   ;   511,40 ;     
01.04.2010 00:00:00   ;   511,29 ;     
01.05.2010 00:00:00   ;   511,36 ;     
01.06.2010 00:00:00   ;   511,21 ;     
01.07.2010 00:00:00   ;   511,46 ;     
01.08.2010 00:00:00   ;   511,50 ;     
01.09.2010 00:00:00   ;   511,50 ;     
01.10.2010 00:00:00   ;   511,38 ;     
01.11.2010 00:00:00   ;   511,51 ;     
01.12.2010 00:00:00   ;   511,49 ;     
01.01.2011 00:00:00   ;   511,46 ;     
01.02.2011 00:00:00   ;   511,35 ;     
01.03.2011 00:00:00   ;   511,31 ;     
01.04.2011 00:00:00   ;   511,34 ;     
01.05.2011 00:00:00   ;   511,44 ;     
01.06.2011 00:00:00   ;   511,83 ;     
01.07.2011 00:00:00   ;   511,49 ;     
01.08.2011 00:00:00   ;   511,45 ;     
01.09.2011 00:00:00   ;   511,52 ;     
01.10.2011 00:00:00   ;   511,63 ;     
01.11.2011 00:00:00   ;   511,58 ;     
01.12.2011 00:00:00   ;   511,46 ;     
01.01.2012 00:00:00   ;   511,43 ;     
01.02.2012 00:00:00   ;   511,36 ;     
01.03.2012 00:00:00   ;   511,54 ;     
01.04.2012 00:00:00   ;   511,76 ;     
01.05.2012 00:00:00   ;   511,48 ;     
01.06.2012 00:00:00   ;   511,43 ;     
01.07.2012 00:00:00   ;   511,80 ;     
01.08.2012 00:00:00   ;   511,67 ;     
01.09.2012 00:00:00   ;   511,84 ;     
01.10.2012 00:00:00   ;   511,98 ;     
01.11.2012 00:00:00   ;   512,25 ;     
01.12.2012 00:00:00   ;   511,81 ;     
01.01.2013 00:00:00   ;   511,64 ;     
01.02.2013 00:00:00   ;   511,56 ;     
01.03.2013 00:00:00   ;   511,80 ;     
01.04.2013 00:00:00   ;   511,72 ;     
01.05.2013 00:00:00   ;   511,61 ;     
01.06.2013 00:00:00   ;   511,55 ;     
01.07.2013 00:00:00   ;   511,52 ;     
01.08.2013 00:00:00   ;   512,02 ;     
01.09.2013 00:00:00   ;   511,58 ;     
01.10.2013 00:00:00   ;   511,53 ;     
01.11.2013 00:00:00   ;   511,85 ;     
01.12.2013 00:00:00   ;   511,64 ;     
01.01.2014 00:00:00   ;   511,96 ;     
01.02.2014 00:00:00   ;   512,08 ;     
01.03.2014 00:00:00   ;   512,12 ;     
01.04.2014 00:00:00   ;   511,66 ;     
01.05.2014 00:00:00   ;   511,53 ;     
01.06.2014 00:00:00   ;   511,49 ;     
01.07.2014 00:00:00   ;   511,68 ;     
01.08.2014 00:00:00   ;   511,61 ;     
01.09.2014 00:00:00   ;   511,85 ;     
01.10.2014 00:00:00   ;   511,54 ;     
01.11.2014 00:00:00   ;   511,82 ;     
01.12.2014 00:00:00   ;   511,75 ;     
01.01.2015 00:00:00   ;   511,55 ;     
01.02.2015 00:00:00   ;   511,51 ;     
01.03.2015 00:00:00   ;   511,48 ;     
01.04.2015 00:00:00   ;   511,41 ;     
01.05.2015 00:00:00   ;   511,85 ;     
01.06.2015 00:00:00   ;   511,59 ;     
01.07.2015 00:00:00   ;   511,46 ;     
01.08.2015 00:00:00   ;   511,58 ;     
01.09.2015 00:00:00   ;   511,73 ;     
01.10.2015 00:00:00   ;   511,79 ;     
01.11.2015 00:00:00   ;   511,45 ;     
01.12.2015 00:00:00   ;   511,32 ;     
01.01.2016 00:00:00   ;   511,30 ;     
01.02.2016 00:00:00   ;   511,38 ;     
01.03.2016 00:00:00   ;   511,58 ;     
01.04.2016 00:00:00   ;   511,32 ;     
01.05.2016 00:00:00   ;   511,33 ;     
01.06.2016 00:00:00   ;   511,34 ;     
01.07.2016 00:00:00   ;   511,55 ;     
01.08.2016 00:00:00   ;   511,69 ;     
01.09.2016 00:00:00   ;   511,69 ;     
01.10.2016 00:00:00   ;   511,57 ;     
01.11.2016 00:00:00   ;   511,76 ;     
01.12.2016 00:00:00   ;   511,54 ;     
01.01.2017 00:00:00   ;   511,52 ;     
01.02.2017 00:00:00   ;   511,69 ;     
01.03.2017 00:00:00   ;   511,79 ;     
01.04.2017 00:00:00   ;   511,72 ;     
01.05.2017 00:00:00   ;   511,99 ;     
01.06.2017 00:00:00   ;   511,78 ;     
01.07.2017 00:00:00   ;   511,63 ;     
01.08.2017 00:00:00   ;   511,94 ;     
01.09.2017 00:00:00   ;   512,21 ;     
01.10.2017 00:00:00   ;   511,81 ;     
01.11.2017 00:00:00   ;   512,05 ;     
01.12.2017 00:00:00   ;   512,06 ;     
01.01.2018 00:00:00   ;   512,10 ;     
01.02.2018 00:00:00   ;   511,63 ;     
01.03.2018 00:00:00   ;   511,81 ;     
01.04.2018 00:00:00   ;   511,75 ;     
01.05.2018 00:00:00   ;   511,77 ;     
01.06.2018 00:00:00   ;   511,89 ;     
01.07.2018 00:00:00   ;   511,38 ;     
01.08.2018 00:00:00   ;Lücke     ;     
01.09.2018 00:00:00   ;Lücke     ;     
01.10.2018 00:00:00   ;   511,47 ;     
01.11.2018 00:00:00   ;   511,79 ;     
01.12.2018 00:00:00   ;   511,57 ;     
01.01.2019 00:00:00   ;   511,32 ;     
01.02.2019 00:00:00   ;   511,65 ;     
01.03.2019 00:00:00   ;   511,58 ;     
01.04.2019 00:00:00   ;   511,34 ;     
01.05.2019 00:00:00   ;   511,29 ;     
01.06.2019 00:00:00   ;   511,33 ;     
01.07.2019 00:00:00   ;   511,30 ;     
01.08.2019 00:00:00   ;   511,42 ;     
01.09.2019 00:00:00   ;   511,49 ;     
01.10.2019 00:00:00   ;   511,50 ;     
01.11.2019 00:00:00   ;   512,33 ;     
01.12.2019 00:00:00   ;   511,84 ;     
01.01.2020 00:00:00   ;   511,56 ;     
01.02.2020 00:00:00   ;   511,51 ;     
01.03.2020 00:00:00   ;   511,60 ;     
01.04.2020 00:00:00   ;   511,44 ;     
01.05.2020 00:00:00   ;   511,42 ;     
01.06.2020 00:00:00   ;   511,51 ;     
01.07.2020 00:00:00   ;   511,59 ;     
01.08.2020 00:00:00   ;   511,82 ;     
01.09.2020 00:00:00   ;   512,06 ;     
01.10.2020 00:00:00   ;   512,16 ;     
01.11.2020 00:00:00   ;   511,73 ;     
01.12.2020 00:00:00   ;   511,88 ;     
01.01.2021 00:00:00   ;   511,72 ;     
01.02.2021 00:00:00   ;   511,83 ;     
01.03.2021 00:00:00   ;   511,77 ;     
01.04.2021 00:00:00   ;   511,38 ;     
01.05.2021 00:00:00   ;   511,40 ;     
01.06.2021 00:00:00   ;   511,38 ;     
01.07.2021 00:00:00   ;   511,30 ;     
01.08.2021 00:00:00   ;   511,42 ;     
01.09.2021 00:00:00   ;   511,40 ;     
01.10.2021 00:00:00   ;   511,40 ;     
01.11.2021 00:00:00   ;   511,53 ;     
01.12.2021 00:00:00   ;   511,51 ;     
01.01.2022 00:00:00   ;Lücke         ; 
