Messstelle:                ;Langkampfen, Bl 23 (D43)
HZB-Nummer:                ;339705
HD-Nummer:                 ;
DBMS-Nummer:               ;7002240
Fremdnummer:               ;GW70515057
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.08.2019
 Geländehöhe:              ;482,84
 Messpunkthöhe:            ;484,02
 Sohllage:                 ;472,64
 T-Messtiefe u.GOK:        ;9,82
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1989               ;12 08 12                 ;47 33 57
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1997 bis -> FG06 durch Kraftwerk beeinflusst
  1999 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1997 AKorr 2001: durch Kraftwerk beeinflusst
  2019 HG33 durch Entleerung des nahegelegenen Stauraums beeinflusst
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1999 00:00:00   ;   480,63 ;     
01.02.1999 00:00:00   ;   480,59 ;     
01.03.1999 00:00:00   ;   481,19 ;     
01.04.1999 00:00:00   ;   480,90 ;     
01.05.1999 00:00:00   ;   481,57 ;     
01.06.1999 00:00:00   ;   481,57 ;     
01.07.1999 00:00:00   ;   481,44 ;     
01.08.1999 00:00:00   ;   481,12 ;     
01.09.1999 00:00:00   ;   480,85 ;     
01.10.1999 00:00:00   ;   480,65 ;     
01.11.1999 00:00:00   ;   480,42 ;     
01.12.1999 00:00:00   ;   480,34 ;     
01.01.2000 00:00:00   ;   480,24 ;     
01.02.2000 00:00:00   ;   480,51 ;     
01.03.2000 00:00:00   ;   480,74 ;     
01.04.2000 00:00:00   ;   480,57 ;     
01.05.2000 00:00:00   ;   481,10 ;     
01.06.2000 00:00:00   ;   481,27 ;     
01.07.2000 00:00:00   ;   481,06 ;     
01.08.2000 00:00:00   ;   481,19 ;     
01.09.2000 00:00:00   ;   480,72 ;     
01.10.2000 00:00:00   ;   480,75 ;     
01.11.2000 00:00:00   ;   480,42 ;     
01.12.2000 00:00:00   ;   480,26 ;     
01.01.2001 00:00:00   ;   480,09 ;     
01.02.2001 00:00:00   ;   480,11 ;     
01.03.2001 00:00:00   ;   480,30 ;     
01.04.2001 00:00:00   ;   480,41 ;     
01.05.2001 00:00:00   ;   480,82 ;     
01.06.2001 00:00:00   ;   481,34 ;     
01.07.2001 00:00:00   ;   481,34 ;     
01.08.2001 00:00:00   ;   481,13 ;     
01.09.2001 00:00:00   ;   480,86 ;     
01.10.2001 00:00:00   ;   480,49 ;     
01.11.2001 00:00:00   ;   480,22 ;     
01.12.2001 00:00:00   ;   480,35 ;     
01.01.2002 00:00:00   ;   480,01 ;     
01.02.2002 00:00:00   ;   480,08 ;     
01.03.2002 00:00:00   ;   480,33 ;     
01.04.2002 00:00:00   ;   480,34 ;     
01.05.2002 00:00:00   ;   480,56 ;     
01.06.2002 00:00:00   ;   480,85 ;     
01.07.2002 00:00:00   ;   480,74 ;     
01.08.2002 00:00:00   ;   480,94 ;     
01.09.2002 00:00:00   ;   480,61 ;     
01.10.2002 00:00:00   ;   480,47 ;     
01.11.2002 00:00:00   ;   480,56 ;     
01.12.2002 00:00:00   ;   480,32 ;     
01.01.2003 00:00:00   ;   480,18 ;     
01.02.2003 00:00:00   ;   480,07 ;     
01.03.2003 00:00:00   ;   480,11 ;     
01.04.2003 00:00:00   ;   480,05 ;     
01.05.2003 00:00:00   ;   480,50 ;     
01.06.2003 00:00:00   ;   480,80 ;     
01.07.2003 00:00:00   ;   480,48 ;     
01.08.2003 00:00:00   ;   480,27 ;     
01.09.2003 00:00:00   ;   480,04 ;     
01.10.2003 00:00:00   ;   480,15 ;     
01.11.2003 00:00:00   ;   479,86 ;     
01.12.2003 00:00:00   ;   479,69 ;     
01.01.2004 00:00:00   ;   479,76 ;     
01.02.2004 00:00:00   ;   479,77 ;     
01.03.2004 00:00:00   ;   479,93 ;     
01.04.2004 00:00:00   ;   479,99 ;     
01.05.2004 00:00:00   ;   480,11 ;     
01.06.2004 00:00:00   ;   480,84 ;     
01.07.2004 00:00:00   ;   481,24 ;     
01.08.2004 00:00:00   ;   480,87 ;     
01.09.2004 00:00:00   ;   480,68 ;     
01.10.2004 00:00:00   ;   480,44 ;     
01.11.2004 00:00:00   ;   480,30 ;     
01.12.2004 00:00:00   ;   480,10 ;     
01.01.2005 00:00:00   ;   479,96 ;     
01.02.2005 00:00:00   ;   480,01 ;     
01.03.2005 00:00:00   ;   480,24 ;     
01.04.2005 00:00:00   ;Lücke     ;     
01.05.2005 00:00:00   ;Lücke     ;     
01.06.2005 00:00:00   ;Lücke     ;     
01.07.2005 00:00:00   ;Lücke     ;     
01.08.2005 00:00:00   ;Lücke     ;     
01.09.2005 00:00:00   ;Lücke     ;     
01.10.2005 00:00:00   ;Lücke     ;     
01.11.2005 00:00:00   ;Lücke     ;     
01.12.2005 00:00:00   ;Lücke     ;     
01.01.2006 00:00:00   ;Lücke     ;     
01.02.2006 00:00:00   ;Lücke     ;     
01.03.2006 00:00:00   ;Lücke     ;     
01.04.2006 00:00:00   ;   480,70 ;     
01.05.2006 00:00:00   ;   480,71 ;     
01.06.2006 00:00:00   ;   481,09 ;     
01.07.2006 00:00:00   ;   480,97 ;     
01.08.2006 00:00:00   ;   480,80 ;     
01.09.2006 00:00:00   ;   480,40 ;     
01.10.2006 00:00:00   ;   480,21 ;     
01.11.2006 00:00:00   ;   480,27 ;     
01.12.2006 00:00:00   ;   480,09 ;     
01.01.2007 00:00:00   ;   480,06 ;     
01.02.2007 00:00:00   ;   480,06 ;     
01.03.2007 00:00:00   ;   480,21 ;     
01.04.2007 00:00:00   ;   480,14 ;     
01.05.2007 00:00:00   ;   480,25 ;     
01.06.2007 00:00:00   ;   480,53 ;     
01.07.2007 00:00:00   ;   480,66 ;     
01.08.2007 00:00:00   ;   480,35 ;     
01.09.2007 00:00:00   ;   481,13 ;     
01.10.2007 00:00:00   ;   480,55 ;     
01.11.2007 00:00:00   ;   480,54 ;     
01.12.2007 00:00:00   ;   480,41 ;     
01.01.2008 00:00:00   ;   480,22 ;     
01.02.2008 00:00:00   ;   480,19 ;     
01.03.2008 00:00:00   ;   480,25 ;     
01.04.2008 00:00:00   ;   480,46 ;     
01.05.2008 00:00:00   ;   480,67 ;     
01.06.2008 00:00:00   ;   481,21 ;     
01.07.2008 00:00:00   ;   481,28 ;     
01.08.2008 00:00:00   ;   481,20 ;     
01.09.2008 00:00:00   ;   480,74 ;     
01.10.2008 00:00:00   ;   480,46 ;     
01.11.2008 00:00:00   ;Lücke     ;     
01.12.2008 00:00:00   ;Lücke     ;     
01.01.2009 00:00:00   ;   480,26 ;     
01.02.2009 00:00:00   ;   480,16 ;     
01.03.2009 00:00:00   ;   480,62 ;     
01.04.2009 00:00:00   ;   480,69 ;     
01.05.2009 00:00:00   ;   480,77 ;     
01.06.2009 00:00:00   ;   481,28 ;     
01.07.2009 00:00:00   ;   481,45 ;     
01.08.2009 00:00:00   ;   481,18 ;     
01.09.2009 00:00:00   ;   480,79 ;     
01.10.2009 00:00:00   ;   480,59 ;     
01.11.2009 00:00:00   ;   480,44 ;     
01.12.2009 00:00:00   ;   480,37 ;     
01.01.2010 00:00:00   ;   480,29 ;     
01.02.2010 00:00:00   ;   480,24 ;     
01.03.2010 00:00:00   ;   480,32 ;     
01.04.2010 00:00:00   ;   480,25 ;     
01.05.2010 00:00:00   ;   480,40 ;     
01.06.2010 00:00:00   ;   481,16 ;     
01.07.2010 00:00:00   ;   481,17 ;     
01.08.2010 00:00:00   ;   481,13 ;     
01.09.2010 00:00:00   ;   480,96 ;     
01.10.2010 00:00:00   ;   480,49 ;     
01.11.2010 00:00:00   ;   480,35 ;     
01.12.2010 00:00:00   ;   480,30 ;     
01.01.2011 00:00:00   ;   480,25 ;     
01.02.2011 00:00:00   ;   480,10 ;     
01.03.2011 00:00:00   ;   480,01 ;     
01.04.2011 00:00:00   ;   480,10 ;     
01.05.2011 00:00:00   ;   480,25 ;     
01.06.2011 00:00:00   ;   480,56 ;     
01.07.2011 00:00:00   ;   480,59 ;     
01.08.2011 00:00:00   ;   480,61 ;     
01.09.2011 00:00:00   ;   480,31 ;     
01.10.2011 00:00:00   ;   480,42 ;     
01.11.2011 00:00:00   ;   479,99 ;     
01.12.2011 00:00:00   ;   479,90 ;     
01.01.2012 00:00:00   ;Lücke     ;     
01.02.2012 00:00:00   ;   480,07 ;     
01.03.2012 00:00:00   ;   480,44 ;     
01.04.2012 00:00:00   ;   480,21 ;     
01.05.2012 00:00:00   ;   480,51 ;     
01.06.2012 00:00:00   ;Lücke     ;     
01.07.2012 00:00:00   ;Lücke     ;     
01.08.2012 00:00:00   ;   480,87 ;     
01.09.2012 00:00:00   ;   480,81 ;     
01.10.2012 00:00:00   ;   480,49 ;     
01.11.2012 00:00:00   ;   480,25 ;     
01.12.2012 00:00:00   ;   480,17 ;     
01.01.2013 00:00:00   ;   480,46 ;     
01.02.2013 00:00:00   ;   480,12 ;     
01.03.2013 00:00:00   ;   480,00 ;     
01.04.2013 00:00:00   ;   480,04 ;     
01.05.2013 00:00:00   ;   480,61 ;     
01.06.2013 00:00:00   ;   481,37 ;     
01.07.2013 00:00:00   ;   481,22 ;     
01.08.2013 00:00:00   ;   480,90 ;     
01.09.2013 00:00:00   ;   480,75 ;     
01.10.2013 00:00:00   ;   480,59 ;     
01.11.2013 00:00:00   ;   480,55 ;     
01.12.2013 00:00:00   ;   480,31 ;     
01.01.2014 00:00:00   ;   480,14 ;     
01.02.2014 00:00:00   ;   480,16 ;     
01.03.2014 00:00:00   ;   480,07 ;     
01.04.2014 00:00:00   ;   480,13 ;     
01.05.2014 00:00:00   ;   480,50 ;     
01.06.2014 00:00:00   ;   480,68 ;     
01.07.2014 00:00:00   ;   480,83 ;     
01.08.2014 00:00:00   ;   481,20 ;     
01.09.2014 00:00:00   ;   481,13 ;     
01.10.2014 00:00:00   ;   480,90 ;     
01.11.2014 00:00:00   ;   480,80 ;     
01.12.2014 00:00:00   ;   480,54 ;     
01.01.2015 00:00:00   ;   480,59 ;     
01.02.2015 00:00:00   ;   480,41 ;     
01.03.2015 00:00:00   ;   480,46 ;     
01.04.2015 00:00:00   ;   480,58 ;     
01.05.2015 00:00:00   ;   480,81 ;     
01.06.2015 00:00:00   ;   481,10 ;     
01.07.2015 00:00:00   ;   481,16 ;     
01.08.2015 00:00:00   ;   480,78 ;     
01.09.2015 00:00:00   ;   480,53 ;     
01.10.2015 00:00:00   ;   480,39 ;     
01.11.2015 00:00:00   ;   480,22 ;     
01.12.2015 00:00:00   ;   480,10 ;     
01.01.2016 00:00:00   ;   480,02 ;     
01.02.2016 00:00:00   ;   480,36 ;     
01.03.2016 00:00:00   ;   480,14 ;     
01.04.2016 00:00:00   ;   480,24 ;     
01.05.2016 00:00:00   ;   480,45 ;     
01.06.2016 00:00:00   ;   481,07 ;     
01.07.2016 00:00:00   ;   481,18 ;     
01.08.2016 00:00:00   ;   481,30 ;     
01.09.2016 00:00:00   ;   480,82 ;     
01.10.2016 00:00:00   ;   480,50 ;     
01.11.2016 00:00:00   ;   480,36 ;     
01.12.2016 00:00:00   ;   480,33 ;     
01.01.2017 00:00:00   ;   480,21 ;     
01.02.2017 00:00:00   ;   480,31 ;     
01.03.2017 00:00:00   ;   480,45 ;     
01.04.2017 00:00:00   ;   480,33 ;     
01.05.2017 00:00:00   ;   480,53 ;     
01.06.2017 00:00:00   ;   480,75 ;     
01.07.2017 00:00:00   ;   480,77 ;     
01.08.2017 00:00:00   ;   481,09 ;     
01.09.2017 00:00:00   ;   481,41 ;     
01.10.2017 00:00:00   ;   480,92 ;     
01.11.2017 00:00:00   ;   480,81 ;     
01.12.2017 00:00:00   ;   480,57 ;     
01.01.2018 00:00:00   ;   480,68 ;     
01.02.2018 00:00:00   ;   480,53 ;     
01.03.2018 00:00:00   ;   480,41 ;     
01.04.2018 00:00:00   ;   480,54 ;     
01.05.2018 00:00:00   ;   480,86 ;     
01.06.2018 00:00:00   ;   480,92 ;     
01.07.2018 00:00:00   ;   480,60 ;     
01.08.2018 00:00:00   ;   480,39 ;     
01.09.2018 00:00:00   ;   480,32 ;     
01.10.2018 00:00:00   ;   480,06 ;     
01.11.2018 00:00:00   ;   480,16 ;     
01.12.2018 00:00:00   ;   480,34 ;     
01.01.2019 00:00:00   ;   480,49 ;     
01.02.2019 00:00:00   ;   480,36 ;     
01.03.2019 00:00:00   ;   480,95 ;     
01.04.2019 00:00:00   ;   480,59 ;     
01.05.2019 00:00:00   ;   480,76 ;     
01.06.2019 00:00:00   ;   481,70 ;     
01.07.2019 00:00:00   ;   481,54 ;     
01.08.2019 00:00:00   ;   481,24 ;     
01.09.2019 00:00:00   ;   481,03 ;     
01.10.2019 00:00:00   ;   480,93 ;     
01.11.2019 00:00:00   ;   480,90 ;     
01.12.2019 00:00:00   ;   480,12 ;     
01.01.2020 00:00:00   ;   480,94 ;     
01.02.2020 00:00:00   ;   480,89 ;     
01.03.2020 00:00:00   ;   480,62 ;     
01.04.2020 00:00:00   ;   480,54 ;     
01.05.2020 00:00:00   ;   480,74 ;     
01.06.2020 00:00:00   ;   480,95 ;     
01.07.2020 00:00:00   ;   481,09 ;     
01.08.2020 00:00:00   ;   480,97 ;     
01.09.2020 00:00:00   ;   481,19 ;     
01.10.2020 00:00:00   ;   481,09 ;     
01.11.2020 00:00:00   ;   480,80 ;     
01.12.2020 00:00:00   ;   480,48 ;     
01.01.2021 00:00:00   ;   480,30 ;     
01.02.2021 00:00:00   ;   480,42 ;     
01.03.2021 00:00:00   ;   480,29 ;     
01.04.2021 00:00:00   ;   480,26 ;     
01.05.2021 00:00:00   ;   480,49 ;     
01.06.2021 00:00:00   ;   481,01 ;     
01.07.2021 00:00:00   ;   481,15 ;     
01.08.2021 00:00:00   ;   481,45 ;     
01.09.2021 00:00:00   ;   480,90 ;     
01.10.2021 00:00:00   ;   480,56 ;     
01.11.2021 00:00:00   ;   480,48 ;     
01.12.2021 00:00:00   ;   480,42 ;     
01.01.2022 00:00:00   ;Lücke         ; 
