Messstelle:                ;Zwaring, Bl  4025
HZB-Nummer:                ;340109
HD-Nummer:                 ;uw4025
DBMS-Nummer:               ;6002807
PorenGW-Gebiet:            ;382 Kainachtal
Grundwasserkörper:         ;Kainach [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1995
 Geländehöhe:              ;309,89
 Messpunkthöhe:            ;310,69
 Sohllage:                 ;301,59
 T-Messtiefe u.GOK:        ;6,80
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 26 08                 ;46 53 57
  01.01.1995               ;15 26 07                 ;46 53 57
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1995 00:00:00   ;   308,81 ;     
01.02.1995 00:00:00   ;   309,24 ;     
01.03.1995 00:00:00   ;   309,49 ;     
01.04.1995 00:00:00   ;   309,07 ;     
01.05.1995 00:00:00   ;   308,89 ;     
01.06.1995 00:00:00   ;   308,73 ;     
01.07.1995 00:00:00   ;   308,62 ;     
01.08.1995 00:00:00   ;   308,76 ;     
01.09.1995 00:00:00   ;   309,07 ;     
01.10.1995 00:00:00   ;   308,99 ;     
01.11.1995 00:00:00   ;   308,72 ;     
01.12.1995 00:00:00   ;   308,60 ;     
01.01.1996 00:00:00   ;   308,70 ;     
01.02.1996 00:00:00   ;   308,68 ;     
01.03.1996 00:00:00   ;   308,87 ;     
01.04.1996 00:00:00   ;   309,56 ;     
01.05.1996 00:00:00   ;   309,26 ;     
01.06.1996 00:00:00   ;   309,03 ;     
01.07.1996 00:00:00   ;   308,94 ;     
01.08.1996 00:00:00   ;   308,67 ;     
01.09.1996 00:00:00   ;   308,85 ;     
01.10.1996 00:00:00   ;   309,29 ;     
01.11.1996 00:00:00   ;   309,13 ;     
01.12.1996 00:00:00   ;   308,90 ;     
01.01.1997 00:00:00   ;   308,73 ;     
01.02.1997 00:00:00   ;   308,71 ;     
01.03.1997 00:00:00   ;   308,67 ;     
01.04.1997 00:00:00   ;   308,55 ;     
01.05.1997 00:00:00   ;   308,43 ;     
01.06.1997 00:00:00   ;   308,38 ;     
