Messstelle:                ;Mettersdorf, Br  4125
HZB-Nummer:                ;343061
HD-Nummer:                 ;uw4125
DBMS-Nummer:               ;6003298
PorenGW-Gebiet:            ;384 Stainzbachtal
Grundwasserkörper:         ;Lassnitz, Stainzbach [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.10.2020
 Geländehöhe:              ;305,95
 Messpunkthöhe:            ;306,25
 Sohllage:                 ;301,20
 T-Messtiefe u.GOK:        ;4,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  24.11.2003               ;15 20 12                 ;46 51 59
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.2003 00:00:00   ;   303,63 ;     
01.01.2004 00:00:00   ;   303,69 ;     
01.02.2004 00:00:00   ;   303,68 ;     
01.03.2004 00:00:00   ;   303,91 ;     
01.04.2004 00:00:00   ;   303,88 ;     
01.05.2004 00:00:00   ;   303,79 ;     
01.06.2004 00:00:00   ;   304,06 ;     
01.07.2004 00:00:00   ;   303,94 ;     
01.08.2004 00:00:00   ;   303,72 ;     
01.09.2004 00:00:00   ;   303,73 ;     
01.10.2004 00:00:00   ;   303,77 ;     
01.11.2004 00:00:00   ;   303,86 ;     
01.12.2004 00:00:00   ;   303,72 ;     
01.01.2005 00:00:00   ;   303,70 ;     
01.02.2005 00:00:00   ;   303,63 ;     
01.03.2005 00:00:00   ;   303,72 ;     
01.04.2005 00:00:00   ;   303,92 ;     
01.05.2005 00:00:00   ;   303,74 ;     
01.06.2005 00:00:00   ;   303,61 ;     
01.07.2005 00:00:00   ;   303,74 ;     
01.08.2005 00:00:00   ;   303,83 ;     
01.09.2005 00:00:00   ;   303,84 ;     
01.10.2005 00:00:00   ;   303,89 ;     
01.11.2005 00:00:00   ;   303,67 ;     
01.12.2005 00:00:00   ;   303,78 ;     
01.01.2006 00:00:00   ;   303,76 ;     
01.02.2006 00:00:00   ;   303,73 ;     
01.03.2006 00:00:00   ;   304,04 ;     
01.04.2006 00:00:00   ;   303,86 ;     
01.05.2006 00:00:00   ;   303,88 ;     
01.06.2006 00:00:00   ;   303,79 ;     
01.07.2006 00:00:00   ;   303,68 ;     
01.08.2006 00:00:00   ;   303,64 ;     
01.09.2006 00:00:00   ;   303,74 ;     
01.10.2006 00:00:00   ;   303,67 ;     
01.11.2006 00:00:00   ;   303,62 ;     
01.12.2006 00:00:00   ;   303,63 ;     
01.01.2007 00:00:00   ;   303,65 ;     
01.02.2007 00:00:00   ;   303,74 ;     
01.03.2007 00:00:00   ;   303,82 ;     
01.04.2007 00:00:00   ;   303,82 ;     
01.05.2007 00:00:00   ;   303,73 ;     
01.06.2007 00:00:00   ;   303,65 ;     
01.07.2007 00:00:00   ;   303,60 ;     
01.08.2007 00:00:00   ;   303,59 ;     
01.09.2007 00:00:00   ;   303,73 ;     
01.10.2007 00:00:00   ;   303,73 ;     
01.11.2007 00:00:00   ;   303,74 ;     
01.12.2007 00:00:00   ;   303,74 ;     
01.01.2008 00:00:00   ;   303,68 ;     
01.02.2008 00:00:00   ;   303,64 ;     
01.03.2008 00:00:00   ;   303,62 ;     
01.04.2008 00:00:00   ;   303,61 ;     
01.05.2008 00:00:00   ;   303,58 ;     
01.06.2008 00:00:00   ;   303,68 ;     
01.07.2008 00:00:00   ;   303,71 ;     
01.08.2008 00:00:00   ;   303,64 ;     
01.09.2008 00:00:00   ;   303,61 ;     
01.10.2008 00:00:00   ;   303,62 ;     
01.11.2008 00:00:00   ;   303,62 ;     
01.12.2008 00:00:00   ;   303,86 ;     
01.01.2009 00:00:00   ;   303,76 ;     
01.02.2009 00:00:00   ;   303,92 ;     
01.03.2009 00:00:00   ;   303,75 ;     
01.04.2009 00:00:00   ;   303,68 ;     
01.05.2009 00:00:00   ;   303,76 ;     
01.06.2009 00:00:00   ;   303,89 ;     
01.07.2009 00:00:00   ;   303,95 ;     
01.08.2009 00:00:00   ;   303,91 ;     
01.09.2009 00:00:00   ;   303,96 ;     
01.10.2009 00:00:00   ;   303,74 ;     
01.11.2009 00:00:00   ;   303,81 ;     
01.12.2009 00:00:00   ;   303,82 ;     
01.01.2010 00:00:00   ;   303,77 ;     
01.02.2010 00:00:00   ;   303,79 ;     
01.03.2010 00:00:00   ;   303,95 ;     
01.04.2010 00:00:00   ;   303,75 ;     
01.05.2010 00:00:00   ;   303,71 ;     
01.06.2010 00:00:00   ;   303,73 ;     
01.07.2010 00:00:00   ;   303,61 ;     
01.08.2010 00:00:00   ;   303,68 ;     
01.09.2010 00:00:00   ;   303,86 ;     
01.10.2010 00:00:00   ;   303,84 ;     
01.11.2010 00:00:00   ;   303,85 ;     
01.12.2010 00:00:00   ;   303,92 ;     
01.01.2011 00:00:00   ;   303,87 ;     
01.02.2011 00:00:00   ;   303,73 ;     
01.03.2011 00:00:00   ;   303,74 ;     
01.04.2011 00:00:00   ;   303,68 ;     
01.05.2011 00:00:00   ;   303,64 ;     
01.06.2011 00:00:00   ;   303,69 ;     
01.07.2011 00:00:00   ;   303,64 ;     
01.08.2011 00:00:00   ;   303,69 ;     
01.09.2011 00:00:00   ;   303,58 ;     
01.10.2011 00:00:00   ;   303,63 ;     
01.11.2011 00:00:00   ;   303,66 ;     
01.12.2011 00:00:00   ;   303,60 ;     
01.01.2012 00:00:00   ;   303,58 ;     
01.02.2012 00:00:00   ;   303,58 ;     
01.03.2012 00:00:00   ;   303,61 ;     
01.04.2012 00:00:00   ;   303,63 ;     
01.05.2012 00:00:00   ;   303,67 ;     
01.06.2012 00:00:00   ;   303,71 ;     
01.07.2012 00:00:00   ;   303,81 ;     
01.08.2012 00:00:00   ;   303,75 ;     
01.09.2012 00:00:00   ;   303,77 ;     
01.10.2012 00:00:00   ;   303,81 ;     
01.11.2012 00:00:00   ;   303,97 ;     
01.12.2012 00:00:00   ;   303,83 ;     
01.01.2013 00:00:00   ;   303,81 ;     
01.02.2013 00:00:00   ;   304,04 ;     
01.03.2013 00:00:00   ;   304,10 ;     
01.04.2013 00:00:00   ;   303,96 ;     
01.05.2013 00:00:00   ;   303,82 ;     
01.06.2013 00:00:00   ;   303,76 ;     
01.07.2013 00:00:00   ;   303,62 ;     
01.08.2013 00:00:00   ;   303,53 ;     
01.09.2013 00:00:00   ;   303,57 ;     
01.10.2013 00:00:00   ;   303,62 ;     
01.11.2013 00:00:00   ;   303,77 ;     
01.12.2013 00:00:00   ;   303,76 ;     
01.01.2014 00:00:00   ;   303,76 ;     
01.02.2014 00:00:00   ;   304,05 ;     
01.03.2014 00:00:00   ;   303,82 ;     
01.04.2014 00:00:00   ;   303,73 ;     
01.05.2014 00:00:00   ;   303,88 ;     
01.06.2014 00:00:00   ;   303,69 ;     
01.07.2014 00:00:00   ;   303,73 ;     
01.08.2014 00:00:00   ;   303,90 ;     
01.09.2014 00:00:00   ;   304,10 ;     
01.10.2014 00:00:00   ;   303,78 ;     
01.11.2014 00:00:00   ;   303,86 ;     
01.12.2014 00:00:00   ;   303,92 ;     
01.01.2015 00:00:00   ;   303,77 ;     
01.02.2015 00:00:00   ;   303,80 ;     
01.03.2015 00:00:00   ;   303,79 ;     
01.04.2015 00:00:00   ;   303,69 ;     
01.05.2015 00:00:00   ;   303,68 ;     
01.06.2015 00:00:00   ;   303,73 ;     
01.07.2015 00:00:00   ;   303,75 ;     
01.08.2015 00:00:00   ;   303,86 ;     
01.09.2015 00:00:00   ;   303,83 ;     
01.10.2015 00:00:00   ;   304,03 ;     
01.11.2015 00:00:00   ;   303,79 ;     
01.12.2015 00:00:00   ;   303,70 ;     
01.01.2016 00:00:00   ;   303,68 ;     
01.02.2016 00:00:00   ;   303,84 ;     
01.03.2016 00:00:00   ;   303,96 ;     
01.04.2016 00:00:00   ;   303,72 ;     
01.05.2016 00:00:00   ;   303,83 ;     
01.06.2016 00:00:00   ;   303,75 ;     
01.07.2016 00:00:00   ;   303,74 ;     
01.08.2016 00:00:00   ;   303,78 ;     
01.09.2016 00:00:00   ;   303,74 ;     
01.10.2016 00:00:00   ;   303,70 ;     
01.11.2016 00:00:00   ;   303,91 ;     
01.12.2016 00:00:00   ;   303,74 ;     
01.01.2017 00:00:00   ;   303,64 ;     
01.02.2017 00:00:00   ;   303,70 ;     
01.03.2017 00:00:00   ;   303,67 ;     
01.04.2017 00:00:00   ;   303,61 ;     
01.05.2017 00:00:00   ;   303,68 ;     
01.06.2017 00:00:00   ;   303,65 ;     
01.07.2017 00:00:00   ;   303,66 ;     
