Messstelle:                ;Stainz bei Straden, Br  3974
HZB-Nummer:                ;343285
HD-Nummer:                 ;uw3974
DBMS-Nummer:               ;6003320
PorenGW-Gebiet:            ;397 Sulzbachtal
Grundwasserkörper:         ;Gruppe Hügelland zwischen Mur und Raab [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;13.05.2020
 Geländehöhe:              ;251,65
 Messpunkthöhe:            ;251,80
 Sohllage:                 ;247,85
 T-Messtiefe u.GOK:        ;3,75
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.05.2004               ;15 53 27                 ;46 49 18
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2004 00:00:00   ;   250,07 ;     
01.06.2004 00:00:00   ;   250,25 ;     
01.07.2004 00:00:00   ;   250,10 ;     
01.08.2004 00:00:00   ;   249,78 ;     
01.09.2004 00:00:00   ;   249,58 ;     
01.10.2004 00:00:00   ;   249,72 ;     
01.11.2004 00:00:00   ;   249,91 ;     
01.12.2004 00:00:00   ;   249,76 ;     
01.01.2005 00:00:00   ;   249,84 ;     
01.02.2005 00:00:00   ;   249,82 ;     
01.03.2005 00:00:00   ;   250,16 ;     
01.04.2005 00:00:00   ;   250,32 ;     
01.05.2005 00:00:00   ;   250,18 ;     
01.06.2005 00:00:00   ;   249,95 ;     
01.07.2005 00:00:00   ;   250,14 ;     
01.08.2005 00:00:00   ;   250,23 ;     
01.09.2005 00:00:00   ;   250,16 ;     
