Messstelle:                ;Hof b. Straden, Bl  3976
HZB-Nummer:                ;343954
HD-Nummer:                 ;uw3976
DBMS-Nummer:               ;6003372
Fremdnummer:               ;G 17
PorenGW-Gebiet:            ;397 Sulzbachtal
Grundwasserkörper:         ;Gruppe Hügelland zwischen Mur und Raab [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;21.07.2006
 Geländehöhe:              ;246,46
 Messpunkthöhe:            ;247,56
 Sohllage:                 ;239,31
 T-Messtiefe u.GOK:        ;5,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2006               ;15 53 30                 ;46 47 54
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.08.2006 00:00:00   ;   245,03 ;     
01.09.2006 00:00:00   ;   245,28 ;     
01.10.2006 00:00:00   ;   245,25 ;     
01.11.2006 00:00:00   ;   245,23 ;     
01.12.2006 00:00:00   ;   245,28 ;     
01.01.2007 00:00:00   ;   245,34 ;     
01.02.2007 00:00:00   ;   245,52 ;     
01.03.2007 00:00:00   ;   245,62 ;     
01.04.2007 00:00:00   ;   245,39 ;     
01.05.2007 00:00:00   ;   245,15 ;     
01.06.2007 00:00:00   ;   245,21 ;     
01.07.2007 00:00:00   ;   244,85 ;     
01.08.2007 00:00:00   ;   244,47 ;     
01.09.2007 00:00:00   ;   245,15 ;     
01.10.2007 00:00:00   ;   245,47 ;     
01.11.2007 00:00:00   ;   245,46 ;     
01.12.2007 00:00:00   ;   245,58 ;     
01.01.2008 00:00:00   ;   245,42 ;     
01.02.2008 00:00:00   ;   245,32 ;     
01.03.2008 00:00:00   ;   245,29 ;     
01.04.2008 00:00:00   ;   245,30 ;     
01.05.2008 00:00:00   ;   245,19 ;     
01.06.2008 00:00:00   ;   245,23 ;     
01.07.2008 00:00:00   ;   245,46 ;     
01.08.2008 00:00:00   ;   245,48 ;     
01.09.2008 00:00:00   ;   245,35 ;     
01.10.2008 00:00:00   ;   245,39 ;     
01.11.2008 00:00:00   ;   245,42 ;     
01.12.2008 00:00:00   ;   245,72 ;     
01.01.2009 00:00:00   ;   245,55 ;     
01.02.2009 00:00:00   ;   245,70 ;     
01.03.2009 00:00:00   ;   245,52 ;     
01.04.2009 00:00:00   ;   245,43 ;     
01.05.2009 00:00:00   ;   245,45 ;     
01.06.2009 00:00:00   ;   245,53 ;     
01.07.2009 00:00:00   ;   245,68 ;     
01.08.2009 00:00:00   ;   245,49 ;     
01.09.2009 00:00:00   ;   245,27 ;     
01.10.2009 00:00:00   ;   245,22 ;     
01.11.2009 00:00:00   ;   245,55 ;     
01.12.2009 00:00:00   ;   245,60 ;     
01.01.2010 00:00:00   ;   245,55 ;     
01.02.2010 00:00:00   ;   245,45 ;     
01.03.2010 00:00:00   ;   245,42 ;     
01.04.2010 00:00:00   ;   245,30 ;     
01.05.2010 00:00:00   ;   245,19 ;     
01.06.2010 00:00:00   ;   245,39 ;     
01.07.2010 00:00:00   ;   244,91 ;     
01.08.2010 00:00:00   ;   244,68 ;     
01.09.2010 00:00:00   ;   245,25 ;     
01.10.2010 00:00:00   ;   245,53 ;     
01.11.2010 00:00:00   ;   245,61 ;     
01.12.2010 00:00:00   ;   245,72 ;     
01.01.2011 00:00:00   ;   245,56 ;     
01.02.2011 00:00:00   ;   245,42 ;     
01.03.2011 00:00:00   ;   245,36 ;     
01.04.2011 00:00:00   ;   245,28 ;     
01.05.2011 00:00:00   ;   245,35 ;     
01.06.2011 00:00:00   ;   245,48 ;     
01.07.2011 00:00:00   ;   245,15 ;     
01.08.2011 00:00:00   ;   244,90 ;     
01.09.2011 00:00:00   ;   244,78 ;     
01.10.2011 00:00:00   ;   245,03 ;     
01.11.2011 00:00:00   ;   245,09 ;     
01.12.2011 00:00:00   ;   245,11 ;     
01.01.2012 00:00:00   ;   245,10 ;     
01.02.2012 00:00:00   ;   245,06 ;     
01.03.2012 00:00:00   ;   245,15 ;     
01.04.2012 00:00:00   ;   245,11 ;     
01.05.2012 00:00:00   ;   245,39 ;     
01.06.2012 00:00:00   ;   245,16 ;     
01.07.2012 00:00:00   ;   244,91 ;     
01.08.2012 00:00:00   ;   244,71 ;     
01.09.2012 00:00:00   ;   244,74 ;     
01.10.2012 00:00:00   ;   245,34 ;     
01.11.2012 00:00:00   ;   245,76 ;     
01.12.2012 00:00:00   ;   245,69 ;     
01.01.2013 00:00:00   ;   245,65 ;     
01.02.2013 00:00:00   ;   245,81 ;     
01.03.2013 00:00:00   ;   245,89 ;     
01.04.2013 00:00:00   ;   245,67 ;     
01.05.2013 00:00:00   ;   245,57 ;     
01.06.2013 00:00:00   ;   245,47 ;     
01.07.2013 00:00:00   ;   245,09 ;     
01.08.2013 00:00:00   ;   244,46 ;     
01.09.2013 00:00:00   ;   244,21 ;     
01.10.2013 00:00:00   ;   244,21 ;     
01.11.2013 00:00:00   ;   245,11 ;     
01.12.2013 00:00:00   ;   245,41 ;     
01.01.2014 00:00:00   ;   245,50 ;     
01.02.2014 00:00:00   ;   245,83 ;     
01.03.2014 00:00:00   ;   245,47 ;     
01.04.2014 00:00:00   ;   245,26 ;     
01.05.2014 00:00:00   ;   245,41 ;     
01.06.2014 00:00:00   ;   245,15 ;     
01.07.2014 00:00:00   ;   245,19 ;     
01.08.2014 00:00:00   ;   245,43 ;     
01.09.2014 00:00:00   ;   245,85 ;     
01.10.2014 00:00:00   ;   245,56 ;     
01.11.2014 00:00:00   ;   245,64 ;     
01.12.2014 00:00:00   ;   245,75 ;     
01.01.2015 00:00:00   ;   245,59 ;     
01.02.2015 00:00:00   ;   245,69 ;     
01.03.2015 00:00:00   ;   245,51 ;     
01.04.2015 00:00:00   ;   245,34 ;     
01.05.2015 00:00:00   ;   245,40 ;     
01.06.2015 00:00:00   ;   245,29 ;     
01.07.2015 00:00:00   ;   244,94 ;     
01.08.2015 00:00:00   ;   244,74 ;     
01.09.2015 00:00:00   ;   244,57 ;     
01.10.2015 00:00:00   ;   245,08 ;     
01.11.2015 00:00:00   ;   245,23 ;     
01.12.2015 00:00:00   ;   245,05 ;     
01.01.2016 00:00:00   ;   245,19 ;     
01.02.2016 00:00:00   ;   245,66 ;     
01.03.2016 00:00:00   ;   245,65 ;     
01.04.2016 00:00:00   ;   245,30 ;     
01.05.2016 00:00:00   ;   245,48 ;     
01.06.2016 00:00:00   ;   245,32 ;     
01.07.2016 00:00:00   ;   245,22 ;     
01.08.2016 00:00:00   ;   244,95 ;     
01.09.2016 00:00:00   ;   244,77 ;     
01.10.2016 00:00:00   ;   244,86 ;     
01.11.2016 00:00:00   ;   245,57 ;     
01.12.2016 00:00:00   ;   245,37 ;     
01.01.2017 00:00:00   ;   245,14 ;     
01.02.2017 00:00:00   ;   245,52 ;     
01.03.2017 00:00:00   ;   245,37 ;     
01.04.2017 00:00:00   ;   245,19 ;     
01.05.2017 00:00:00   ;   245,34 ;     
01.06.2017 00:00:00   ;   245,17 ;     
01.07.2017 00:00:00   ;   244,88 ;     
01.08.2017 00:00:00   ;   244,41 ;     
01.09.2017 00:00:00   ;   244,68 ;     
01.10.2017 00:00:00   ;   245,05 ;     
01.11.2017 00:00:00   ;   245,39 ;     
01.12.2017 00:00:00   ;   245,72 ;     
01.01.2018 00:00:00   ;   245,67 ;     
01.02.2018 00:00:00   ;   245,74 ;     
01.03.2018 00:00:00   ;   245,76 ;     
01.04.2018 00:00:00   ;   245,52 ;     
01.05.2018 00:00:00   ;   245,44 ;     
01.06.2018 00:00:00   ;   245,32 ;     
01.07.2018 00:00:00   ;   245,10 ;     
01.08.2018 00:00:00   ;   244,78 ;     
01.09.2018 00:00:00   ;   244,63 ;     
01.10.2018 00:00:00   ;   244,38 ;     
01.11.2018 00:00:00   ;   244,38 ;     
01.12.2018 00:00:00   ;   244,58 ;     
01.01.2019 00:00:00   ;   244,65 ;     
01.02.2019 00:00:00   ;   244,99 ;     
01.03.2019 00:00:00   ;   244,96 ;     
01.04.2019 00:00:00   ;   245,19 ;     
01.05.2019 00:00:00   ;   245,33 ;     
01.06.2019 00:00:00   ;   245,31 ;     
01.07.2019 00:00:00   ;   244,82 ;     
01.08.2019 00:00:00   ;   244,43 ;     
01.09.2019 00:00:00   ;   244,26 ;     
01.10.2019 00:00:00   ;   244,36 ;     
01.11.2019 00:00:00   ;   244,88 ;     
01.12.2019 00:00:00   ;   245,48 ;     
01.01.2020 00:00:00   ;   245,37 ;     
01.02.2020 00:00:00   ;   245,26 ;     
01.03.2020 00:00:00   ;   245,35 ;     
01.04.2020 00:00:00   ;   245,17 ;     
01.05.2020 00:00:00   ;   245,06 ;     
01.06.2020 00:00:00   ;   245,09 ;     
01.07.2020 00:00:00   ;   245,43 ;     
01.08.2020 00:00:00   ;   245,62 ;     
01.09.2020 00:00:00   ;   245,39 ;     
01.10.2020 00:00:00   ;   245,79 ;     
01.11.2020 00:00:00   ;   245,45 ;     
01.12.2020 00:00:00   ;   245,67 ;     
01.01.2021 00:00:00   ;   245,63 ;     
01.02.2021 00:00:00   ;   245,58 ;     
01.03.2021 00:00:00   ;   245,33 ;     
01.04.2021 00:00:00   ;   245,25 ;     
01.05.2021 00:00:00   ;   245,41 ;     
01.06.2021 00:00:00   ;   245,33 ;     
01.07.2021 00:00:00   ;   244,87 ;     
01.08.2021 00:00:00   ;   244,69 ;     
01.09.2021 00:00:00   ;   244,57 ;     
01.10.2021 00:00:00   ;   244,86 ;     
01.11.2021 00:00:00   ;   245,17 ;     
01.12.2021 00:00:00   ;   245,70 ;     
01.01.2022 00:00:00   ;Lücke         ; 
