Messstelle:                ;Wartberg, Br W1
HZB-Nummer:                ;344663
HD-Nummer:                 ;TW1
DBMS-Nummer:               ;4003252
PorenGW-Gebiet:            ;131 Fernbachgebiet
Grundwasserkörper:         ;Gruppe Zwischen Krems und Moosbachl [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.08.2011
 Geländehöhe:              ;496,69
 Messpunkthöhe:            ;497,00
 Sohllage:                 ;490,20
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  11.08.2009               ;14 09 32                 ;48 00 01
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.09.2009 00:00:00   ;   494,33 ;     
01.10.2009 00:00:00   ;   494,17 ;     
01.11.2009 00:00:00   ;   494,18 ;     
01.12.2009 00:00:00   ;   494,30 ;     
01.01.2010 00:00:00   ;   494,24 ;     
01.02.2010 00:00:00   ;   494,22 ;     
01.03.2010 00:00:00   ;   494,41 ;     
01.04.2010 00:00:00   ;   494,26 ;     
01.05.2010 00:00:00   ;   494,30 ;     
01.06.2010 00:00:00   ;   494,51 ;     
01.07.2010 00:00:00   ;   494,37 ;     
01.08.2010 00:00:00   ;   494,40 ;     
01.09.2010 00:00:00   ;   494,26 ;     
01.10.2010 00:00:00   ;   494,00 ;     
01.11.2010 00:00:00   ;   494,05 ;     
01.12.2010 00:00:00   ;   494,25 ;     
01.01.2011 00:00:00   ;   494,45 ;     
01.02.2011 00:00:00   ;   494,42 ;     
01.03.2011 00:00:00   ;   494,28 ;     
01.04.2011 00:00:00   ;   494,13 ;     
