Messstelle:                ;Hall, Bl 5
HZB-Nummer:                ;346429
HD-Nummer:                 ;
DBMS-Nummer:               ;7004044
Fremdnummer:               ;GW70354041
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Stadtwerke Hall
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.05.2018
 Geländehöhe:              ;560,13
 Messpunkthöhe:            ;561,13
 Sohllage:                 ;553,27
 T-Messtiefe u.GOK:        ;5,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.03.1998               ;11 30 08                 ;47 16 44
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.1998 00:00:00   ;   556,05 ;     
01.04.1998 00:00:00   ;   556,20 ;     
01.05.1998 00:00:00   ;   556,70 ;     
01.06.1998 00:00:00   ;   557,32 ;     
01.07.1998 00:00:00   ;   557,37 ;     
01.08.1998 00:00:00   ;   557,20 ;     
01.09.1998 00:00:00   ;   556,94 ;     
01.10.1998 00:00:00   ;   556,80 ;     
01.11.1998 00:00:00   ;   556,59 ;     
01.12.1998 00:00:00   ;   556,33 ;     
01.01.1999 00:00:00   ;   556,12 ;     
01.02.1999 00:00:00   ;   556,14 ;     
01.03.1999 00:00:00   ;   556,45 ;     
01.04.1999 00:00:00   ;   556,67 ;     
01.05.1999 00:00:00   ;   557,83 ;     
01.06.1999 00:00:00   ;   558,27 ;     
01.07.1999 00:00:00   ;   557,88 ;     
01.08.1999 00:00:00   ;   557,58 ;     
01.09.1999 00:00:00   ;   557,21 ;     
01.10.1999 00:00:00   ;   557,02 ;     
01.11.1999 00:00:00   ;   556,58 ;     
01.12.1999 00:00:00   ;   556,33 ;     
01.01.2000 00:00:00   ;   556,18 ;     
01.02.2000 00:00:00   ;   556,23 ;     
01.03.2000 00:00:00   ;   556,36 ;     
01.04.2000 00:00:00   ;   556,69 ;     
01.05.2000 00:00:00   ;   557,59 ;     
01.06.2000 00:00:00   ;   557,77 ;     
01.07.2000 00:00:00   ;   557,38 ;     
01.08.2000 00:00:00   ;   557,69 ;     
01.09.2000 00:00:00   ;   556,97 ;     
01.10.2000 00:00:00   ;   557,16 ;     
01.11.2000 00:00:00   ;   556,86 ;     
01.12.2000 00:00:00   ;   556,56 ;     
01.01.2001 00:00:00   ;   556,26 ;     
01.02.2001 00:00:00   ;   556,23 ;     
01.03.2001 00:00:00   ;   556,33 ;     
01.04.2001 00:00:00   ;   556,51 ;     
01.05.2001 00:00:00   ;   557,37 ;     
01.06.2001 00:00:00   ;   558,01 ;     
01.07.2001 00:00:00   ;   558,09 ;     
01.08.2001 00:00:00   ;   557,69 ;     
01.09.2001 00:00:00   ;   557,14 ;     
01.10.2001 00:00:00   ;   556,75 ;     
01.11.2001 00:00:00   ;   556,42 ;     
01.12.2001 00:00:00   ;   556,28 ;     
01.01.2002 00:00:00   ;   556,10 ;     
01.02.2002 00:00:00   ;   556,04 ;     
01.03.2002 00:00:00   ;   556,19 ;     
01.04.2002 00:00:00   ;   556,41 ;     
01.05.2002 00:00:00   ;   557,02 ;     
01.06.2002 00:00:00   ;   557,70 ;     
01.07.2002 00:00:00   ;   557,29 ;     
01.08.2002 00:00:00   ;   557,20 ;     
01.09.2002 00:00:00   ;   556,84 ;     
01.10.2002 00:00:00   ;   556,51 ;     
01.11.2002 00:00:00   ;   556,69 ;     
01.12.2002 00:00:00   ;   556,56 ;     
01.01.2003 00:00:00   ;   556,28 ;     
01.02.2003 00:00:00   ;   556,26 ;     
01.03.2003 00:00:00   ;   556,12 ;     
01.04.2003 00:00:00   ;   556,16 ;     
01.05.2003 00:00:00   ;   556,98 ;     
01.06.2003 00:00:00   ;   557,60 ;     
01.07.2003 00:00:00   ;   557,17 ;     
01.08.2003 00:00:00   ;   556,99 ;     
01.09.2003 00:00:00   ;   556,53 ;     
01.10.2003 00:00:00   ;   556,41 ;     
01.11.2003 00:00:00   ;   556,26 ;     
01.12.2003 00:00:00   ;   556,20 ;     
01.01.2004 00:00:00   ;   556,12 ;     
01.02.2004 00:00:00   ;   556,04 ;     
01.03.2004 00:00:00   ;   556,13 ;     
01.04.2004 00:00:00   ;   556,25 ;     
01.05.2004 00:00:00   ;   556,65 ;     
01.06.2004 00:00:00   ;   557,32 ;     
01.07.2004 00:00:00   ;   557,53 ;     
01.08.2004 00:00:00   ;   557,23 ;     
01.09.2004 00:00:00   ;   556,81 ;     
01.10.2004 00:00:00   ;   556,47 ;     
01.11.2004 00:00:00   ;   556,39 ;     
01.12.2004 00:00:00   ;   556,24 ;     
01.01.2005 00:00:00   ;   556,07 ;     
01.02.2005 00:00:00   ;   556,06 ;     
01.03.2005 00:00:00   ;   556,10 ;     
01.04.2005 00:00:00   ;   556,20 ;     
01.05.2005 00:00:00   ;   556,53 ;     
01.06.2005 00:00:00   ;   557,10 ;     
01.07.2005 00:00:00   ;   557,29 ;     
01.08.2005 00:00:00   ;   557,20 ;     
01.09.2005 00:00:00   ;   557,15 ;     
01.10.2005 00:00:00   ;   556,55 ;     
01.11.2005 00:00:00   ;   556,33 ;     
01.12.2005 00:00:00   ;   556,19 ;     
01.01.2006 00:00:00   ;   556,05 ;     
01.02.2006 00:00:00   ;   555,98 ;     
01.03.2006 00:00:00   ;   556,02 ;     
01.04.2006 00:00:00   ;   556,29 ;     
01.05.2006 00:00:00   ;   557,02 ;     
01.06.2006 00:00:00   ;   557,42 ;     
01.07.2006 00:00:00   ;   557,48 ;     
01.08.2006 00:00:00   ;   557,23 ;     
01.09.2006 00:00:00   ;   556,80 ;     
01.10.2006 00:00:00   ;   556,42 ;     
01.11.2006 00:00:00   ;   556,18 ;     
01.12.2006 00:00:00   ;   556,02 ;     
01.01.2007 00:00:00   ;   555,93 ;     
01.02.2007 00:00:00   ;   555,96 ;     
01.03.2007 00:00:00   ;   556,00 ;     
01.04.2007 00:00:00   ;   556,20 ;     
01.05.2007 00:00:00   ;   556,48 ;     
01.06.2007 00:00:00   ;   557,03 ;     
01.07.2007 00:00:00   ;   557,25 ;     
01.08.2007 00:00:00   ;   556,98 ;     
01.09.2007 00:00:00   ;   556,93 ;     
01.10.2007 00:00:00   ;   556,54 ;     
01.11.2007 00:00:00   ;   556,24 ;     
01.12.2007 00:00:00   ;   556,07 ;     
01.01.2008 00:00:00   ;   556,00 ;     
01.02.2008 00:00:00   ;   555,98 ;     
01.03.2008 00:00:00   ;   556,09 ;     
01.04.2008 00:00:00   ;   556,21 ;     
01.05.2008 00:00:00   ;   556,95 ;     
01.06.2008 00:00:00   ;   557,85 ;     
01.07.2008 00:00:00   ;   557,95 ;     
01.08.2008 00:00:00   ;   557,54 ;     
01.09.2008 00:00:00   ;   557,10 ;     
01.10.2008 00:00:00   ;   556,54 ;     
01.11.2008 00:00:00   ;   556,33 ;     
