Messstelle:                ;Matrei i.O., Bl 1
HZB-Nummer:                ;346932
HD-Nummer:                 ;
DBMS-Nummer:               ;7004230
Fremdnummer:               ;GW70717005
PorenGW-Gebiet:            ;402 Matreier Becken-Virgental
Grundwasserkörper:         ;Gruppe Zentralzone [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.04.2018
 Geländehöhe:              ;931,97
 Messpunkthöhe:            ;932,97
 Sohllage:                 ;923,77
 T-Messtiefe u.GOK:        ;7,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;12 32 09                 ;46 59 33
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2003 00:00:00   ;   927,96 ;     
01.02.2003 00:00:00   ;   927,90 ;     
01.03.2003 00:00:00   ;   927,90 ;     
01.04.2003 00:00:00   ;   927,98 ;     
01.05.2003 00:00:00   ;   928,55 ;     
01.06.2003 00:00:00   ;   928,85 ;     
01.07.2003 00:00:00   ;   928,60 ;     
01.08.2003 00:00:00   ;   928,55 ;     
01.09.2003 00:00:00   ;   928,18 ;     
01.10.2003 00:00:00   ;   928,14 ;     
01.11.2003 00:00:00   ;   928,05 ;     
01.12.2003 00:00:00   ;   927,94 ;     
01.01.2004 00:00:00   ;   927,90 ;     
01.02.2004 00:00:00   ;   927,87 ;     
01.03.2004 00:00:00   ;   927,87 ;     
01.04.2004 00:00:00   ;   928,00 ;     
01.05.2004 00:00:00   ;   928,20 ;     
01.06.2004 00:00:00   ;   928,65 ;     
01.07.2004 00:00:00   ;   928,79 ;     
01.08.2004 00:00:00   ;   928,52 ;     
01.09.2004 00:00:00   ;   928,30 ;     
01.10.2004 00:00:00   ;   928,15 ;     
01.11.2004 00:00:00   ;   928,15 ;     
01.12.2004 00:00:00   ;   927,94 ;     
01.01.2005 00:00:00   ;   927,93 ;     
01.02.2005 00:00:00   ;   927,89 ;     
01.03.2005 00:00:00   ;   927,93 ;     
01.04.2005 00:00:00   ;   927,98 ;     
01.05.2005 00:00:00   ;   928,30 ;     
01.06.2005 00:00:00   ;   928,52 ;     
