Messstelle:                ;Sicheldorf, Bl 39251
HZB-Nummer:                ;349365
HD-Nummer:                 ;uw39251
DBMS-Nummer:               ;6003379
Fremdnummer:               ;B18
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1993
 Geländehöhe:              ;202,07
 Messpunkthöhe:            ;202,62
 Sohllage:                 ;193,12
 T-Messtiefe u.GOK:        ;7,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.12.1993               ;16 02 27                 ;46 40 46
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.2003 00:00:00   ;   199,89 ;     
01.08.2003 00:00:00   ;   199,79 ;     
01.09.2003 00:00:00   ;   199,88 ;     
01.10.2003 00:00:00   ;   199,98 ;     
01.11.2003 00:00:00   ;   200,05 ;     
01.12.2003 00:00:00   ;   200,03 ;     
01.01.2004 00:00:00   ;   200,16 ;     
01.02.2004 00:00:00   ;   200,09 ;     
01.03.2004 00:00:00   ;   200,37 ;     
01.04.2004 00:00:00   ;   200,43 ;     
01.05.2004 00:00:00   ;   200,24 ;     
01.06.2004 00:00:00   ;   200,28 ;     
01.07.2004 00:00:00   ;   200,25 ;     
01.08.2004 00:00:00   ;   200,02 ;     
01.09.2004 00:00:00   ;   199,99 ;     
01.10.2004 00:00:00   ;   200,09 ;     
01.11.2004 00:00:00   ;   200,14 ;     
01.12.2004 00:00:00   ;   200,10 ;     
01.01.2005 00:00:00   ;   200,10 ;     
01.02.2005 00:00:00   ;   200,06 ;     
01.03.2005 00:00:00   ;   200,27 ;     
01.04.2005 00:00:00   ;   200,36 ;     
01.05.2005 00:00:00   ;   200,27 ;     
01.06.2005 00:00:00   ;   200,08 ;     
01.07.2005 00:00:00   ;   200,24 ;     
01.08.2005 00:00:00   ;   200,45 ;     
01.09.2005 00:00:00   ;   200,42 ;     
01.10.2005 00:00:00   ;   200,35 ;     
01.11.2005 00:00:00   ;   200,23 ;     
01.12.2005 00:00:00   ;   200,45 ;     
01.01.2006 00:00:00   ;   200,44 ;     
01.02.2006 00:00:00   ;   200,47 ;     
01.03.2006 00:00:00   ;   200,61 ;     
01.04.2006 00:00:00   ;   200,47 ;     
01.05.2006 00:00:00   ;   200,67 ;     
01.06.2006 00:00:00   ;   200,54 ;     
01.07.2006 00:00:00   ;   200,24 ;     
01.08.2006 00:00:00   ;   200,32 ;     
01.09.2006 00:00:00   ;   200,35 ;     
01.10.2006 00:00:00   ;   200,22 ;     
01.11.2006 00:00:00   ;   200,15 ;     
01.12.2006 00:00:00   ;   200,13 ;     
01.01.2007 00:00:00   ;   200,17 ;     
01.02.2007 00:00:00   ;   200,25 ;     
01.03.2007 00:00:00   ;   200,45 ;     
01.04.2007 00:00:00   ;   200,30 ;     
01.05.2007 00:00:00   ;   200,16 ;     
01.06.2007 00:00:00   ;   200,10 ;     
01.07.2007 00:00:00   ;   199,96 ;     
01.08.2007 00:00:00   ;   199,95 ;     
01.09.2007 00:00:00   ;   200,19 ;     
01.10.2007 00:00:00   ;   200,23 ;     
01.11.2007 00:00:00   ;   200,26 ;     
01.12.2007 00:00:00   ;   200,34 ;     
01.01.2008 00:00:00   ;   200,22 ;     
01.02.2008 00:00:00   ;   200,18 ;     
01.03.2008 00:00:00   ;   200,19 ;     
01.04.2008 00:00:00   ;   200,16 ;     
01.05.2008 00:00:00   ;   200,06 ;     
01.06.2008 00:00:00   ;   200,09 ;     
01.07.2008 00:00:00   ;   200,33 ;     
01.08.2008 00:00:00   ;   200,29 ;     
01.09.2008 00:00:00   ;   200,22 ;     
01.10.2008 00:00:00   ;   200,16 ;     
01.11.2008 00:00:00   ;   200,24 ;     
01.12.2008 00:00:00   ;   200,42 ;     
01.01.2009 00:00:00   ;   200,48 ;     
01.02.2009 00:00:00   ;   200,80 ;     
01.03.2009 00:00:00   ;   200,54 ;     
01.04.2009 00:00:00   ;   200,35 ;     
01.05.2009 00:00:00   ;   200,23 ;     
01.06.2009 00:00:00   ;   200,46 ;     
01.07.2009 00:00:00   ;   200,57 ;     
01.08.2009 00:00:00   ;   200,70 ;     
01.09.2009 00:00:00   ;   200,40 ;     
01.10.2009 00:00:00   ;   200,26 ;     
01.11.2009 00:00:00   ;   200,39 ;     
01.12.2009 00:00:00   ;   200,43 ;     
01.01.2010 00:00:00   ;   200,46 ;     
01.02.2010 00:00:00   ;   200,42 ;     
01.03.2010 00:00:00   ;   200,39 ;     
01.04.2010 00:00:00   ;   200,27 ;     
01.05.2010 00:00:00   ;   200,16 ;     
01.06.2010 00:00:00   ;   200,14 ;     
01.07.2010 00:00:00   ;   200,01 ;     
01.08.2010 00:00:00   ;   200,12 ;     
01.09.2010 00:00:00   ;   200,46 ;     
01.10.2010 00:00:00   ;   200,35 ;     
01.11.2010 00:00:00   ;   200,43 ;     
01.12.2010 00:00:00   ;   200,65 ;     
01.01.2011 00:00:00   ;   200,38 ;     
01.02.2011 00:00:00   ;   200,26 ;     
01.03.2011 00:00:00   ;   200,21 ;     
01.04.2011 00:00:00   ;   200,14 ;     
01.05.2011 00:00:00   ;   200,14 ;     
01.06.2011 00:00:00   ;   200,10 ;     
01.07.2011 00:00:00   ;   200,02 ;     
01.08.2011 00:00:00   ;   200,02 ;     
01.09.2011 00:00:00   ;   199,96 ;     
