Messstelle:                ;Wien 22, Bl 22-241
HZB-Nummer:                ;350256
HD-Nummer:                 ;22-241
DBMS-Nummer:               ;9002263
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.12.2018
 Geländehöhe:              ;158,08
 Messpunkthöhe:            ;159,14
 Sohllage:                 ;131,85
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.10.1992               ;16 28 36                 ;48 15 47
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1996 00:00:00   ;   153,63 ;     
01.02.1996 00:00:00   ;   153,69 ;     
01.03.1996 00:00:00   ;   153,76 ;     
01.04.1996 00:00:00   ;   153,88 ;     
01.05.1996 00:00:00   ;   154,01 ;     
01.06.1996 00:00:00   ;   154,12 ;     
01.07.1996 00:00:00   ;   154,15 ;     
01.08.1996 00:00:00   ;   154,13 ;     
01.09.1996 00:00:00   ;   154,16 ;     
01.10.1996 00:00:00   ;   154,25 ;     
01.11.1996 00:00:00   ;   154,26 ;     
01.12.1996 00:00:00   ;   154,27 ;     
01.01.1997 00:00:00   ;   154,29 ;     
01.02.1997 00:00:00   ;   154,32 ;     
01.03.1997 00:00:00   ;   154,33 ;     
01.04.1997 00:00:00   ;   154,34 ;     
01.05.1997 00:00:00   ;   154,33 ;     
01.06.1997 00:00:00   ;   154,30 ;     
01.07.1997 00:00:00   ;   154,39 ;     
01.08.1997 00:00:00   ;   154,43 ;     
01.09.1997 00:00:00   ;   154,38 ;     
01.10.1997 00:00:00   ;   154,33 ;     
01.11.1997 00:00:00   ;   154,32 ;     
01.12.1997 00:00:00   ;   154,34 ;     
01.01.1998 00:00:00   ;   154,34 ;     
01.02.1998 00:00:00   ;   154,33 ;     
01.03.1998 00:00:00   ;   154,34 ;     
01.04.1998 00:00:00   ;   154,32 ;     
01.05.1998 00:00:00   ;   154,28 ;     
01.06.1998 00:00:00   ;   154,25 ;     
01.07.1998 00:00:00   ;   154,25 ;     
01.08.1998 00:00:00   ;   154,22 ;     
01.09.1998 00:00:00   ;   154,24 ;     
01.10.1998 00:00:00   ;   154,29 ;     
01.11.1998 00:00:00   ;   154,33 ;     
01.12.1998 00:00:00   ;   154,36 ;     
01.01.1999 00:00:00   ;   154,35 ;     
01.02.1999 00:00:00   ;   154,36 ;     
01.03.1999 00:00:00   ;   154,39 ;     
01.04.1999 00:00:00   ;   154,41 ;     
01.05.1999 00:00:00   ;   154,46 ;     
01.06.1999 00:00:00   ;   154,45 ;     
01.07.1999 00:00:00   ;   154,41 ;     
01.08.1999 00:00:00   ;   154,38 ;     
01.09.1999 00:00:00   ;   154,38 ;     
01.10.1999 00:00:00   ;   154,38 ;     
01.11.1999 00:00:00   ;   154,39 ;     
01.12.1999 00:00:00   ;   154,36 ;     
01.01.2000 00:00:00   ;   154,38 ;     
01.02.2000 00:00:00   ;   154,39 ;     
01.03.2000 00:00:00   ;   154,42 ;     
01.04.2000 00:00:00   ;   154,44 ;     
01.05.2000 00:00:00   ;   154,39 ;     
01.06.2000 00:00:00   ;   154,29 ;     
01.07.2000 00:00:00   ;   154,19 ;     
01.08.2000 00:00:00   ;   154,17 ;     
01.09.2000 00:00:00   ;   154,12 ;     
01.10.2000 00:00:00   ;   154,12 ;     
01.11.2000 00:00:00   ;   154,12 ;     
01.12.2000 00:00:00   ;   154,15 ;     
01.01.2001 00:00:00   ;   154,15 ;     
01.02.2001 00:00:00   ;   154,14 ;     
01.03.2001 00:00:00   ;   154,12 ;     
01.04.2001 00:00:00   ;   154,14 ;     
01.05.2001 00:00:00   ;   154,10 ;     
01.06.2001 00:00:00   ;   154,05 ;     
01.07.2001 00:00:00   ;   153,99 ;     
01.08.2001 00:00:00   ;   153,92 ;     
01.09.2001 00:00:00   ;   153,92 ;     
01.10.2001 00:00:00   ;   153,92 ;     
01.11.2001 00:00:00   ;   153,90 ;     
01.12.2001 00:00:00   ;   153,90 ;     
01.01.2002 00:00:00   ;   153,89 ;     
01.02.2002 00:00:00   ;   153,90 ;     
01.03.2002 00:00:00   ;   153,89 ;     
01.04.2002 00:00:00   ;   153,95 ;     
01.05.2002 00:00:00   ;   153,99 ;     
01.06.2002 00:00:00   ;   153,96 ;     
01.07.2002 00:00:00   ;   153,89 ;     
01.08.2002 00:00:00   ;   153,94 ;     
01.09.2002 00:00:00   ;   153,98 ;     
01.10.2002 00:00:00   ;   154,02 ;     
01.11.2002 00:00:00   ;   154,09 ;     
01.12.2002 00:00:00   ;   154,14 ;     
01.01.2003 00:00:00   ;   154,21 ;     
01.02.2003 00:00:00   ;   154,30 ;     
01.03.2003 00:00:00   ;   154,35 ;     
01.04.2003 00:00:00   ;   154,37 ;     
01.05.2003 00:00:00   ;   154,37 ;     
01.06.2003 00:00:00   ;   154,36 ;     
01.07.2003 00:00:00   ;   154,26 ;     
01.08.2003 00:00:00   ;   154,16 ;     
01.09.2003 00:00:00   ;   154,05 ;     
01.10.2003 00:00:00   ;   154,01 ;     
01.11.2003 00:00:00   ;   154,00 ;     
01.12.2003 00:00:00   ;   153,99 ;     
01.01.2004 00:00:00   ;   154,03 ;     
01.02.2004 00:00:00   ;   154,07 ;     
01.03.2004 00:00:00   ;   154,11 ;     
01.04.2004 00:00:00   ;   154,22 ;     
01.05.2004 00:00:00   ;   154,26 ;     
01.06.2004 00:00:00   ;   154,34 ;     
01.07.2004 00:00:00   ;   154,36 ;     
01.08.2004 00:00:00   ;   154,30 ;     
01.09.2004 00:00:00   ;   154,22 ;     
01.10.2004 00:00:00   ;   154,21 ;     
01.11.2004 00:00:00   ;   154,22 ;     
01.12.2004 00:00:00   ;   154,21 ;     
01.01.2005 00:00:00   ;   154,21 ;     
01.02.2005 00:00:00   ;   154,23 ;     
01.03.2005 00:00:00   ;   154,27 ;     
01.04.2005 00:00:00   ;   154,27 ;     
01.05.2005 00:00:00   ;   154,28 ;     
01.06.2005 00:00:00   ;   154,26 ;     
01.07.2005 00:00:00   ;   154,20 ;     
01.08.2005 00:00:00   ;   154,18 ;     
01.09.2005 00:00:00   ;   154,18 ;     
01.10.2005 00:00:00   ;   154,15 ;     
01.11.2005 00:00:00   ;   154,13 ;     
01.12.2005 00:00:00   ;   154,13 ;     
01.01.2006 00:00:00   ;   154,17 ;     
01.02.2006 00:00:00   ;   154,19 ;     
01.03.2006 00:00:00   ;   154,25 ;     
01.04.2006 00:00:00   ;   154,32 ;     
01.05.2006 00:00:00   ;   154,41 ;     
01.06.2006 00:00:00   ;   154,48 ;     
01.07.2006 00:00:00   ;   154,44 ;     
01.08.2006 00:00:00   ;   154,42 ;     
01.09.2006 00:00:00   ;   154,41 ;     
01.10.2006 00:00:00   ;   154,37 ;     
01.11.2006 00:00:00   ;   154,36 ;     
01.12.2006 00:00:00   ;   154,32 ;     
01.01.2007 00:00:00   ;   154,31 ;     
01.02.2007 00:00:00   ;   154,33 ;     
01.03.2007 00:00:00   ;   154,35 ;     
01.04.2007 00:00:00   ;   154,37 ;     
01.05.2007 00:00:00   ;   154,32 ;     
01.06.2007 00:00:00   ;   154,27 ;     
01.07.2007 00:00:00   ;   154,21 ;     
01.08.2007 00:00:00   ;   154,15 ;     
01.09.2007 00:00:00   ;   154,27 ;     
01.10.2007 00:00:00   ;   154,35 ;     
01.11.2007 00:00:00   ;   154,42 ;     
01.12.2007 00:00:00   ;   154,49 ;     
01.01.2008 00:00:00   ;   154,54 ;     
01.02.2008 00:00:00   ;   154,56 ;     
01.03.2008 00:00:00   ;   154,57 ;     
01.04.2008 00:00:00   ;   154,54 ;     
01.05.2008 00:00:00   ;   154,56 ;     
01.06.2008 00:00:00   ;   154,60 ;     
01.07.2008 00:00:00   ;   154,65 ;     
01.08.2008 00:00:00   ;   154,66 ;     
01.09.2008 00:00:00   ;   154,59 ;     
01.10.2008 00:00:00   ;   154,53 ;     
01.11.2008 00:00:00   ;   154,49 ;     
01.12.2008 00:00:00   ;   154,49 ;     
01.01.2009 00:00:00   ;   154,48 ;     
01.02.2009 00:00:00   ;   154,51 ;     
01.03.2009 00:00:00   ;   154,59 ;     
01.04.2009 00:00:00   ;   154,68 ;     
01.05.2009 00:00:00   ;   154,68 ;     
01.06.2009 00:00:00   ;   154,71 ;     
01.07.2009 00:00:00   ;   154,83 ;     
01.08.2009 00:00:00   ;   154,87 ;     
01.09.2009 00:00:00   ;   154,85 ;     
01.10.2009 00:00:00   ;   154,77 ;     
01.11.2009 00:00:00   ;   154,77 ;     
01.12.2009 00:00:00   ;   154,76 ;     
01.01.2010 00:00:00   ;   154,77 ;     
01.02.2010 00:00:00   ;   154,77 ;     
01.03.2010 00:00:00   ;   154,77 ;     
01.04.2010 00:00:00   ;   154,80 ;     
01.05.2010 00:00:00   ;   154,89 ;     
01.06.2010 00:00:00   ;   155,07 ;     
01.07.2010 00:00:00   ;   155,08 ;     
01.08.2010 00:00:00   ;   155,08 ;     
01.09.2010 00:00:00   ;   155,10 ;     
01.10.2010 00:00:00   ;   155,10 ;     
01.11.2010 00:00:00   ;   155,06 ;     
01.12.2010 00:00:00   ;   155,05 ;     
01.01.2011 00:00:00   ;   155,04 ;     
01.02.2011 00:00:00   ;   155,03 ;     
01.03.2011 00:00:00   ;   155,01 ;     
01.04.2011 00:00:00   ;   154,99 ;     
01.05.2011 00:00:00   ;   154,96 ;     
01.06.2011 00:00:00   ;   154,93 ;     
01.07.2011 00:00:00   ;   154,87 ;     
01.08.2011 00:00:00   ;   154,81 ;     
01.09.2011 00:00:00   ;   154,74 ;     
01.10.2011 00:00:00   ;   154,71 ;     
01.11.2011 00:00:00   ;   154,69 ;     
01.12.2011 00:00:00   ;   154,67 ;     
01.01.2012 00:00:00   ;   154,66 ;     
01.02.2012 00:00:00   ;   154,65 ;     
01.03.2012 00:00:00   ;   154,61 ;     
01.04.2012 00:00:00   ;   154,59 ;     
01.05.2012 00:00:00   ;   154,52 ;     
01.06.2012 00:00:00   ;   154,46 ;     
01.07.2012 00:00:00   ;   154,42 ;     
01.08.2012 00:00:00   ;   154,39 ;     
01.09.2012 00:00:00   ;   154,33 ;     
01.10.2012 00:00:00   ;   154,30 ;     
01.11.2012 00:00:00   ;   154,30 ;     
01.12.2012 00:00:00   ;   154,29 ;     
01.01.2013 00:00:00   ;   154,34 ;     
01.02.2013 00:00:00   ;   154,39 ;     
01.03.2013 00:00:00   ;   154,49 ;     
01.04.2013 00:00:00   ;   154,55 ;     
01.05.2013 00:00:00   ;   154,60 ;     
01.06.2013 00:00:00   ;   154,69 ;     
01.07.2013 00:00:00   ;   154,68 ;     
01.08.2013 00:00:00   ;   154,53 ;     
01.09.2013 00:00:00   ;   154,51 ;     
01.10.2013 00:00:00   ;   154,51 ;     
01.11.2013 00:00:00   ;   154,51 ;     
01.12.2013 00:00:00   ;   154,49 ;     
01.01.2014 00:00:00   ;   154,48 ;     
01.02.2014 00:00:00   ;   154,46 ;     
01.03.2014 00:00:00   ;   154,45 ;     
01.04.2014 00:00:00   ;   154,41 ;     
