Messstelle:                ;Neutersdorf, Bl 38355
HZB-Nummer:                ;353250
HD-Nummer:                 ;uw38355
DBMS-Nummer:               ;6003394
Fremdnummer:               ;W5
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.11.1998
 Geländehöhe:              ;269,98
 Messpunkthöhe:            ;270,88
 Sohllage:                 ;254,88
 T-Messtiefe u.GOK:        ;14,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.11.1998               ;15 38 17                 ;46 45 23
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.1999 00:00:00   ;   261,21 ;     
01.04.1999 00:00:00   ;   261,20 ;     
01.05.1999 00:00:00   ;   261,28 ;     
01.06.1999 00:00:00   ;   261,45 ;     
01.07.1999 00:00:00   ;   261,69 ;     
01.08.1999 00:00:00   ;   261,87 ;     
01.09.1999 00:00:00   ;   261,92 ;     
01.10.1999 00:00:00   ;   261,68 ;     
01.11.1999 00:00:00   ;   261,43 ;     
01.12.1999 00:00:00   ;   261,26 ;     
01.01.2000 00:00:00   ;   261,18 ;     
01.02.2000 00:00:00   ;   261,09 ;     
01.03.2000 00:00:00   ;   261,01 ;     
01.04.2000 00:00:00   ;   260,94 ;     
01.05.2000 00:00:00   ;   260,86 ;     
01.06.2000 00:00:00   ;   260,78 ;     
01.07.2000 00:00:00   ;   260,71 ;     
01.08.2000 00:00:00   ;   260,66 ;     
01.09.2000 00:00:00   ;   260,62 ;     
01.10.2000 00:00:00   ;   260,60 ;     
01.11.2000 00:00:00   ;   260,60 ;     
01.12.2000 00:00:00   ;   260,61 ;     
01.01.2001 00:00:00   ;   260,64 ;     
01.02.2001 00:00:00   ;   260,67 ;     
01.03.2001 00:00:00   ;   260,67 ;     
01.04.2001 00:00:00   ;   260,67 ;     
01.05.2001 00:00:00   ;   260,66 ;     
01.06.2001 00:00:00   ;   260,60 ;     
01.07.2001 00:00:00   ;   260,53 ;     
01.08.2001 00:00:00   ;   260,45 ;     
01.09.2001 00:00:00   ;   260,38 ;     
01.10.2001 00:00:00   ;   260,33 ;     
01.11.2001 00:00:00   ;   260,28 ;     
01.12.2001 00:00:00   ;   260,23 ;     
01.01.2002 00:00:00   ;   260,18 ;     
01.02.2002 00:00:00   ;   260,13 ;     
01.03.2002 00:00:00   ;   260,10 ;     
01.04.2002 00:00:00   ;   260,05 ;     
01.05.2002 00:00:00   ;   260,02 ;     
01.06.2002 00:00:00   ;   259,97 ;     
01.07.2002 00:00:00   ;   259,91 ;     
01.08.2002 00:00:00   ;   259,87 ;     
01.09.2002 00:00:00   ;   259,82 ;     
01.10.2002 00:00:00   ;   259,79 ;     
01.11.2002 00:00:00   ;   259,80 ;     
01.12.2002 00:00:00   ;   259,92 ;     
01.01.2003 00:00:00   ;   260,06 ;     
01.02.2003 00:00:00   ;   260,11 ;     
01.03.2003 00:00:00   ;   260,16 ;     
01.04.2003 00:00:00   ;   260,22 ;     
01.05.2003 00:00:00   ;   260,24 ;     
01.06.2003 00:00:00   ;   260,24 ;     
01.07.2003 00:00:00   ;   260,20 ;     
01.08.2003 00:00:00   ;   260,14 ;     
01.09.2003 00:00:00   ;   260,08 ;     
01.10.2003 00:00:00   ;   260,03 ;     
01.11.2003 00:00:00   ;   259,99 ;     
01.12.2003 00:00:00   ;   259,95 ;     
01.01.2004 00:00:00   ;   259,91 ;     
01.02.2004 00:00:00   ;   259,86 ;     
01.03.2004 00:00:00   ;   259,87 ;     
01.04.2004 00:00:00   ;   260,01 ;     
01.05.2004 00:00:00   ;   260,07 ;     
01.06.2004 00:00:00   ;   260,19 ;     
01.07.2004 00:00:00   ;   260,70 ;     
01.08.2004 00:00:00   ;   260,76 ;     
01.09.2004 00:00:00   ;   260,70 ;     
01.10.2004 00:00:00   ;   260,66 ;     
01.11.2004 00:00:00   ;   260,63 ;     
01.12.2004 00:00:00   ;   260,59 ;     
01.01.2005 00:00:00   ;   260,51 ;     
01.02.2005 00:00:00   ;   260,42 ;     
01.03.2005 00:00:00   ;   260,37 ;     
01.04.2005 00:00:00   ;   260,47 ;     
01.05.2005 00:00:00   ;   260,58 ;     
01.06.2005 00:00:00   ;   260,61 ;     
01.07.2005 00:00:00   ;   260,61 ;     
01.08.2005 00:00:00   ;   260,62 ;     
01.09.2005 00:00:00   ;   260,67 ;     
01.10.2005 00:00:00   ;   260,74 ;     
01.11.2005 00:00:00   ;   260,74 ;     
01.12.2005 00:00:00   ;   260,77 ;     
01.01.2006 00:00:00   ;   260,85 ;     
01.02.2006 00:00:00   ;   260,90 ;     
01.03.2006 00:00:00   ;   261,02 ;     
01.04.2006 00:00:00   ;   261,37 ;     
01.05.2006 00:00:00   ;   261,63 ;     
01.06.2006 00:00:00   ;   261,69 ;     
01.07.2006 00:00:00   ;   261,51 ;     
01.08.2006 00:00:00   ;   261,32 ;     
01.09.2006 00:00:00   ;   261,31 ;     
01.10.2006 00:00:00   ;   261,44 ;     
01.11.2006 00:00:00   ;   261,31 ;     
01.12.2006 00:00:00   ;   261,16 ;     
01.01.2007 00:00:00   ;   261,01 ;     
01.02.2007 00:00:00   ;   260,91 ;     
01.03.2007 00:00:00   ;   260,91 ;     
01.04.2007 00:00:00   ;   261,08 ;     
01.05.2007 00:00:00   ;   260,98 ;     
01.06.2007 00:00:00   ;   260,94 ;     
01.07.2007 00:00:00   ;   260,87 ;     
01.08.2007 00:00:00   ;   260,77 ;     
01.09.2007 00:00:00   ;   260,70 ;     
01.10.2007 00:00:00   ;   260,71 ;     
01.11.2007 00:00:00   ;   260,68 ;     
01.12.2007 00:00:00   ;   260,66 ;     
01.01.2008 00:00:00   ;   260,64 ;     
01.02.2008 00:00:00   ;   260,60 ;     
01.03.2008 00:00:00   ;   260,55 ;     
01.04.2008 00:00:00   ;   260,51 ;     
01.05.2008 00:00:00   ;   260,46 ;     
01.06.2008 00:00:00   ;   260,41 ;     
01.07.2008 00:00:00   ;   260,45 ;     
01.08.2008 00:00:00   ;   260,53 ;     
01.09.2008 00:00:00   ;   260,60 ;     
01.10.2008 00:00:00   ;   260,61 ;     
01.11.2008 00:00:00   ;   260,57 ;     
01.12.2008 00:00:00   ;   260,62 ;     
01.01.2009 00:00:00   ;   260,81 ;     
01.02.2009 00:00:00   ;   261,14 ;     
01.03.2009 00:00:00   ;   261,71 ;     
01.04.2009 00:00:00   ;   261,82 ;     
01.05.2009 00:00:00   ;   261,66 ;     
01.06.2009 00:00:00   ;   261,67 ;     
01.07.2009 00:00:00   ;   262,01 ;     
01.08.2009 00:00:00   ;   262,46 ;     
01.09.2009 00:00:00   ;   262,43 ;     
01.10.2009 00:00:00   ;   262,19 ;     
01.11.2009 00:00:00   ;   261,93 ;     
01.12.2009 00:00:00   ;   261,73 ;     
01.01.2010 00:00:00   ;   261,58 ;     
01.02.2010 00:00:00   ;   261,43 ;     
01.03.2010 00:00:00   ;   261,47 ;     
01.04.2010 00:00:00   ;   261,50 ;     
01.05.2010 00:00:00   ;   261,37 ;     
01.06.2010 00:00:00   ;   261,20 ;     
01.07.2010 00:00:00   ;   261,04 ;     
01.08.2010 00:00:00   ;   260,90 ;     
01.09.2010 00:00:00   ;   260,93 ;     
01.10.2010 00:00:00   ;   261,20 ;     
01.11.2010 00:00:00   ;   261,24 ;     
01.12.2010 00:00:00   ;   261,37 ;     
01.01.2011 00:00:00   ;   261,48 ;     
01.02.2011 00:00:00   ;   261,49 ;     
01.03.2011 00:00:00   ;   261,38 ;     
01.04.2011 00:00:00   ;   261,26 ;     
01.05.2011 00:00:00   ;   261,08 ;     
01.06.2011 00:00:00   ;   260,95 ;     
01.07.2011 00:00:00   ;   260,85 ;     
01.08.2011 00:00:00   ;   260,75 ;     
01.09.2011 00:00:00   ;   260,66 ;     
01.10.2011 00:00:00   ;   260,57 ;     
01.11.2011 00:00:00   ;   260,50 ;     
01.12.2011 00:00:00   ;   260,43 ;     
01.01.2012 00:00:00   ;   260,35 ;     
01.02.2012 00:00:00   ;   260,28 ;     
01.03.2012 00:00:00   ;   260,21 ;     
01.04.2012 00:00:00   ;   260,15 ;     
01.05.2012 00:00:00   ;   260,09 ;     
01.06.2012 00:00:00   ;   260,06 ;     
01.07.2012 00:00:00   ;   260,01 ;     
01.08.2012 00:00:00   ;   260,01 ;     
01.09.2012 00:00:00   ;   260,03 ;     
01.10.2012 00:00:00   ;   260,20 ;     
01.11.2012 00:00:00   ;   260,64 ;     
01.12.2012 00:00:00   ;   261,01 ;     
01.01.2013 00:00:00   ;   261,15 ;     
01.02.2013 00:00:00   ;   261,18 ;     
01.03.2013 00:00:00   ;   261,74 ;     
01.04.2013 00:00:00   ;   262,50 ;     
01.05.2013 00:00:00   ;   262,46 ;     
01.06.2013 00:00:00   ;   262,14 ;     
