Messstelle:                ;Unterfrauenhaid, Br 1
HZB-Nummer:                ;353680
HD-Nummer:                 ;
DBMS-Nummer:               ;1002516
PorenGW-Gebiet:            ;323 Raidingbachtal
Grundwasserkörper:         ;Gruppe Hügelland Rabnitz [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2017
 Geländehöhe:              ;328,07
 Messpunkthöhe:            ;328,57
 Sohllage:                 ;313,57
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2017               ;16 30 11                 ;47 34 27
  31.12.2016               ;16 30 11                 ;47 34 27
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2018 HG31 Messstelle zeitweise nicht zugänglich
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.02.2017 00:00:00   ;   321,77 ;     
01.03.2017 00:00:00   ;   321,75 ;     
01.04.2017 00:00:00   ;   321,76 ;     
01.05.2017 00:00:00   ;   321,77 ;     
01.06.2017 00:00:00   ;   321,93 ;     
01.07.2017 00:00:00   ;   322,08 ;     
01.08.2017 00:00:00   ;   322,13 ;     
01.09.2017 00:00:00   ;   322,17 ;     
01.10.2017 00:00:00   ;   322,25 ;     
01.11.2017 00:00:00   ;   322,21 ;     
01.12.2017 00:00:00   ;   322,13 ;     
01.01.2018 00:00:00   ;   322,15 ;     
01.02.2018 00:00:00   ;   322,31 ;     
01.03.2018 00:00:00   ;   322,48 ;     
01.04.2018 00:00:00   ;   322,56 ;     
01.05.2018 00:00:00   ;   322,64 ;     
01.06.2018 00:00:00   ;   322,78 ;     
01.07.2018 00:00:00   ;   322,87 ;     
01.08.2018 00:00:00   ;   322,85 ;     
01.09.2018 00:00:00   ;   322,89 ;     
01.10.2018 00:00:00   ;   322,87 ;     
01.11.2018 00:00:00   ;   322,78 ;     
01.12.2018 00:00:00   ;   322,86 ;     
01.01.2019 00:00:00   ;   322,87 ;     
01.02.2019 00:00:00   ;   322,82 ;     
01.03.2019 00:00:00   ;   322,68 ;     
01.04.2019 00:00:00   ;   322,73 ;     
01.05.2019 00:00:00   ;   322,69 ;     
01.06.2019 00:00:00   ;   322,75 ;     
01.07.2019 00:00:00   ;   322,64 ;     
01.08.2019 00:00:00   ;   322,60 ;     
01.09.2019 00:00:00   ;   322,36 ;     
01.10.2019 00:00:00   ;   322,27 ;     
01.11.2019 00:00:00   ;   322,07 ;     
01.12.2019 00:00:00   ;   322,07 ;     
01.01.2020 00:00:00   ;   322,02 ;     
01.02.2020 00:00:00   ;   321,81 ;     
01.03.2020 00:00:00   ;   321,68 ;     
01.04.2020 00:00:00   ;   321,46 ;     
01.05.2020 00:00:00   ;   321,25 ;     
01.06.2020 00:00:00   ;   321,21 ;     
01.07.2020 00:00:00   ;   321,17 ;     
01.08.2020 00:00:00   ;   321,31 ;     
01.09.2020 00:00:00   ;   321,41 ;     
01.10.2020 00:00:00   ;   321,81 ;     
01.11.2020 00:00:00   ;   322,11 ;     
01.12.2020 00:00:00   ;   322,04 ;     
01.01.2021 00:00:00   ;   321,94 ;     
01.02.2021 00:00:00   ;   321,94 ;     
01.03.2021 00:00:00   ;   321,96 ;     
01.04.2021 00:00:00   ;   321,82 ;     
01.05.2021 00:00:00   ;   321,67 ;     
01.06.2021 00:00:00   ;   321,69 ;     
01.07.2021 00:00:00   ;   321,95 ;     
01.08.2021 00:00:00   ;   322,74 ;     
01.09.2021 00:00:00   ;   322,41 ;     
01.10.2021 00:00:00   ;   322,63 ;     
01.11.2021 00:00:00   ;   321,84 ;     
01.12.2021 00:00:00   ;   321,61 ;     
01.01.2022 00:00:00   ;Lücke         ; 
