Messstelle:                ;Gols, Bl.121
HZB-Nummer:                ;353789
HD-Nummer:                 ;
DBMS-Nummer:               ;1002530
PorenGW-Gebiet:            ;318 Seewinkel
Grundwasserkörper:         ;Parndorfer Platte [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.2015
 Geländehöhe:              ;123,14
 Messpunkthöhe:            ;124,00
 Sohllage:                 ;113,14
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.08.2015               ;16 55 31                 ;47 53 37
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.08.2015 00:00:00   ;   121,43 ;     
01.09.2015 00:00:00   ;   121,45 ;     
01.10.2015 00:00:00   ;Lücke     ;     
01.11.2015 00:00:00   ;   121,93 ;     
01.12.2015 00:00:00   ;   121,94 ;     
01.01.2016 00:00:00   ;   122,00 ;     
01.02.2016 00:00:00   ;   122,13 ;     
01.03.2016 00:00:00   ;   122,08 ;     
01.04.2016 00:00:00   ;   122,01 ;     
01.05.2016 00:00:00   ;   121,91 ;     
01.06.2016 00:00:00   ;   121,75 ;     
01.07.2016 00:00:00   ;   121,61 ;     
01.08.2016 00:00:00   ;   121,53 ;     
01.09.2016 00:00:00   ;   121,41 ;     
01.10.2016 00:00:00   ;   121,63 ;     
01.11.2016 00:00:00   ;   121,92 ;     
01.12.2016 00:00:00   ;   121,98 ;     
01.01.2017 00:00:00   ;   121,96 ;     
01.02.2017 00:00:00   ;   122,01 ;     
01.03.2017 00:00:00   ;   122,04 ;     
01.04.2017 00:00:00   ;   121,99 ;     
01.05.2017 00:00:00   ;   121,87 ;     
01.06.2017 00:00:00   ;   121,50 ;     
01.07.2017 00:00:00   ;   121,27 ;     
01.08.2017 00:00:00   ;   121,29 ;     
01.09.2017 00:00:00   ;   121,35 ;     
01.10.2017 00:00:00   ;   121,64 ;     
01.11.2017 00:00:00   ;   121,84 ;     
01.12.2017 00:00:00   ;   121,94 ;     
01.01.2018 00:00:00   ;   122,10 ;     
01.02.2018 00:00:00   ;   122,08 ;     
01.03.2018 00:00:00   ;   122,12 ;     
01.04.2018 00:00:00   ;   122,03 ;     
01.05.2018 00:00:00   ;   121,74 ;     
01.06.2018 00:00:00   ;   121,72 ;     
01.07.2018 00:00:00   ;   121,57 ;     
01.08.2018 00:00:00   ;   121,35 ;     
01.09.2018 00:00:00   ;   121,65 ;     
01.10.2018 00:00:00   ;   121,62 ;     
01.11.2018 00:00:00   ;   121,82 ;     
01.12.2018 00:00:00   ;   122,03 ;     
01.01.2019 00:00:00   ;   122,11 ;     
01.02.2019 00:00:00   ;   122,11 ;     
01.03.2019 00:00:00   ;   122,00 ;     
01.04.2019 00:00:00   ;   121,90 ;     
01.05.2019 00:00:00   ;   121,92 ;     
01.06.2019 00:00:00   ;   121,68 ;     
01.07.2019 00:00:00   ;   121,21 ;     
01.08.2019 00:00:00   ;   121,14 ;     
01.09.2019 00:00:00   ;   121,46 ;     
01.10.2019 00:00:00   ;   121,59 ;     
01.11.2019 00:00:00   ;   121,80 ;     
01.12.2019 00:00:00   ;   121,91 ;     
01.01.2020 00:00:00   ;   121,99 ;     
01.02.2020 00:00:00   ;   122,07 ;     
01.03.2020 00:00:00   ;   122,01 ;     
01.04.2020 00:00:00   ;   121,88 ;     
01.05.2020 00:00:00   ;   121,68 ;     
01.06.2020 00:00:00   ;   121,69 ;     
01.07.2020 00:00:00   ;   121,36 ;     
01.08.2020 00:00:00   ;   121,12 ;     
01.09.2020 00:00:00   ;   121,22 ;     
01.10.2020 00:00:00   ;   121,73 ;     
01.11.2020 00:00:00   ;   121,87 ;     
01.12.2020 00:00:00   ;   121,97 ;     
01.01.2021 00:00:00   ;   122,04 ;     
01.02.2021 00:00:00   ;   122,09 ;     
01.03.2021 00:00:00   ;   121,99 ;     
01.04.2021 00:00:00   ;   121,94 ;     
01.05.2021 00:00:00   ;   121,96 ;     
01.06.2021 00:00:00   ;   121,45 ;     
01.07.2021 00:00:00   ;   121,01 ;     
01.08.2021 00:00:00   ;   121,22 ;     
01.09.2021 00:00:00   ;   121,29 ;     
01.10.2021 00:00:00   ;   121,56 ;     
01.11.2021 00:00:00   ;   121,74 ;     
01.12.2021 00:00:00   ;   121,87 ;     
01.01.2022 00:00:00   ;Lücke         ; 
