Messstelle:                ;Ainet, Blt 1
HZB-Nummer:                ;354175
HD-Nummer:                 ;
DBMS-Nummer:               ;7004520
Fremdnummer:               ;GW70702001
PorenGW-Gebiet:            ;403 Iseltal
Grundwasserkörper:         ;Gruppe Zentralzone [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.04.2018
 Geländehöhe:              ;712,14
 Messpunkthöhe:            ;712,89
 Sohllage:                 ;695,29
 T-Messtiefe u.GOK:        ;15,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  25.11.2008               ;12 40 43                 ;46 52 09
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2009 00:00:00   ;   707,59 ;     
01.06.2009 00:00:00   ;   707,80 ;     
01.07.2009 00:00:00   ;   707,72 ;     
01.08.2009 00:00:00   ;   707,39 ;     
01.09.2009 00:00:00   ;   707,15 ;     
01.10.2009 00:00:00   ;   706,52 ;     
01.11.2009 00:00:00   ;   706,03 ;     
01.12.2009 00:00:00   ;   705,78 ;     
01.01.2010 00:00:00   ;   705,73 ;     
01.02.2010 00:00:00   ;   705,58 ;     
01.03.2010 00:00:00   ;   705,56 ;     
01.04.2010 00:00:00   ;   705,88 ;     
01.05.2010 00:00:00   ;   707,06 ;     
01.06.2010 00:00:00   ;   707,74 ;     
01.07.2010 00:00:00   ;   707,57 ;     
01.08.2010 00:00:00   ;   707,26 ;     
01.09.2010 00:00:00   ;   707,02 ;     
01.10.2010 00:00:00   ;   706,72 ;     
01.11.2010 00:00:00   ;   706,44 ;     
01.12.2010 00:00:00   ;   706,11 ;     
01.01.2011 00:00:00   ;   705,97 ;     
01.02.2011 00:00:00   ;   705,78 ;     
01.03.2011 00:00:00   ;   705,63 ;     
01.04.2011 00:00:00   ;   706,27 ;     
01.05.2011 00:00:00   ;   706,97 ;     
01.06.2011 00:00:00   ;   707,53 ;     
01.07.2011 00:00:00   ;   707,27 ;     
01.08.2011 00:00:00   ;   706,94 ;     
01.09.2011 00:00:00   ;   706,76 ;     
01.10.2011 00:00:00   ;   706,53 ;     
01.11.2011 00:00:00   ;   706,06 ;     
