Messstelle:                ;Pitschgau, Bl   4352
HZB-Nummer:                ;356626
HD-Nummer:                 ;uw4352
DBMS-Nummer:               ;6003576
PorenGW-Gebiet:            ;392 Saggautal
Grundwasserkörper:         ;Saggautal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;10.04.2008
 Geländehöhe:              ;333,61
 Messpunkthöhe:            ;334,46
 Sohllage:                 ;329,01
 T-Messtiefe u.GOK:        ;4,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  10.04.2008               ;15 17 40                 ;46 42 08
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.08.2008 00:00:00   ;   332,08 ;     
01.09.2008 00:00:00   ;   332,04 ;     
01.10.2008 00:00:00   ;   332,06 ;     
01.11.2008 00:00:00   ;   332,06 ;     
01.12.2008 00:00:00   ;   332,32 ;     
01.01.2009 00:00:00   ;   332,17 ;     
01.02.2009 00:00:00   ;   332,35 ;     
01.03.2009 00:00:00   ;   332,21 ;     
01.04.2009 00:00:00   ;   332,09 ;     
01.05.2009 00:00:00   ;   332,13 ;     
01.06.2009 00:00:00   ;   332,22 ;     
01.07.2009 00:00:00   ;   332,16 ;     
01.08.2009 00:00:00   ;   332,18 ;     
01.09.2009 00:00:00   ;   332,25 ;     
01.10.2009 00:00:00   ;   332,08 ;     
01.11.2009 00:00:00   ;   332,17 ;     
01.12.2009 00:00:00   ;   332,23 ;     
01.01.2010 00:00:00   ;   332,17 ;     
01.02.2010 00:00:00   ;   332,25 ;     
01.03.2010 00:00:00   ;   332,20 ;     
01.04.2010 00:00:00   ;   332,10 ;     
01.05.2010 00:00:00   ;   332,04 ;     
01.06.2010 00:00:00   ;   332,03 ;     
01.07.2010 00:00:00   ;   331,90 ;     
01.08.2010 00:00:00   ;   332,09 ;     
01.09.2010 00:00:00   ;   332,29 ;     
01.10.2010 00:00:00   ;   332,19 ;     
01.11.2010 00:00:00   ;   332,18 ;     
01.12.2010 00:00:00   ;   332,29 ;     
01.01.2011 00:00:00   ;   332,12 ;     
01.02.2011 00:00:00   ;   332,05 ;     
01.03.2011 00:00:00   ;   332,08 ;     
01.04.2011 00:00:00   ;   332,00 ;     
01.05.2011 00:00:00   ;   331,99 ;     
01.06.2011 00:00:00   ;   332,12 ;     
01.07.2011 00:00:00   ;   332,05 ;     
01.08.2011 00:00:00   ;   332,05 ;     
01.09.2011 00:00:00   ;   331,95 ;     
01.10.2011 00:00:00   ;   332,09 ;     
01.11.2011 00:00:00   ;   332,06 ;     
01.12.2011 00:00:00   ;   332,06 ;     
01.01.2012 00:00:00   ;   332,00 ;     
01.02.2012 00:00:00   ;   332,01 ;     
01.03.2012 00:00:00   ;   332,01 ;     
01.04.2012 00:00:00   ;   332,01 ;     
01.05.2012 00:00:00   ;   332,09 ;     
01.06.2012 00:00:00   ;   332,01 ;     
01.07.2012 00:00:00   ;   332,07 ;     
01.08.2012 00:00:00   ;   331,96 ;     
01.09.2012 00:00:00   ;   332,19 ;     
01.10.2012 00:00:00   ;   332,20 ;     
01.11.2012 00:00:00   ;   332,31 ;     
01.12.2012 00:00:00   ;   332,19 ;     
01.01.2013 00:00:00   ;   332,11 ;     
01.02.2013 00:00:00   ;   332,27 ;     
01.03.2013 00:00:00   ;   332,50 ;     
01.04.2013 00:00:00   ;   332,34 ;     
01.05.2013 00:00:00   ;   332,15 ;     
01.06.2013 00:00:00   ;   332,09 ;     
01.07.2013 00:00:00   ;   331,94 ;     
01.08.2013 00:00:00   ;   331,91 ;     
01.09.2013 00:00:00   ;   332,01 ;     
01.10.2013 00:00:00   ;   332,07 ;     
01.11.2013 00:00:00   ;   332,35 ;     
01.12.2013 00:00:00   ;   332,17 ;     
01.01.2014 00:00:00   ;   332,18 ;     
01.02.2014 00:00:00   ;   332,54 ;     
01.03.2014 00:00:00   ;   332,21 ;     
01.04.2014 00:00:00   ;   332,16 ;     
01.05.2014 00:00:00   ;   332,25 ;     
01.06.2014 00:00:00   ;   332,11 ;     
01.07.2014 00:00:00   ;   332,19 ;     
01.08.2014 00:00:00   ;   332,36 ;     
01.09.2014 00:00:00   ;   332,49 ;     
01.10.2014 00:00:00   ;   332,14 ;     
01.11.2014 00:00:00   ;   332,28 ;     
01.12.2014 00:00:00   ;   332,24 ;     
01.01.2015 00:00:00   ;   332,17 ;     
01.02.2015 00:00:00   ;   332,26 ;     
01.03.2015 00:00:00   ;   332,21 ;     
01.04.2015 00:00:00   ;   332,14 ;     
01.05.2015 00:00:00   ;   332,23 ;     
01.06.2015 00:00:00   ;   332,21 ;     
01.07.2015 00:00:00   ;   332,23 ;     
01.08.2015 00:00:00   ;   332,25 ;     
01.09.2015 00:00:00   ;   332,43 ;     
01.10.2015 00:00:00   ;   332,79 ;     
01.11.2015 00:00:00   ;   332,24 ;     
01.12.2015 00:00:00   ;   332,01 ;     
