Messstelle:                ;Kitzelsdorf, Bl  43601
HZB-Nummer:                ;356642
HD-Nummer:                 ;uw43601
DBMS-Nummer:               ;6003578
PorenGW-Gebiet:            ;392 Saggautal
Grundwasserkörper:         ;Saggautal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;21.10.2014
 Geländehöhe:              ;307,95
 Messpunkthöhe:            ;308,80
 Sohllage:                 ;302,45
 T-Messtiefe u.GOK:        ;4,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  10.04.2008               ;15 22 12                 ;46 41 36
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2008 00:00:00   ;   305,06 ;     
01.06.2008 00:00:00   ;   305,71 ;     
01.07.2008 00:00:00   ;   305,36 ;     
01.08.2008 00:00:00   ;   305,48 ;     
01.09.2008 00:00:00   ;   305,49 ;     
01.10.2008 00:00:00   ;   305,28 ;     
01.11.2008 00:00:00   ;   305,14 ;     
01.12.2008 00:00:00   ;   305,83 ;     
01.01.2009 00:00:00   ;   305,46 ;     
01.02.2009 00:00:00   ;   305,96 ;     
01.03.2009 00:00:00   ;   305,64 ;     
01.04.2009 00:00:00   ;   305,34 ;     
01.05.2009 00:00:00   ;   305,53 ;     
01.06.2009 00:00:00   ;   305,65 ;     
01.07.2009 00:00:00   ;   305,60 ;     
01.08.2009 00:00:00   ;   305,60 ;     
01.09.2009 00:00:00   ;   305,87 ;     
01.10.2009 00:00:00   ;   305,30 ;     
01.11.2009 00:00:00   ;   305,58 ;     
01.12.2009 00:00:00   ;   305,61 ;     
01.01.2010 00:00:00   ;   305,45 ;     
01.02.2010 00:00:00   ;   305,63 ;     
01.03.2010 00:00:00   ;   305,82 ;     
01.04.2010 00:00:00   ;   305,35 ;     
01.05.2010 00:00:00   ;   305,14 ;     
01.06.2010 00:00:00   ;   305,15 ;     
01.07.2010 00:00:00   ;   304,96 ;     
01.08.2010 00:00:00   ;   305,33 ;     
01.09.2010 00:00:00   ;   306,14 ;     
01.10.2010 00:00:00   ;   305,88 ;     
01.11.2010 00:00:00   ;   305,80 ;     
01.12.2010 00:00:00   ;   305,90 ;     
01.01.2011 00:00:00   ;   305,62 ;     
01.02.2011 00:00:00   ;   305,28 ;     
01.03.2011 00:00:00   ;   305,31 ;     
01.04.2011 00:00:00   ;   305,06 ;     
01.05.2011 00:00:00   ;   305,10 ;     
01.06.2011 00:00:00   ;   305,32 ;     
01.07.2011 00:00:00   ;   305,07 ;     
01.08.2011 00:00:00   ;   305,06 ;     
01.09.2011 00:00:00   ;   304,87 ;     
01.10.2011 00:00:00   ;   305,22 ;     
01.11.2011 00:00:00   ;   305,22 ;     
01.12.2011 00:00:00   ;   305,08 ;     
01.01.2012 00:00:00   ;   305,12 ;     
01.02.2012 00:00:00   ;   305,01 ;     
01.03.2012 00:00:00   ;   305,30 ;     
01.04.2012 00:00:00   ;   305,12 ;     
01.05.2012 00:00:00   ;   305,32 ;     
01.06.2012 00:00:00   ;   305,39 ;     
01.07.2012 00:00:00   ;   305,29 ;     
01.08.2012 00:00:00   ;   305,02 ;     
01.09.2012 00:00:00   ;   305,74 ;     
01.10.2012 00:00:00   ;   305,85 ;     
01.11.2012 00:00:00   ;   305,93 ;     
01.12.2012 00:00:00   ;   305,60 ;     
01.01.2013 00:00:00   ;   305,44 ;     
01.02.2013 00:00:00   ;   305,73 ;     
01.03.2013 00:00:00   ;   306,30 ;     
01.04.2013 00:00:00   ;   305,79 ;     
01.05.2013 00:00:00   ;   305,34 ;     
01.06.2013 00:00:00   ;   305,21 ;     
01.07.2013 00:00:00   ;   304,92 ;     
01.08.2013 00:00:00   ;   304,80 ;     
01.09.2013 00:00:00   ;   304,86 ;     
01.10.2013 00:00:00   ;   305,04 ;     
01.11.2013 00:00:00   ;   306,01 ;     
01.12.2013 00:00:00   ;   305,50 ;     
01.01.2014 00:00:00   ;   305,82 ;     
01.02.2014 00:00:00   ;   306,38 ;     
01.03.2014 00:00:00   ;   305,53 ;     
01.04.2014 00:00:00   ;   305,20 ;     
01.05.2014 00:00:00   ;   305,73 ;     
01.06.2014 00:00:00   ;   305,06 ;     
01.07.2014 00:00:00   ;   305,57 ;     
01.08.2014 00:00:00   ;   306,04 ;     
01.09.2014 00:00:00   ;   306,21 ;     
01.10.2014 00:00:00   ;   305,40 ;     
01.11.2014 00:00:00   ;   305,70 ;     
01.12.2014 00:00:00   ;   305,59 ;     
01.01.2015 00:00:00   ;   305,34 ;     
01.02.2015 00:00:00   ;   305,50 ;     
01.03.2015 00:00:00   ;   305,35 ;     
01.04.2015 00:00:00   ;   305,00 ;     
01.05.2015 00:00:00   ;   305,18 ;     
01.06.2015 00:00:00   ;   305,32 ;     
01.07.2015 00:00:00   ;   305,12 ;     
01.08.2015 00:00:00   ;   304,99 ;     
01.09.2015 00:00:00   ;   305,06 ;     
01.10.2015 00:00:00   ;   305,89 ;     
01.11.2015 00:00:00   ;   305,22 ;     
01.12.2015 00:00:00   ;   305,02 ;     
01.01.2016 00:00:00   ;   305,09 ;     
01.02.2016 00:00:00   ;   305,75 ;     
01.03.2016 00:00:00   ;   305,96 ;     
01.04.2016 00:00:00   ;   305,15 ;     
