Messstelle:                ;Zams, Bl  3
HZB-Nummer:                ;358309
HD-Nummer:                 ;
DBMS-Nummer:               ;7004613
Fremdnummer:               ;GW70630117
PorenGW-Gebiet:            ;019 Oberinntal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.2018
 Geländehöhe:              ;756,01
 Messpunkthöhe:            ;757,01
 Sohllage:                 ;740,61
 T-Messtiefe u.GOK:        ;9,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.11.2008               ;10 35 52                 ;47 10 14
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.2008 00:00:00   ;   752,15 ;     
01.01.2009 00:00:00   ;   752,08 ;     
01.02.2009 00:00:00   ;   752,07 ;     
01.03.2009 00:00:00   ;   752,11 ;     
01.04.2009 00:00:00   ;   752,49 ;     
01.05.2009 00:00:00   ;   753,41 ;     
01.06.2009 00:00:00   ;   753,48 ;     
01.07.2009 00:00:00   ;   753,14 ;     
01.08.2009 00:00:00   ;   752,81 ;     
01.09.2009 00:00:00   ;   752,32 ;     
01.10.2009 00:00:00   ;   752,21 ;     
01.11.2009 00:00:00   ;   752,15 ;     
01.12.2009 00:00:00   ;   752,11 ;     
01.01.2010 00:00:00   ;   752,04 ;     
01.02.2010 00:00:00   ;   752,02 ;     
01.03.2010 00:00:00   ;   752,07 ;     
01.04.2010 00:00:00   ;   752,26 ;     
01.05.2010 00:00:00   ;   752,66 ;     
01.06.2010 00:00:00   ;   753,50 ;     
01.07.2010 00:00:00   ;   753,10 ;     
01.08.2010 00:00:00   ;   753,11 ;     
01.09.2010 00:00:00   ;   752,60 ;     
01.10.2010 00:00:00   ;   752,33 ;     
01.11.2010 00:00:00   ;   752,29 ;     
01.12.2010 00:00:00   ;   752,22 ;     
01.01.2011 00:00:00   ;   752,13 ;     
