Messstelle:                ;Lichendorf, Bl386312
HZB-Nummer:                ;358614
HD-Nummer:                 ;uw386312
DBMS-Nummer:               ;6003626
Fremdnummer:               ;um3a
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.03.2009
 Geländehöhe:              ;246,36
 Messpunkthöhe:            ;247,26
 Sohllage:                 ;235,16
 T-Messtiefe u.GOK:        ;9,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.03.2009               ;15 41 55                 ;46 43 20
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.2009 00:00:00   ;   242,21 ;     
01.05.2009 00:00:00   ;   241,91 ;     
01.06.2009 00:00:00   ;   242,35 ;     
01.07.2009 00:00:00   ;   243,83 ;     
01.08.2009 00:00:00   ;   243,52 ;     
01.09.2009 00:00:00   ;   242,95 ;     
01.10.2009 00:00:00   ;   242,44 ;     
01.11.2009 00:00:00   ;   242,18 ;     
01.12.2009 00:00:00   ;   242,00 ;     
01.01.2010 00:00:00   ;   241,90 ;     
01.02.2010 00:00:00   ;   241,72 ;     
01.03.2010 00:00:00   ;   241,96 ;     
01.04.2010 00:00:00   ;   241,87 ;     
01.05.2010 00:00:00   ;   241,67 ;     
01.06.2010 00:00:00   ;   241,46 ;     
01.07.2010 00:00:00   ;   241,28 ;     
01.08.2010 00:00:00   ;   241,12 ;     
01.09.2010 00:00:00   ;   241,22 ;     
01.10.2010 00:00:00   ;   241,83 ;     
01.11.2010 00:00:00   ;   241,88 ;     
01.12.2010 00:00:00   ;   242,11 ;     
01.01.2011 00:00:00   ;   242,06 ;     
01.02.2011 00:00:00   ;   241,94 ;     
01.03.2011 00:00:00   ;   241,70 ;     
01.04.2011 00:00:00   ;   241,52 ;     
01.05.2011 00:00:00   ;   241,37 ;     
01.06.2011 00:00:00   ;   241,41 ;     
01.07.2011 00:00:00   ;   241,29 ;     
01.08.2011 00:00:00   ;   241,15 ;     
01.09.2011 00:00:00   ;   240,99 ;     
01.10.2011 00:00:00   ;   240,84 ;     
01.11.2011 00:00:00   ;   240,73 ;     
01.12.2011 00:00:00   ;   240,62 ;     
01.01.2012 00:00:00   ;   240,52 ;     
01.02.2012 00:00:00   ;   240,44 ;     
01.03.2012 00:00:00   ;   240,38 ;     
01.04.2012 00:00:00   ;   240,33 ;     
01.05.2012 00:00:00   ;   240,31 ;     
01.06.2012 00:00:00   ;   240,37 ;     
01.07.2012 00:00:00   ;   240,37 ;     
01.08.2012 00:00:00   ;   240,35 ;     
01.09.2012 00:00:00   ;   240,38 ;     
01.10.2012 00:00:00   ;   240,60 ;     
01.11.2012 00:00:00   ;   241,59 ;     
01.12.2012 00:00:00   ;   241,89 ;     
01.01.2013 00:00:00   ;   241,77 ;     
01.02.2013 00:00:00   ;   241,73 ;     
01.03.2013 00:00:00   ;   242,82 ;     
01.04.2013 00:00:00   ;   243,30 ;     
01.05.2013 00:00:00   ;   242,94 ;     
01.06.2013 00:00:00   ;   242,53 ;     
01.07.2013 00:00:00   ;   242,07 ;     
01.08.2013 00:00:00   ;   241,66 ;     
01.09.2013 00:00:00   ;   241,35 ;     
01.10.2013 00:00:00   ;   241,12 ;     
01.11.2013 00:00:00   ;   241,08 ;     
01.12.2013 00:00:00   ;   241,48 ;     
01.01.2014 00:00:00   ;   241,40 ;     
01.02.2014 00:00:00   ;   241,75 ;     
01.03.2014 00:00:00   ;   242,37 ;     
01.04.2014 00:00:00   ;   242,04 ;     
01.05.2014 00:00:00   ;   241,79 ;     
01.06.2014 00:00:00   ;   241,67 ;     
01.07.2014 00:00:00   ;   241,46 ;     
01.08.2014 00:00:00   ;   241,43 ;     
01.09.2014 00:00:00   ;   242,63 ;     
01.10.2014 00:00:00   ;   242,76 ;     
01.11.2014 00:00:00   ;   242,42 ;     
01.12.2014 00:00:00   ;   242,27 ;     
01.01.2015 00:00:00   ;   242,04 ;     
01.02.2015 00:00:00   ;   241,79 ;     
01.03.2015 00:00:00   ;   241,89 ;     
01.04.2015 00:00:00   ;   241,67 ;     
01.05.2015 00:00:00   ;   241,59 ;     
01.06.2015 00:00:00   ;   242,03 ;     
01.07.2015 00:00:00   ;   241,74 ;     
01.08.2015 00:00:00   ;   241,43 ;     
01.09.2015 00:00:00   ;   241,19 ;     
