Messstelle:                ;St. Roman, Br 1
HZB-Nummer:                ;359539
HD-Nummer:                 ;HD4003327
DBMS-Nummer:               ;4003327
PorenGW-Gebiet:            ;085 Sauwald
Grundwasserkörper:         ;Gruppe Böhmische Masse [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;10.11.2018
 Geländehöhe:              ;701,20
 Messpunkthöhe:            ;701,60
 Sohllage:                 ;693,82
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.09.2014               ;13 40 19                 ;48 29 02
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.10.2014 00:00:00   ;   697,01 ;     
01.11.2014 00:00:00   ;   697,14 ;     
01.12.2014 00:00:00   ;   697,05 ;     
01.01.2015 00:00:00   ;   697,37 ;     
01.02.2015 00:00:00   ;   697,28 ;     
01.03.2015 00:00:00   ;   697,27 ;     
01.04.2015 00:00:00   ;   697,44 ;     
01.05.2015 00:00:00   ;   697,55 ;     
01.06.2015 00:00:00   ;   697,79 ;     
01.07.2015 00:00:00   ;   697,52 ;     
01.08.2015 00:00:00   ;   697,10 ;     
01.09.2015 00:00:00   ;   696,79 ;     
01.10.2015 00:00:00   ;   696,57 ;     
01.11.2015 00:00:00   ;   696,41 ;     
01.12.2015 00:00:00   ;   696,60 ;     
01.01.2016 00:00:00   ;   696,54 ;     
01.02.2016 00:00:00   ;   697,24 ;     
01.03.2016 00:00:00   ;   697,59 ;     
01.04.2016 00:00:00   ;   697,30 ;     
01.05.2016 00:00:00   ;   697,32 ;     
01.06.2016 00:00:00   ;   698,01 ;     
01.07.2016 00:00:00   ;   698,19 ;     
01.08.2016 00:00:00   ;   697,80 ;     
01.09.2016 00:00:00   ;   697,50 ;     
01.10.2016 00:00:00   ;   697,37 ;     
01.11.2016 00:00:00   ;   697,43 ;     
01.12.2016 00:00:00   ;   697,34 ;     
01.01.2017 00:00:00   ;   697,06 ;     
01.02.2017 00:00:00   ;   697,06 ;     
01.03.2017 00:00:00   ;   697,73 ;     
01.04.2017 00:00:00   ;   697,63 ;     
01.05.2017 00:00:00   ;   698,16 ;     
01.06.2017 00:00:00   ;   697,71 ;     
01.07.2017 00:00:00   ;   697,27 ;     
01.08.2017 00:00:00   ;   697,03 ;     
01.09.2017 00:00:00   ;   696,82 ;     
01.10.2017 00:00:00   ;   696,67 ;     
01.11.2017 00:00:00   ;   696,99 ;     
01.12.2017 00:00:00   ;   697,39 ;     
01.01.2018 00:00:00   ;   698,18 ;     
01.02.2018 00:00:00   ;   698,09 ;     
01.03.2018 00:00:00   ;   697,70 ;     
01.04.2018 00:00:00   ;   697,52 ;     
01.05.2018 00:00:00   ;   697,20 ;     
01.06.2018 00:00:00   ;   696,89 ;     
01.07.2018 00:00:00   ;   696,61 ;     
01.08.2018 00:00:00   ;   696,32 ;     
01.09.2018 00:00:00   ;   696,11 ;     
01.10.2018 00:00:00   ;   695,94 ;     
01.11.2018 00:00:00   ;   695,78 ;     
01.12.2018 00:00:00   ;   695,87 ;     
01.01.2019 00:00:00   ;   696,57 ;     
01.02.2019 00:00:00   ;   696,73 ;     
01.03.2019 00:00:00   ;   698,09 ;     
01.04.2019 00:00:00   ;   697,97 ;     
01.05.2019 00:00:00   ;   697,66 ;     
01.06.2019 00:00:00   ;   697,74 ;     
01.07.2019 00:00:00   ;   697,27 ;     
01.08.2019 00:00:00   ;   696,84 ;     
01.09.2019 00:00:00   ;   696,59 ;     
01.10.2019 00:00:00   ;   696,46 ;     
01.11.2019 00:00:00   ;   696,35 ;     
01.12.2019 00:00:00   ;   696,28 ;     
01.01.2020 00:00:00   ;   696,33 ;     
01.02.2020 00:00:00   ;   696,86 ;     
01.03.2020 00:00:00   ;   697,42 ;     
01.04.2020 00:00:00   ;   697,23 ;     
01.05.2020 00:00:00   ;   696,96 ;     
01.06.2020 00:00:00   ;   696,91 ;     
01.07.2020 00:00:00   ;   697,22 ;     
01.08.2020 00:00:00   ;   697,22 ;     
01.09.2020 00:00:00   ;   696,94 ;     
01.10.2020 00:00:00   ;   696,95 ;     
01.11.2020 00:00:00   ;   697,21 ;     
01.12.2020 00:00:00   ;   697,01 ;     
01.01.2021 00:00:00   ;   696,91 ;     
01.02.2021 00:00:00   ;   697,86 ;     
01.03.2021 00:00:00   ;   697,61 ;     
01.04.2021 00:00:00   ;   697,32 ;     
01.05.2021 00:00:00   ;   697,53 ;     
01.06.2021 00:00:00   ;   697,58 ;     
01.07.2021 00:00:00   ;   697,32 ;     
01.08.2021 00:00:00   ;   697,44 ;     
01.09.2021 00:00:00   ;   697,44 ;     
01.10.2021 00:00:00   ;   697,11 ;     
01.11.2021 00:00:00   ;   696,88 ;     
01.12.2021 00:00:00   ;   696,91 ;     
01.01.2022 00:00:00   ;Lücke         ; 
