Messstelle:                ;St. Peter, Bl 27.144
HZB-Nummer:                ;377549
HD-Nummer:                 ;2127.144
DBMS-Nummer:               ;4003109
Fremdnummer:               ;VT25
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;27.09.2014
 Geländehöhe:              ;255,15
 Messpunkthöhe:            ;255,07
 Sohllage:                 ;245,54
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 19 37                 ;48 16 45
  01.01.2003               ;14 19 38                 ;48 16 46
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2001 00:00:00   ;   249,45 ;     
01.02.2001 00:00:00   ;   249,40 ;     
01.03.2001 00:00:00   ;   249,40 ;     
01.04.2001 00:00:00   ;   249,54 ;     
01.05.2001 00:00:00   ;   249,45 ;     
01.06.2001 00:00:00   ;   249,41 ;     
01.07.2001 00:00:00   ;   249,44 ;     
01.08.2001 00:00:00   ;   249,49 ;     
01.09.2001 00:00:00   ;   249,53 ;     
01.10.2001 00:00:00   ;   249,52 ;     
01.11.2001 00:00:00   ;   249,49 ;     
01.12.2001 00:00:00   ;   249,49 ;     
01.01.2002 00:00:00   ;   249,54 ;     
01.02.2002 00:00:00   ;   249,48 ;     
01.03.2002 00:00:00   ;   249,64 ;     
01.04.2002 00:00:00   ;   249,61 ;     
01.05.2002 00:00:00   ;   249,46 ;     
01.06.2002 00:00:00   ;   249,37 ;     
01.07.2002 00:00:00   ;   249,40 ;     
01.08.2002 00:00:00   ;   249,94 ;     
01.09.2002 00:00:00   ;   249,71 ;     
01.10.2002 00:00:00   ;   249,71 ;     
01.11.2002 00:00:00   ;   249,87 ;     
01.12.2002 00:00:00   ;   249,76 ;     
01.01.2003 00:00:00   ;   249,87 ;     
01.02.2003 00:00:00   ;   249,78 ;     
01.03.2003 00:00:00   ;   249,68 ;     
01.04.2003 00:00:00   ;   249,63 ;     
01.05.2003 00:00:00   ;   249,57 ;     
01.06.2003 00:00:00   ;   249,60 ;     
01.07.2003 00:00:00   ;   249,66 ;     
01.08.2003 00:00:00   ;   249,61 ;     
01.09.2003 00:00:00   ;   249,48 ;     
01.10.2003 00:00:00   ;   249,45 ;     
01.11.2003 00:00:00   ;   249,40 ;     
01.12.2003 00:00:00   ;   249,40 ;     
01.01.2004 00:00:00   ;   249,45 ;     
01.02.2004 00:00:00   ;   249,45 ;     
01.03.2004 00:00:00   ;   249,41 ;     
01.04.2004 00:00:00   ;   249,39 ;     
01.05.2004 00:00:00   ;   249,26 ;     
01.06.2004 00:00:00   ;   249,37 ;     
01.07.2004 00:00:00   ;   249,43 ;     
01.08.2004 00:00:00   ;   249,38 ;     
01.09.2004 00:00:00   ;   249,27 ;     
01.10.2004 00:00:00   ;   249,23 ;     
01.11.2004 00:00:00   ;   249,13 ;     
01.12.2004 00:00:00   ;   249,02 ;     
01.01.2005 00:00:00   ;   248,98 ;     
01.02.2005 00:00:00   ;   249,10 ;     
01.03.2005 00:00:00   ;   249,03 ;     
01.04.2005 00:00:00   ;   249,02 ;     
01.05.2005 00:00:00   ;   249,07 ;     
01.06.2005 00:00:00   ;   249,08 ;     
01.07.2005 00:00:00   ;   249,22 ;     
01.08.2005 00:00:00   ;   249,26 ;     
01.09.2005 00:00:00   ;   249,25 ;     
01.10.2005 00:00:00   ;   249,17 ;     
01.11.2005 00:00:00   ;   249,08 ;     
01.12.2005 00:00:00   ;   249,08 ;     
01.01.2006 00:00:00   ;   249,15 ;     
01.02.2006 00:00:00   ;   249,13 ;     
01.03.2006 00:00:00   ;   249,22 ;     
01.04.2006 00:00:00   ;   249,38 ;     
01.05.2006 00:00:00   ;   249,31 ;     
01.06.2006 00:00:00   ;   249,29 ;     
01.07.2006 00:00:00   ;   249,20 ;     
01.08.2006 00:00:00   ;   249,26 ;     
01.09.2006 00:00:00   ;   249,22 ;     
01.10.2006 00:00:00   ;   249,18 ;     
01.11.2006 00:00:00   ;   249,15 ;     
01.12.2006 00:00:00   ;   249,12 ;     
01.01.2007 00:00:00   ;   249,12 ;     
01.02.2007 00:00:00   ;   249,17 ;     
01.03.2007 00:00:00   ;   249,27 ;     
01.04.2007 00:00:00   ;   249,19 ;     
01.05.2007 00:00:00   ;   249,15 ;     
01.06.2007 00:00:00   ;   249,13 ;     
01.07.2007 00:00:00   ;   249,11 ;     
01.08.2007 00:00:00   ;   249,15 ;     
01.09.2007 00:00:00   ;   249,32 ;     
01.10.2007 00:00:00   ;   249,22 ;     
01.11.2007 00:00:00   ;   249,29 ;     
01.12.2007 00:00:00   ;   249,30 ;     
01.01.2008 00:00:00   ;   249,20 ;     
01.02.2008 00:00:00   ;   249,12 ;     
01.03.2008 00:00:00   ;   249,10 ;     
01.04.2008 00:00:00   ;   249,15 ;     
01.05.2008 00:00:00   ;   249,16 ;     
01.06.2008 00:00:00   ;   249,13 ;     
01.07.2008 00:00:00   ;   249,13 ;     
01.08.2008 00:00:00   ;   249,20 ;     
01.09.2008 00:00:00   ;   249,19 ;     
01.10.2008 00:00:00   ;   249,17 ;     
01.11.2008 00:00:00   ;   249,13 ;     
01.12.2008 00:00:00   ;   249,10 ;     
01.01.2009 00:00:00   ;   249,16 ;     
01.02.2009 00:00:00   ;   249,15 ;     
01.03.2009 00:00:00   ;   249,21 ;     
01.04.2009 00:00:00   ;   249,27 ;     
01.05.2009 00:00:00   ;   249,32 ;     
01.06.2009 00:00:00   ;   249,35 ;     
01.07.2009 00:00:00   ;   249,46 ;     
01.08.2009 00:00:00   ;   249,33 ;     
01.09.2009 00:00:00   ;   249,23 ;     
01.10.2009 00:00:00   ;   249,11 ;     
01.11.2009 00:00:00   ;   249,01 ;     
01.12.2009 00:00:00   ;   249,03 ;     
01.01.2010 00:00:00   ;   249,04 ;     
01.02.2010 00:00:00   ;   249,04 ;     
01.03.2010 00:00:00   ;   249,13 ;     
01.04.2010 00:00:00   ;   248,99 ;     
01.05.2010 00:00:00   ;   248,94 ;     
01.06.2010 00:00:00   ;   249,00 ;     
01.07.2010 00:00:00   ;   249,10 ;     
01.08.2010 00:00:00   ;   249,17 ;     
01.09.2010 00:00:00   ;   249,02 ;     
01.10.2010 00:00:00   ;   248,95 ;     
01.11.2010 00:00:00   ;   248,93 ;     
01.12.2010 00:00:00   ;   248,98 ;     
01.01.2011 00:00:00   ;   248,93 ;     
01.02.2011 00:00:00   ;   248,88 ;     
01.03.2011 00:00:00   ;   248,84 ;     
01.04.2011 00:00:00   ;   248,79 ;     
01.05.2011 00:00:00   ;   248,78 ;     
01.06.2011 00:00:00   ;   248,84 ;     
01.07.2011 00:00:00   ;   248,86 ;     
01.08.2011 00:00:00   ;   248,90 ;     
01.09.2011 00:00:00   ;   248,86 ;     
01.10.2011 00:00:00   ;   248,92 ;     
01.11.2011 00:00:00   ;   248,98 ;     
01.12.2011 00:00:00   ;   248,93 ;     
01.01.2012 00:00:00   ;   249,08 ;     
01.02.2012 00:00:00   ;   249,09 ;     
01.03.2012 00:00:00   ;   248,96 ;     
01.04.2012 00:00:00   ;   248,91 ;     
01.05.2012 00:00:00   ;   248,93 ;     
01.06.2012 00:00:00   ;   249,08 ;     
01.07.2012 00:00:00   ;   249,11 ;     
01.08.2012 00:00:00   ;   249,11 ;     
01.09.2012 00:00:00   ;   249,13 ;     
01.10.2012 00:00:00   ;   249,10 ;     
01.11.2012 00:00:00   ;   249,02 ;     
01.12.2012 00:00:00   ;   248,96 ;     
01.01.2013 00:00:00   ;   249,13 ;     
01.02.2013 00:00:00   ;   249,15 ;     
01.03.2013 00:00:00   ;   249,08 ;     
01.04.2013 00:00:00   ;   248,99 ;     
01.05.2013 00:00:00   ;   249,03 ;     
01.06.2013 00:00:00   ;   249,41 ;     
01.07.2013 00:00:00   ;   249,26 ;     
01.08.2013 00:00:00   ;   249,12 ;     
01.09.2013 00:00:00   ;   249,17 ;     
01.10.2013 00:00:00   ;   249,12 ;     
01.11.2013 00:00:00   ;   249,08 ;     
01.12.2013 00:00:00   ;   249,01 ;     
01.01.2014 00:00:00   ;   248,95 ;     
01.02.2014 00:00:00   ;   248,85 ;     
01.03.2014 00:00:00   ;   248,78 ;     
01.04.2014 00:00:00   ;   248,74 ;     
01.05.2014 00:00:00   ;   248,79 ;     
01.06.2014 00:00:00   ;   248,89 ;     
01.07.2014 00:00:00   ;   248,85 ;     
01.08.2014 00:00:00   ;   248,86 ;     
01.09.2014 00:00:00   ;   248,98 ;     
01.10.2014 00:00:00   ;   249,26 ;     
01.11.2014 00:00:00   ;   249,16 ;     
01.12.2014 00:00:00   ;   249,08 ;     
01.01.2015 00:00:00   ;   249,10 ;     
01.02.2015 00:00:00   ;   249,06 ;     
01.03.2015 00:00:00   ;   249,03 ;     
01.04.2015 00:00:00   ;   248,87 ;     
01.05.2015 00:00:00   ;   248,73 ;     
01.06.2015 00:00:00   ;   248,75 ;     
01.07.2015 00:00:00   ;   248,66 ;     
01.08.2015 00:00:00   ;   248,58 ;     
01.09.2015 00:00:00   ;   248,54 ;     
01.10.2015 00:00:00   ;   248,55 ;     
01.11.2015 00:00:00   ;   248,53 ;     
01.12.2015 00:00:00   ;   248,48 ;     
01.01.2016 00:00:00   ;   248,57 ;     
01.02.2016 00:00:00   ;   248,59 ;     
01.03.2016 00:00:00   ;   248,59 ;     
01.04.2016 00:00:00   ;   248,51 ;     
01.05.2016 00:00:00   ;   248,63 ;     
01.06.2016 00:00:00   ;   248,93 ;     
01.07.2016 00:00:00   ;   248,92 ;     
01.08.2016 00:00:00   ;   248,92 ;     
01.09.2016 00:00:00   ;   248,82 ;     
01.10.2016 00:00:00   ;   248,75 ;     
01.11.2016 00:00:00   ;   248,79 ;     
01.12.2016 00:00:00   ;   248,80 ;     
01.01.2017 00:00:00   ;   248,78 ;     
01.02.2017 00:00:00   ;   248,74 ;     
01.03.2017 00:00:00   ;   248,84 ;     
01.04.2017 00:00:00   ;   249,00 ;     
01.05.2017 00:00:00   ;   249,02 ;     
01.06.2017 00:00:00   ;   248,92 ;     
01.07.2017 00:00:00   ;   248,92 ;     
01.08.2017 00:00:00   ;   249,13 ;     
01.09.2017 00:00:00   ;   249,07 ;     
01.10.2017 00:00:00   ;   249,00 ;     
01.11.2017 00:00:00   ;   249,02 ;     
01.12.2017 00:00:00   ;   249,03 ;     
01.01.2018 00:00:00   ;   249,11 ;     
01.02.2018 00:00:00   ;   249,06 ;     
01.03.2018 00:00:00   ;   248,95 ;     
01.04.2018 00:00:00   ;   248,83 ;     
01.05.2018 00:00:00   ;   248,65 ;     
01.06.2018 00:00:00   ;   248,63 ;     
01.07.2018 00:00:00   ;   248,68 ;     
01.08.2018 00:00:00   ;   248,66 ;     
01.09.2018 00:00:00   ;   248,68 ;     
01.10.2018 00:00:00   ;   248,59 ;     
01.11.2018 00:00:00   ;   248,54 ;     
