Messstelle:                ;Lustenau (Hofsteig)
HZB-Nummer:                ;200220
HD-Nummer:                 ;
DBMS-Nummer:               ;8001022
Gewässer:                  ;Rheintalbinnenkanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;78,51
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00400,50
   01.01.1986              ;00399,60
   01.01.1996              ;00399,56
   14.10.2014              ;00399,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1949              ;101964,00 - 255286,00
Exportzeitreihe:           ;(8001022,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
17.01.1976 22:00:00;  4,64
14.02.1976 23:00:00;  2,60
26.03.1976 05:00:00;  2,04
26.04.1976 06:00:00;  3,59
12.05.1976 07:00:00;  6,71
02.06.1976 08:00:00;  30,7
26.07.1976 14:00:00;  32,1
01.08.1976 12:00:00;  5,47
17.09.1976 12:00:00;  18,3
05.10.1976 08:00:00;  4,16
25.11.1976 16:00:00;  4,19
10.12.1976 14:00:00;  9,73
26.01.1977 20:00:00;  6,01
10.02.1977 02:00:00;  14,7
03.03.1977 02:00:00;  6,90
14.04.1977 05:00:00;  18,0
13.05.1977 08:00:00;  8,87
30.06.1977 19:00:00;  11,5
31.07.1977 19:00:00;  39,1
01.08.1977 00:00:00;  32,2
09.09.1977 16:00:00;  14,6
11.10.1977 01:00:00;  3,11
15.11.1977 09:00:00;  6,51
25.12.1977 05:00:00;  8,93
25.01.1978 03:00:00;  4,19
26.02.1978 23:00:00;  13,1
21.03.1978 04:00:00;  12,9
21.04.1978 08:00:00;  6,61
24.05.1978 05:00:00;  22,0
10.06.1978 14:00:00;  9,61
11.07.1978 21:00:00;  13,1
08.08.1978 18:00:00;  28,8
12.09.1978 16:00:00;  8,73
04.10.1978 13:00:00;  10,8
01.11.1978 00:00:00;  1,15
09.12.1978 04:00:00;  12,6
28.01.1979 22:00:00;  5,81
03.02.1979 09:00:00;  15,4
12.03.1979 07:00:00;  15,3
17.04.1979 06:00:00;  10,8
25.05.1979 03:00:00;  11,6
17.06.1979 18:00:00;  43,3
14.07.1979 14:00:00;  7,79
09.08.1979 03:00:00;  14,7
22.09.1979 06:00:00;  29,1
06.10.1979 03:00:00;  16,5
27.11.1979 20:00:00;  15,7
18.12.1979 09:00:00;  6,00
25.01.1980 00:00:00;  13,3
05.02.1980 08:00:00;  17,8
31.03.1980 23:59:55;  7,93
24.04.1980 09:00:00;  12,1
04.05.1980 14:00:00;  8,97
04.06.1980 11:00:00;  17,9
09.07.1980 17:00:00;  18,9
08.08.1980 14:00:00;  10,4
01.09.1980 07:00:00;  15,5
26.10.1980 01:00:00;  17,5
27.11.1980 06:00:00;  2,89
15.12.1980 18:00:00;  7,47
04.01.1981 14:00:00;  12,2
07.02.1981 23:00:00;  7,99
12.03.1981 22:00:00;  17,0
05.04.1981 10:00:00;  2,47
27.05.1981 07:00:00;  18,1
19.06.1981 02:00:00;  19,0
19.07.1981 13:00:00;  39,3
07.08.1981 02:00:00;  9,62
29.09.1981 09:00:00;  35,7
13.10.1981 04:00:00;  25,6
01.11.1981 00:00:00;  7,77
16.12.1981 06:00:00;  18,4
30.01.1982 08:00:00;  22,7
01.02.1982 00:00:00;  13,7
30.03.1982 01:00:00;  4,05
03.04.1982 01:00:00;  6,15
21.05.1982 11:00:00;  3,80
29.06.1982 09:00:00;  22,8
27.07.1982 21:00:00;  16,8
31.08.1982 19:00:00;  25,8
27.09.1982 04:00:00;  35,6
01.10.1982 04:00:00;  21,7
18.11.1982 15:00:00;  13,6
18.12.1982 09:00:00;  8,40
06.01.1983 00:00:00;  9,82
28.02.1983 18:00:00;  9,06
01.03.1983 00:00:00;  6,71
04.04.1983 01:00:00;  11,3
11.05.1983 02:00:00;  8,82
14.06.1983 12:00:00;  41,5
01.07.1983 22:00:00;  3,25
04.08.1983 00:00:00;  30,2
11.09.1983 04:00:00;  26,9
09.10.1983 20:00:00;  6,52
27.11.1983 14:00:00;  17,6
24.12.1983 03:00:00;  15,5
24.01.1984 05:00:00;  6,72
07.02.1984 23:00:00;  8,64
29.03.1984 16:00:00;  3,28
16.04.1984 23:00:00;  5,34
31.05.1984 04:00:00;  8,05
24.06.1984 11:00:00;  12,6
03.07.1984 08:00:00;  14,4
12.08.1984 01:00:00;  18,4
06.09.1984 01:00:00;  20,4
02.10.1984 10:00:00;  7,81
27.11.1984 00:00:00;  4,23
17.12.1984 11:00:00;  13,9
24.01.1985 05:00:00;  4,90
01.02.1985 13:00:00;  13,8
02.03.1985 18:00:00;  5,01
30.04.1985 23:59:55;  20,2
01.05.1985 03:00:00;  26,1
15.06.1985 03:00:00;  32,8
06.07.1985 21:00:00;  10,7
07.08.1985 05:00:00;  24,3
06.09.1985 09:00:00;  9,56
06.10.1985 03:00:00;  1,21
30.11.1985 23:59:55;  6,27
01.12.1985 02:00:00;  6,91
11.01.1986 20:30:00;  16,0
24.02.1986 07:00:00;  2,74
25.03.1986 02:15:00;  9,63
10.04.1986 08:15:00;  29,0
30.05.1986 19:15:00;  29,3
05.06.1986 00:45:00;  15,7
06.07.1986 17:30:00;  17,1
23.08.1986 13:30:00;  13,5
17.09.1986 22:00:00;  5,24
23.10.1986 07:00:00;  5,69
23.11.1986 18:00:00;  7,59
30.12.1986 00:15:00;  7,83
01.01.1987 21:00:00;  9,00
28.02.1987 12:30:00;  7,66
02.03.1987 11:45:00;  15,6
10.04.1987 10:15:00;  14,3
06.05.1987 23:00:00;  8,11
15.06.1987 21:15:00;  28,3
19.07.1987 04:15:00;  28,4
03.08.1987 07:30:00;  15,8
27.09.1987 08:15:00;  17,1
18.10.1987 03:15:00;  2,80
17.11.1987 03:15:00;  3,70
19.12.1987 06:15:00;  15,9
21.01.1988 20:30:00;  2,24
08.02.1988 21:15:00;  4,73
22.03.1988 04:30:00;  24,1
13.04.1988 21:15:00;  24,7
20.05.1988 15:45:00;  11,1
05.06.1988 23:00:00;  22,1
14.07.1988 09:00:00;  14,0
29.08.1988 21:15:00;  23,2
02.09.1988 13:15:00;  15,8
13.10.1988 06:15:00;  2,70
30.11.1988 13:30:00;  10,4
06.12.1988 02:15:00;  16,3
08.01.1989 19:45:00;  1,88
22.02.1989 04:45:00;  5,56
04.03.1989 03:15:00;  5,92
02.04.1989 11:30:00;  16,5
14.05.1989 18:15:00;  2,52
23.06.1989 07:00:00;  4,21
12.07.1989 08:30:00;  15,1
09.08.1989 12:30:00;  16,8
03.09.1989 02:30:00;  8,72
08.10.1989 12:30:00;  12,4
06.11.1989 15:15:00;  4,97
19.12.1989 11:00:00;  1,65
26.01.1990 08:30:00;  1,92
15.02.1990 16:45:00;  7,45
01.03.1990 10:30:00;  4,43
11.04.1990 20:30:00;  3,66
25.05.1990 14:00:00;  25,2
13.06.1990 07:00:00;  13,3
08.07.1990 12:00:00;  21,1
06.08.1990 21:00:00;  5,77
23.09.1990 09:00:00;  21,5
30.10.1990 05:45:00;  8,20
11.11.1990 23:00:00;  7,02
31.12.1990 23:59:55;  5,71
03.01.1991 01:45:00;  10,5
01.02.1991 16:15:00; 0,585
22.03.1991 19:45:00;  5,04
06.04.1991 05:00:00;  6,14
12.05.1991 05:00:00;  37,3
17.06.1991 17:15:00;  47,6
27.07.1991 03:00:00;  10,7
02.08.1991 03:00:00;  13,8
27.09.1991 03:00:00;  14,7
01.10.1991 00:00:00;  2,50
17.11.1991 07:15:00;  4,78
22.12.1991 21:00:00;  37,7
01.01.1992 00:00:00; 0,774
16.02.1992 07:45:00;  9,82
15.03.1992 19:45:00;  10,7
28.04.1992 22:15:00;  9,48
01.05.1992 00:00:00;  2,36
19.06.1992 13:30:00;  4,58
11.07.1992 15:45:00;  7,08
01.08.1992 18:30:00;  5,73
01.09.1992 05:15:00;  16,6
29.10.1992 07:30:00;  6,59
22.11.1992 20:00:00;  26,5
12.12.1992 17:45:00;  8,95
14.01.1993 16:30:00;  4,36
01.02.1993 00:00:00;  1,12
25.03.1993 03:00:00;  4,81
16.04.1993 13:45:00;  2,34
21.05.1993 17:45:00;  3,06
17.06.1993 18:00:00;  18,2
11.07.1993 08:30:00;  31,4
10.08.1993 17:30:00;  14,5
05.09.1993 03:45:00;  13,6
13.10.1993 05:15:00;  16,4
07.11.1993 10:15:00;  5,40
20.12.1993 11:00:00;  4,13
01.01.1994 12:30:00;  7,51
08.02.1994 05:00:00;  2,39
26.03.1994 12:30:00;  9,97
26.04.1994 02:45:00;  12,5
10.05.1994 03:30:00;  10,6
09.06.1994 14:00:00;  20,3
07.07.1994 03:00:00;  16,9
25.08.1994 12:15:00;  12,7
09.09.1994 01:30:00;  15,4
26.10.1994 11:30:00;  1,80
12.11.1994 00:45:00;  10,4
10.12.1994 10:00:00;  18,6
23.01.1995 22:30:00;  8,59
18.02.1995 08:15:00;  7,05
20.03.1995 02:45:00;  8,26
26.04.1995 07:45:00;  16,4
