Messstelle:                ;Trautenfels
HZB-Nummer:                ;210740
HD-Nummer:                 ;ow1140
DBMS-Nummer:               ;6001025
Gewässer:                  ;Enns
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1519
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00639,62
   01.01.1995              ;00639,96
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1995              ;580863,80 - 266468,90
   10.03.2004              ;580820,40 - 266420,60
   01.01.2018              ;580847,10 - 266445,90
Exportzeitreihe:           ;(6001025,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.2002 00:00,01.01.2022 00:00]
Werte:
28.01.2002 13:30:00;  64,9
13.02.2002 13:15:00;  55,7
22.03.2002 04:30:00;   239
27.04.2002 13:00:00;   107
04.05.2002 19:15:00;   206
07.06.2002 15:15:00;   193
18.07.2002 06:30:00;   122
13.08.2002 13:33:10;   474
24.09.2002 20:26:50;  90,8
18.10.2002 11:11:50;  90,7
18.11.2002 21:11:50;  86,5
23.12.2002 13:13:55;  72,6
01.01.2003 20:27:10;  44,8
24.02.2003 20:11:45;  39,1
31.03.2003 21:45:45;  62,9
30.04.2003 23:59:55;   106
20.05.2003 15:13:10;   117
01.06.2003 01:21:40;  81,2
05.07.2003 00:30:40;  54,7
31.08.2003 17:15:40;  86,2
13.09.2003 19:15:40;   112
10.10.2003 11:54:00;   116
02.11.2003 13:09:00;  81,5
28.12.2003 01:24:00;  43,3
14.01.2004 20:54:00;  38,1
03.02.2004 17:54:00;  54,8
21.03.2004 23:24:00;  86,8
24.04.2004 12:24:00;   113
22.05.2004 15:39:00;   149
12.06.2004 05:39:00;   193
02.07.2004 15:24:00;   110
31.08.2004 22:39:00;   128
01.09.2004 00:00:00;   126
11.10.2004 11:54:00;  77,9
01.11.2004 00:00:00;  65,1
01.12.2004 13:24:00;  51,6
21.01.2005 12:54:00;  51,2
21.02.2005 17:48:00;  44,6
19.03.2005 20:33:00;   102
30.04.2005 23:30:00;   119
04.05.2005 07:00:00;   210
01.06.2005 00:00:00;   111
