Messstelle:                ;Arzberg (Raab)
HZB-Nummer:                ;211698
HD-Nummer:                 ;ow4027
DBMS-Nummer:               ;6001118
Gewässer:                  ;Raab
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;119,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00566,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;688410,60 - 234572,20
   01.01.2018              ;688446,30 - 234565,00
Exportzeitreihe:           ;(6001118,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 00:30,01.01.2022 00:00]
Werte:
30.01.1982 22:30:00;  8,99
28.02.1982 08:30:00;  2,85
03.03.1982 15:30:00;  4,88
03.04.1982 23:00:00;  3,82
29.05.1982 01:00:00;  5,29
27.06.1982 17:00:00;  7,70
25.07.1982 01:00:00;  45,9
07.08.1982 16:00:00;  48,5
24.09.1982 00:30:00;  7,35
06.10.1982 19:00:00;  60,5
30.11.1982 01:00:00;  1,84
11.12.1982 02:00:00;  3,69
17.01.1983 17:00:00;  8,79
23.02.1983 10:00:00;  4,49
08.03.1983 15:00:00;  2,50
04.04.1983 05:00:00;  1,38
24.05.1983 17:00:00;  3,89
22.06.1983 11:00:00;  6,69
28.07.1983 18:00:00;  1,28
10.08.1983 16:30:00;  5,11
17.09.1983 05:00:00;  7,14
17.10.1983 11:00:00;  2,99
27.11.1983 21:30:00;  1,10
20.12.1983 00:01:00;  1,07
10.01.1984 11:00:00; 0,873
13.02.1984 13:00:00; 0,679
30.03.1984 11:00:00;  3,01
03.04.1984 02:30:00;  11,7
21.05.1984 04:00:00;  9,26
21.06.1984 20:30:00;  6,96
15.07.1984 18:00:00;  2,69
07.08.1984 22:30:00;  5,80
24.09.1984 04:30:00;  7,53
04.10.1984 04:00:00;  11,2
20.11.1984 03:30:00;  1,12
11.12.1984 14:00:00; 0,771
01.01.1985 12:00:00;  1,37
02.02.1985 13:30:00;  9,63
22.03.1985 08:15:00;  13,4
02.04.1985 15:15:00;  5,27
07.05.1985 13:30:00;  23,8
08.06.1985 23:15:00;  4,14
20.07.1985 20:15:00;  2,80
07.08.1985 10:30:00;  23,4
02.09.1985 01:15:00;  1,58
31.10.1985 10:45:00; 0,700
06.11.1985 06:00:00; 0,855
29.12.1985 20:45:00;  1,86
06.01.1986 11:45:00;  1,58
10.02.1986 12:45:00;  2,00
28.03.1986 18:45:00;  5,17
09.04.1986 12:15:00;  5,50
29.05.1986 22:45:00;  10,9
14.06.1986 06:45:00;  5,54
04.07.1986 21:30:00;  13,5
28.08.1986 18:00:00;  9,92
10.09.1986 14:30:00;  3,39
19.10.1986 22:45:00; 0,855
24.11.1986 02:15:00;  1,24
26.12.1986 07:15:00; 0,921
08.01.1987 15:45:00; 0,777
21.02.1987 00:15:00;  12,3
28.03.1987 23:15:00;  8,20
10.04.1987 07:30:00;  4,85
04.05.1987 18:45:00;  5,07
16.06.1987 00:15:00;  2,84
03.07.1987 14:30:00;  31,0
18.08.1987 17:00:00;  25,9
02.09.1987 14:00:00;  9,86
24.10.1987 04:15:00;  1,38
25.11.1987 09:15:00;  2,24
01.12.1987 14:00:00;  3,79
01.01.1988 00:00:00;  1,34
08.02.1988 01:00:00; 0,936
31.03.1988 10:15:00;  1,52
11.04.1988 07:30:00;  1,80
17.05.1988 16:15:00;  2,76
06.06.1988 04:00:00;  22,9
27.07.1988 23:45:00;  2,76
22.08.1988 07:45:00;  12,0
13.09.1988 18:00:00;  6,33
06.10.1988 11:00:00;  1,25
13.11.1988 09:30:00; 0,707
17.12.1988 11:45:00;  1,52
06.01.1989 08:30:00; 0,893
25.02.1989 18:00:00;  2,61
18.03.1989 16:45:00;  1,03
15.04.1989 14:00:00;  3,59
20.05.1989 22:30:00;  3,19
28.06.1989 11:30:00;  16,5
11.07.1989 22:30:00;  56,0
19.08.1989 11:15:00;  23,8
28.09.1989 08:30:00;  14,4
01.10.1989 03:45:00;  4,00
06.11.1989 19:30:00;  3,59
01.12.1989 01:30:00; 0,850
21.01.1990 12:00:00; 0,771
15.02.1990 09:15:00;  2,61
27.03.1990 23:15:00;  2,24
23.04.1990 17:00:00;  7,73
25.05.1990 20:45:00;  4,23
10.06.1990 04:45:00;  4,85
10.07.1990 21:45:00;  12,6
22.08.1990 00:15:00;  2,61
25.09.1990 03:30:00;  2,03
29.10.1990 19:45:00;  2,03
27.11.1990 15:45:00;  3,82
10.12.1990 00:15:00;  1,45
13.01.1991 07:15:00; 0,828
24.02.1991 00:30:00; 0,828
26.03.1991 03:00:00;  2,47
01.04.1991 04:30:00; 0,910
10.05.1991 09:30:00;  17,6
11.06.1991 14:30:00;  5,49
31.07.1991 19:15:00;  22,1
25.08.1991 19:15:00;  6,63
15.09.1991 12:30:00;  14,3
08.10.1991 15:00:00;  3,43
16.11.1991 22:00:00;  17,5
01.12.1991 00:00:00;  3,22
11.01.1992 08:45:00;  1,45
06.02.1992 03:00:00;  1,45
27.03.1992 13:45:00;  3,62
29.04.1992 18:45:00;  3,23
10.05.1992 22:00:00;  3,03
05.06.1992 22:45:00;  13,3
11.07.1992 18:00:00;  18,0
02.08.1992 00:45:00;  5,49
01.09.1992 07:45:00;  6,15
05.10.1992 18:00:00;  14,6
03.11.1992 22:15:00;  5,07
05.12.1992 19:45:00;  10,1
01.01.1993 00:00:00;  1,44
01.02.1993 06:30:00;  1,22
24.03.1993 05:00:00; 0,859
11.04.1993 13:30:00; 0,719
15.05.1993 12:15:00;  1,22
23.06.1993 23:00:00;  5,09
20.07.1993 16:45:00;  3,43
25.08.1993 05:30:00;  2,03
30.09.1993 23:59:55; 0,780
03.10.1993 00:15:00;  29,2
06.11.1993 04:00:00;  5,74
15.12.1993 01:30:00;  1,45
12.01.1994 16:15:00;  1,79
08.02.1994 20:00:00;  1,58
02.03.1994 11:00:00; 0,910
18.04.1994 02:15:00;  2,07
24.05.1994 21:00:00;  4,64
19.06.1994 18:30:00;  4,44
20.07.1994 13:30:00;  7,26
28.08.1994 23:00:00;  1,73
03.09.1994 05:15:00;  6,15
24.10.1994 15:15:00;  1,25
11.11.1994 18:30:00;  3,23
11.12.1994 06:45:00; 0,753
04.01.1995 04:00:00;  1,02
08.02.1995 13:30:00;  2,24
20.03.1995 05:45:00;  3,23
25.04.1995 11:45:00;  2,47
17.05.1995 16:45:00;  1,45
21.06.1995 18:00:00;  15,2
15.07.1995 14:15:00;  7,04
08.08.1995 16:30:00;  13,1
14.09.1995 18:15:00;  21,5
01.10.1995 02:30:00;  1,20
17.11.1995 21:30:00; 0,939
26.12.1995 21:15:00; 0,786
08.01.1996 14:30:00;  1,02
02.02.1996 01:00:00;  1,20
25.03.1996 20:45:00;  4,64
07.04.1996 19:45:00;  8,19
13.05.1996 09:15:00;  5,28
22.06.1996 12:00:00;  9,14
02.07.1996 19:45:00;  5,07
30.08.1996 20:45:00;  22,8
23.09.1996 14:45:00;  7,27
17.10.1996 00:00:00;  7,62
18.11.1996 15:30:00;  4,44
02.12.1996 11:00:00;  1,10
10.01.1997 19:29:30; 0,826
13.02.1997 02:36:30;  1,31
17.03.1997 19:53:00;  1,08
06.04.1997 15:38:50; 0,828
24.05.1997 18:57:15;  1,52
16.06.1997 22:57:40;  25,0
10.07.1997 17:35:05;  23,1
08.08.1997 15:52:50;  10,5
07.09.1997 15:13:10;  42,6
01.10.1997 09:06:25;  1,40
08.11.1997 08:25:20;  2,90
20.12.1997 17:33:55;  4,10
15.01.1998 12:47:40;  1,07
17.02.1998 15:02:55; 0,557
17.03.1998 17:21:35; 0,808
29.04.1998 20:41:30;  3,68
01.05.1998 05:05:15;  1,24
30.06.1998 17:43:05;  10,5
27.07.1998 18:40:50;  12,7
01.08.1998 07:10:50;  4,11
05.09.1998 20:40:25;  14,2
07.10.1998 21:35:25;  10,3
05.11.1998 09:46:05;  2,42
16.12.1998 03:28:30;  1,31
01.01.1999 02:14:20; 0,841
15.02.1999 19:13:05; 0,865
06.03.1999 19:22:50; 0,906
23.04.1999 15:58:35;  4,95
29.05.1999 16:40:35;  10,6
16.06.1999 12:22:10;  10,6
10.07.1999 22:44:10;  13,1
16.08.1999 22:22:15;  22,7
07.09.1999 14:02:45;  16,7
04.10.1999 08:34:40;  3,03
09.11.1999 22:41:05; 0,916
11.12.1999 02:57:15;  1,39
31.01.2000 22:00:25;  2,89
01.02.2000 01:35:45;  2,88
29.03.2000 20:54:30;  16,2
01.04.2000 00:00:00;  4,93
04.05.2000 17:18:40;  5,20
06.06.2000 17:41:05;  13,6
07.07.2000 20:56:20;  2,40
06.08.2000 03:36:20;  9,35
16.09.2000 20:17:50;  4,61
01.10.2000 19:25:50;  10,5
07.11.2000 06:47:00;  7,88
28.12.2000 07:13:10;  4,13
