Messstelle:                ;Himmelberg
HZB-Nummer:                ;213462
HD-Nummer:                 ;00817
DBMS-Nummer:               ;2002200
Gewässer:                  ;Tiebel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;38,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   31.12.1988              ;00651,57
   01.07.1991              ;00652,57
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2005              ;504388,00 - 178664,00
   04.08.2015              ;504388,00 - 178664,00
Exportzeitreihe:           ;(2002200,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1989 00:01:10,01.01.2022 00:00]
Werte:
10.01.1989 13:54:20; 0,784
24.02.1989 12:47:40;  1,58
24.03.1989 07:37:35;  1,60
13.04.1989 20:04:15;  2,59
08.05.1989 09:21:05;  1,75
08.06.1989 09:33:40;  2,16
12.07.1989 00:23:20;  4,18
08.08.1989 19:43:45;  3,79
03.09.1989 06:31:00;  3,26
13.10.1989 10:50:15;  1,77
06.11.1989 07:06:55;  2,40
22.12.1989 12:26:05;  1,40
29.01.1990 13:05:35; 0,809
13.02.1990 17:25:40;  1,05
31.03.1990 07:29:45;  1,55
04.04.1990 18:03:00;  1,83
16.05.1990 18:10:05;  1,78
08.06.1990 22:55:20;  2,13
23.07.1990 20:18:15;  3,28
07.08.1990 11:27:50;  1,86
24.09.1990 18:24:55;  1,92
27.10.1990 13:55:55;  2,75
01.11.1990 21:14:45;  3,04
10.12.1990 04:30:00;  2,77
01.01.1991 00:00:05;  1,19
28.02.1991 13:20:30;  1,21
25.03.1991 23:00:10;  2,47
05.04.1991 13:43:35;  2,04
11.05.1991 01:55:10;  3,90
28.06.1991 01:11:15;  2,21
01.07.1991 00:00:00;  7,89
12.08.1991 17:59:05;  4,72
30.09.1991 13:19:20;  2,00
22.10.1991 11:40:40;  2,53
14.11.1991 12:54:15;  2,32
05.12.1991 12:12:20;  1,70
09.01.1992 12:05:20;  1,56
14.02.1992 13:06:10;  1,00
24.03.1992 15:41:30;  2,84
29.04.1992 09:17:30;  2,63
