Messstelle:                ;Gopprechts (Brücke)
HZB-Nummer:                ;214338
HD-Nummer:                 ;no869
DBMS-Nummer:               ;3003136
Gewässer:                  ;Reißbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;102,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   05.10.2011              ;00498,31
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   03.10.2011              ;654852,00 - 418088,00
Exportzeitreihe:           ;(3003136,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[08.10.2011 00:00,01.01.2022 00:00]
Werte:
13.10.2011 07:25:00;  1,54
04.11.2011 04:25:00; 0,682
24.12.2011 19:40:00; 0,331
25.01.2012 18:25:00;  3,13
29.02.2012 20:35:00;  4,31
01.03.2012 00:00:00;  4,22
16.04.2012 23:20:00;  1,37
04.05.2012 01:25:00; 0,751
10.06.2012 02:55:00;  1,77
06.07.2012 18:20:00;  5,12
07.08.2012 06:10:00;  4,75
13.09.2012 07:45:00;  2,11
08.10.2012 00:15:00;  1,38
05.11.2012 16:50:00; 0,898
24.12.2012 20:40:00;  2,89
07.01.2013 14:20:00;  5,33
05.02.2013 18:50:00;  4,70
20.03.2013 01:00:00;  2,56
13.04.2013 14:35:00;  2,76
05.05.2013 04:35:00;  5,13
25.06.2013 14:00:00;  11,0
03.07.2013 22:35:00;  9,53
01.08.2013 00:40:00; 0,618
29.09.2013 20:25:00; 0,882
01.10.2013 00:35:00; 0,838
01.11.2013 20:35:00; 0,519
10.12.2013 18:15:00; 0,572
21.01.2014 22:40:00; 0,585
11.02.2014 21:25:00; 0,451
24.03.2014 20:10:00;  1,24
01.04.2014 00:45:00; 0,205
24.05.2014 11:15:00;  4,01
01.06.2014 00:00:00;  2,01
27.07.2014 19:25:00; 0,680
05.08.2014 22:00:00; 0,941
14.09.2014 23:30:00;  2,58
03.10.2014 21:30:00;  2,53
21.11.2014 02:35:00;  2,21
07.12.2014 18:24:50; 0,626
10.01.2015 20:40:00;  4,89
01.02.2015 00:30:00;  1,65
14.03.2015 02:40:40;  1,15
01.04.2015 23:35:15; 0,899
24.05.2015 17:49:40; 0,546
09.06.2015 04:35:50; 0,287
09.07.2015 05:46:00; 0,141
18.08.2015 09:04:25; 0,968
18.09.2015 14:45:00; 0,428
17.10.2015 10:40:00; 0,589
21.11.2015 05:45:00;  1,67
02.12.2015 20:05:00;  4,48
29.01.2016 11:40:00;  1,73
29.02.2016 23:50:00;  1,79
05.03.2016 01:35:00;  3,24
09.04.2016 09:35:00; 0,564
06.05.2016 02:07:10; 0,544
03.06.2016 17:14:20; 0,587
22.07.2016 22:40:05;  2,70
01.08.2016 19:35:00; 0,815
24.09.2016 17:15:00;  1,19
07.10.2016 01:25:00;  1,07
18.11.2016 05:40:00; 0,335
29.12.2016 02:15:00; 0,850
01.01.2017 01:30:00; 0,454
22.02.2017 06:20:00;  2,07
19.03.2017 16:15:00;  4,23
29.04.2017 01:55:00;  3,10
01.05.2017 00:05:00;  1,76
01.06.2017 00:00:00; 0,322
27.07.2017 18:30:00;  1,10
12.08.2017 13:40:45; 0,189
30.09.2017 18:50:00;  1,49
01.10.2017 00:40:00;  1,49
22.11.2017 05:35:00; 0,382
31.12.2017 17:55:00; 0,545
05.01.2018 12:45:00; 0,629
18.02.2018 09:25:00; 0,518
26.03.2018 20:35:00;  1,24
21.04.2018 10:45:00; 0,364
04.05.2018 02:25:00; 0,377
13.06.2018 07:15:00;  1,76
16.07.2018 13:50:00; 0,244
26.08.2018 06:15:00; 0,126
18.09.2018 02:30:00; 0,723
28.10.2018 11:35:00; 0,351
27.11.2018 05:55:00; 0,303
24.12.2018 17:40:00;  1,16
14.01.2019 16:35:00;  1,61
22.02.2019 20:20:30;  2,65
07.03.2019 15:55:00;  2,83
01.04.2019 00:05:00;  1,12
29.05.2019 21:40:00;  1,72
01.06.2019 00:05:00;  1,45
02.07.2019 07:50:00; 0,119
13.08.2019 09:15:00; 0,107
30.09.2019 23:50:00; 0,649
10.10.2019 05:05:00;  1,11
01.11.2019 00:00:00; 0,207
22.12.2019 03:45:00; 0,265
01.01.2020 11:30:00; 0,139
25.02.2020 02:40:00; 0,950
05.03.2020 01:20:00; 0,837
19.04.2020 08:40:00; 0,133
24.05.2020 01:50:00; 0,440
29.06.2020 22:35:00;  3,37
01.07.2020 00:25:00;  3,11
04.08.2020 13:00:00;  4,14
26.09.2020 18:20:00;  2,61
14.10.2020 22:45:00;  3,67
07.11.2020 02:15:00;  2,42
02.12.2020 17:30:00; 0,872
30.01.2021 17:10:00;  2,14
04.02.2021 18:15:00;  3,54
01.03.2021 00:30:00;  2,11
08.04.2021 10:05:00; 0,614
14.05.2021 14:50:00;  3,47
26.06.2021 08:05:00;  2,62
01.07.2021 05:50:00; 0,946
05.08.2021 23:05:00;  2,08
17.09.2021 06:05:00;  1,03
13.10.2021 06:05:00;  1,02
09.11.2021 02:35:00; 0,803
31.12.2021 00:25:00;  1,57
01.01.2022 00:00:00;  1,40
