Messstelle:                ;Urschendorf (Schlosspark)
HZB-Nummer:                ;215558
HD-Nummer:                 ;no769
DBMS-Nummer:               ;3003191
Gewässer:                  ;Johannesbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   12.12.2016              ;00342,41
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.12.2016              ;732344,00 - 293807,00
Exportzeitreihe:           ;(3003191,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.2017 00:00:05,01.01.2022 00:00]
Werte:
06.01.2017 00:22:50; 0,107
06.02.2017 08:54:00; 0,457
19.03.2017 08:16:55; 0,670
22.04.2017 23:19:35; 0,372
21.05.2017 06:25:15; 0,638
25.06.2017 15:08:40; 0,587
22.07.2017 16:22:20; 0,663
10.08.2017 20:36:40; 0,355
01.09.2017 16:49:00; 0,285
23.10.2017 14:59:00; 0,615
12.11.2017 10:38:50; 0,151
05.12.2017 19:02:50; 0,109
05.01.2018 09:59:30; 0,094
25.02.2018 14:17:30; 0,045
31.03.2018 23:59:55; 0,545
01.04.2018 00:43:00; 0,687
12.05.2018 11:30:05; 0,852
01.06.2018 12:06:55;  2,37
23.07.2018 10:06:15; 0,605
24.08.2018 12:44:30; 0,754
01.09.2018 06:37:40;  1,02
24.10.2018 16:40:40; 0,438
26.11.2018 13:20:00; 0,517
24.12.2018 10:00:00;  1,62
14.01.2019 06:05:00; 0,457
15.02.2019 13:55:00; 0,631
02.03.2019 18:05:00; 0,191
30.04.2019 20:00:00; 0,786
11.05.2019 20:55:00;  1,08
23.06.2019 13:00:00; 0,410
28.07.2019 22:20:00; 0,485
13.08.2019 00:00:00;  1,71
09.09.2019 01:15:00; 0,967
02.10.2019 19:50:00; 0,081
13.11.2019 15:15:00; 0,397
23.12.2019 12:30:00; 0,388
05.01.2020 03:45:00; 0,090
24.02.2020 08:30:00; 0,462
06.03.2020 10:35:00; 0,284
27.04.2020 15:00:00; 0,222
23.05.2020 22:00:00; 0,407
27.06.2020 13:15:00; 0,472
02.07.2020 18:50:00;  1,95
14.08.2020 18:20:00; 0,740
23.09.2020 16:20:00; 0,849
12.10.2020 00:50:00; 0,588
02.11.2020 18:15:00; 0,107
10.12.2020 01:55:00; 0,089
29.01.2021 04:30:00; 0,714
09.02.2021 14:35:00; 0,323
17.03.2021 18:40:00; 0,088
22.04.2021 14:30:00; 0,205
12.05.2021 09:40:00; 0,231
06.06.2021 07:00:00; 0,303
31.07.2021 23:05:25;  1,53
01.08.2021 00:12:35;  1,64
17.09.2021 01:50:00; 0,370
07.10.2021 08:50:00; 0,286
02.11.2021 05:20:00; 0,261
29.12.2021 17:50:00; 0,138
