Messstelle:                ;Steeg
HZB-Nummer:                ;201012
HD-Nummer:                 ;
DBMS-Nummer:               ;7001001
Gewässer:                  ;Lech
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;247,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   06.08.1910              ;01112,84
   11.03.1940              ;01111,84
   19.09.1951              ;01111,81
   01.10.1989              ;01109,29
   10.09.2008              ;01109,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1897              ;147041,00 - 233677,00
   01.10.1989              ;147008,00 - 233669,00
Exportzeitreihe:           ;(7001001,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.01.1951 12:00,01.01.2022 00:00]
Werte:
23.01.1951 12:00:00;  1,25
25.02.1951 12:00:00;  1,76
15.03.1951 12:00:00;  1,94
17.04.1951 12:00:00;  1,76
17.05.1951 12:00:00;  10,4
30.06.1951 12:00:00;  19,5
22.07.1951 12:00:00;  11,1
31.08.1951 12:00:00;  4,84
26.09.1951 12:00:00;  3,62
31.10.1951 12:00:00;  2,04
05.11.1951 12:00:00;  2,04
31.12.1951 12:00:00;  2,60
20.01.1952 12:00:00;  2,04
21.02.1952 12:00:00; 0,650
15.03.1952 12:00:00;  2,15
07.04.1952 12:00:00;  4,84
26.05.1952 12:00:00;  13,3
30.06.1952 12:00:00;  15,1
27.07.1952 12:00:00;  5,10
16.08.1952 12:00:00;  5,10
05.09.1952 12:00:00;  8,34
13.10.1952 12:00:00;  7,40
25.11.1952 12:00:00;  4,32
24.12.1952 12:00:00;  3,26
29.01.1953 12:00:00;  1,60
22.02.1953 12:00:00;  1,60
16.03.1953 12:00:00;  1,93
17.04.1953 12:00:00;  7,40
11.05.1953 12:00:00;  9,02
03.06.1953 12:00:00;  14,7
28.07.1953 12:00:00;  12,6
21.08.1953 12:00:00;  6,22
25.09.1953 12:00:00;  3,62
29.10.1953 12:00:00;  2,60
30.11.1953 12:00:00;  1,82
27.12.1953 12:00:00;  1,60
31.01.1954 12:00:00;  1,82
26.02.1954 12:00:00;  1,42
07.03.1954 12:00:00;  1,51
22.04.1954 12:00:00;  4,06
08.05.1954 12:00:00;  7,10
02.06.1954 12:00:00;  20,5
31.07.1954 12:00:00;  10,8
03.08.1954 12:00:00;  8,68
15.09.1954 12:00:00;  7,40
25.10.1954 12:00:00;  5,94
30.11.1954 12:00:00;  3,80
31.12.1954 12:00:00;  3,08
10.01.1955 12:00:00;  2,60
26.02.1955 12:00:00;  2,45
05.03.1955 12:00:00;  2,15
19.04.1955 12:00:00;  4,06
23.05.1955 12:00:00;  11,5
03.06.1955 12:00:00;  21,3
28.07.1955 12:00:00;  18,5
30.08.1955 12:00:00;  9,02
30.09.1955 12:00:00;  5,66
21.10.1955 12:00:00;  4,06
30.11.1955 12:00:00;  2,75
28.12.1955 12:00:00;  2,15
25.01.1956 12:00:00;  1,93
26.02.1956 12:00:00;  1,60
02.03.1956 12:00:00;  1,82
09.04.1956 12:00:00;  4,32
03.05.1956 12:00:00;  8,34
10.06.1956 12:00:00;  17,7
27.07.1956 12:00:00;  16,9
18.08.1956 12:00:00;  11,1
27.09.1956 12:00:00;  6,80
03.10.1956 12:00:00;  5,94
30.11.1956 12:00:00;  3,44
24.12.1956 12:00:00;  3,08
04.01.1957 12:00:00;  2,75
21.02.1957 12:00:00;  2,45
04.03.1957 12:00:00;  3,44
16.04.1957 12:00:00;  5,38
09.05.1957 12:00:00;  9,02
