Messstelle:                ;Muhr
HZB-Nummer:                ;203745
HD-Nummer:                 ;
DBMS-Nummer:               ;5001069
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;75,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01137,50
   01.01.1992              ;01119,67
   10.04.2008              ;01119,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.11.1950              ;460735,00 - 218670,00
   01.01.1992              ;461780,00 - 218210,00
   10.04.2010              ;461742,00 - 218224,70
Exportzeitreihe:           ;(5001069,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1961 12:00,01.01.2022 00:00]
Werte:
22.01.1961 12:00:00; 0,350
17.02.1961 12:00:00; 0,720
04.03.1961 12:00:00; 0,880
04.04.1961 12:00:00; 0,810
19.05.1961 12:00:00;  1,43
05.06.1961 12:00:00;  4,84
08.07.1961 12:00:00;  1,31
31.08.1961 12:00:00;  2,25
28.09.1961 12:00:00; 0,810
28.10.1961 12:00:00; 0,720
26.11.1961 12:00:00; 0,400
03.12.1961 12:00:00; 0,300
31.01.1962 12:00:00; 0,810
25.02.1962 12:00:00; 0,270
25.03.1962 12:00:00; 0,350
01.04.1962 12:00:00; 0,400
04.05.1962 12:00:00;  1,90
13.06.1962 12:00:00;  3,60
05.07.1962 12:00:00;  3,36
31.08.1962 12:00:00;  2,42
26.09.1962 12:00:00; 0,950
30.10.1962 12:00:00; 0,950
02.11.1962 12:00:00; 0,950
25.12.1962 12:00:00; 0,320
27.01.1963 12:00:00; 0,350
24.02.1963 12:00:00; 0,320
03.03.1963 12:00:00; 0,350
16.04.1963 12:00:00; 0,810
01.05.1963 12:00:00;  1,19
20.06.1963 12:00:00;  2,25
26.07.1963 12:00:00;  2,66
18.08.1963 12:00:00;  1,43
23.09.1963 12:00:00;  1,31
31.10.1963 12:00:00;  1,31
02.11.1963 12:00:00;  1,19
20.12.1963 12:00:00; 0,600
30.01.1964 12:00:00; 0,720
24.02.1964 12:00:00; 0,550
31.03.1964 12:00:00; 0,600
01.04.1964 12:00:00; 0,670
04.05.1964 12:00:00;  2,42
25.06.1964 12:00:00;  2,66
30.07.1964 12:00:00;  1,55
02.08.1964 12:00:00;  1,55
17.09.1964 12:00:00; 0,950
31.10.1964 12:00:00; 0,600
01.11.1964 12:00:00; 0,810
30.12.1964 12:00:00; 0,670
14.01.1965 12:00:00; 0,600
26.02.1965 12:00:00; 0,670
06.03.1965 12:00:00; 0,670
16.04.1965 12:00:00; 0,450
01.05.1965 12:00:00; 0,670
02.06.1965 12:00:00;  5,07
12.07.1965 12:00:00;  5,42
20.08.1965 12:00:00;  3,58
10.09.1965 12:00:00;  1,54
09.10.1965 12:00:00; 0,880
21.11.1965 12:00:00; 0,980
