Messstelle:                ;St. Michael im Lungau
HZB-Nummer:                ;203752
HD-Nummer:                 ;
DBMS-Nummer:               ;5001070
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;289,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01041,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1881              ;473080,00 - 217160,00
Exportzeitreihe:           ;(5001070,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1961 12:00,01.01.2022 00:00]
Werte:
31.01.1961 12:00:00;  3,30
16.02.1961 12:00:00;  3,00
06.03.1961 12:00:00;  3,94
04.04.1961 12:00:00;  5,87
25.05.1961 12:00:00;  9,40
05.06.1961 12:00:00;  12,2
28.07.1961 12:00:00;  8,30
31.08.1961 12:00:00;  6,82
30.09.1961 12:00:00;  3,94
23.10.1961 12:00:00;  3,15
27.11.1961 12:00:00;  3,15
10.12.1961 12:00:00;  2,28
31.01.1962 12:00:00;  2,28
03.02.1962 12:00:00;  2,28
17.03.1962 12:00:00;  2,28
14.04.1962 12:00:00;  2,85
04.05.1962 12:00:00;  7,42
09.06.1962 12:00:00;  14,3
05.07.1962 12:00:00;  14,3
31.08.1962 12:00:00;  8,92
30.09.1962 12:00:00;  4,24
30.10.1962 12:00:00;  2,79
30.11.1962 12:00:00;  2,33
30.12.1962 12:00:00;  1,98
23.01.1963 12:00:00;  1,87
28.02.1963 12:00:00;  1,52
02.03.1963 12:00:00;  1,52
06.04.1963 12:00:00;  2,10
08.05.1963 12:00:00;  6,42
18.06.1963 12:00:00;  8,50
31.07.1963 12:00:00;  6,63
13.08.1963 12:00:00;  5,49
30.09.1963 12:00:00;  5,30
31.10.1963 12:00:00;  3,94
01.11.1963 12:00:00;  3,94
20.12.1963 12:00:00;  3,30
31.01.1964 12:00:00;  2,62
24.02.1964 12:00:00;  2,00
11.03.1964 12:00:00;  2,39
01.04.1964 12:00:00;  2,74
03.05.1964 12:00:00;  7,20
27.06.1964 12:00:00;  6,84
31.07.1964 12:00:00;  6,25
01.08.1964 12:00:00;  6,25
29.09.1964 12:00:00;  4,62
08.10.1964 12:00:00;  3,94
14.11.1964 12:00:00;  4,96
31.12.1964 12:00:00;  4,11
29.01.1965 12:00:00;  2,85
28.02.1965 12:00:00;  2,51
05.03.1965 12:00:00;  2,19
30.04.1965 12:00:00;  4,11
01.05.1965 12:00:00;  4,11
03.06.1965 12:00:00;  18,4
29.07.1965 12:00:00;  14,7
20.08.1965 12:00:00;  10,3
26.09.1965 12:00:00;  8,96
25.10.1965 12:00:00;  4,45
30.11.1965 12:00:00;  3,30
31.12.1965 12:00:00;  2,74
31.01.1966 12:00:00;  2,39
05.02.1966 12:00:00;  2,39
30.03.1966 12:00:00;  2,62
02.04.1966 12:00:00;  2,51
31.05.1966 12:00:00;  9,40
03.06.1966 12:00:00;  8,74
11.07.1966 12:00:00;  10,1
03.08.1966 12:00:00;  10,1
30.09.1966 12:00:00;  6,06
31.10.1966 12:00:00;  3,60
03.11.1966 12:00:00;  4,28
28.12.1966 12:00:00;  4,62
11.01.1967 12:00:00;  4,32
16.02.1967 12:00:00;  3,86
04.03.1967 12:00:00;  4,32
08.04.1967 12:00:00;  4,80
01.05.1967 12:00:00;  8,48
17.06.1967 12:00:00;  14,5
31.07.1967 12:00:00;  11,4
31.08.1967 12:00:00;  7,47
03.09.1967 12:00:00;  7,26
31.10.1967 12:00:00;  5,17
30.11.1967 12:00:00;  4,62
27.12.1967 12:00:00;  3,71
31.01.1968 12:00:00;  3,86
22.02.1968 12:00:00;  3,10
11.03.1968 12:00:00;  2,86
17.04.1968 12:00:00;  6,45
01.05.1968 12:00:00;  8,48
12.06.1968 12:00:00;  11,6
14.07.1968 12:00:00;  8,48
30.08.1968 12:00:00;  8,48
29.09.1968 12:00:00;  6,45
31.10.1968 12:00:00;  5,54
24.11.1968 12:00:00;  4,62
26.12.1968 12:00:00;  3,10
31.01.1969 12:00:00;  2,00
18.02.1969 12:00:00;  1,82
31.03.1969 12:00:00;  1,91
01.04.1969 12:00:00;  1,91
23.05.1969 12:00:00;  10,5
06.06.1969 12:00:00;  8,48
29.07.1969 12:00:00;  6,86
13.08.1969 12:00:00;  5,54
30.09.1969 12:00:00;  4,99
31.10.1969 12:00:00;  3,86
29.11.1969 12:00:00;  3,10
22.12.1969 12:00:00;  2,98
23.01.1970 12:00:00;  2,10
28.02.1970 12:00:00;  2,19
02.03.1970 12:00:00;  2,00
07.04.1970 12:00:00;  2,19
04.05.1970 12:00:00;  4,28
01.06.1970 12:00:00;  11,7
19.07.1970 12:00:00;  11,2
31.08.1970 12:00:00;  10,5
30.09.1970 12:00:00;  5,87
29.10.1970 12:00:00;  4,96
29.11.1970 12:00:00;  4,28
31.12.1970 12:00:00;  2,28
19.01.1971 12:00:00;  2,19
03.02.1971 12:00:00;  2,28
17.03.1971 12:00:00;  2,28
01.04.1971 12:00:00;  2,51
01.05.1971 12:00:00;  5,68
19.06.1971 12:00:00;  5,30
29.07.1971 12:00:00;  4,11
22.08.1971 12:00:00;  4,11
19.09.1971 12:00:00;  3,45
31.10.1971 12:00:00;  2,85
25.11.1971 12:00:00;  2,39
31.12.1971 12:00:00;  2,51
21.01.1972 12:00:00;  1,91
19.02.1972 12:00:00;  2,19
15.03.1972 12:00:00;  2,39
19.04.1972 12:00:00;  3,77
01.05.1972 12:00:00;  5,87
04.06.1972 12:00:00;  14,2
31.07.1972 12:00:00;  8,74
18.08.1972 12:00:00;  2,85
30.09.1972 12:00:00;  1,11
08.10.1972 12:00:00;  1,07
30.11.1972 12:00:00;  1,11
31.12.1972 12:00:00; 0,980
27.01.1973 12:00:00; 0,980
19.02.1973 12:00:00; 0,980
01.03.1973 12:00:00;  1,48
23.04.1973 12:00:00;  1,37
01.05.1973 12:00:00;  5,87
17.06.1973 12:00:00;  17,8
31.07.1973 12:00:00;  6,56
21.08.1973 12:00:00;  3,38
17.09.1973 12:00:00;  3,38
28.10.1973 12:00:00;  4,99
30.11.1973 12:00:00;  3,03
28.12.1973 12:00:00;  1,80
05.01.1974 12:00:00;  2,15
25.02.1974 12:00:00;  2,50
14.03.1974 12:00:00;  2,50
28.04.1974 12:00:00;  4,99
01.05.1974 12:00:00;  6,80
14.06.1974 12:00:00;  12,0
22.07.1974 12:00:00;  12,3
25.08.1974 12:00:00;  6,08
19.09.1974 12:00:00;  4,78
29.10.1974 12:00:00;  3,55
25.11.1974 12:00:00;  2,50
25.12.1974 12:00:00;  1,80
29.01.1975 12:00:00;  2,15
24.02.1975 12:00:00;  1,04
01.03.1975 12:00:00;  1,56
04.04.1975 12:00:00;  2,33
02.05.1975 12:00:00;  13,5
10.06.1975 12:00:00;  14,6
30.07.1975 12:00:00;  16,1
22.08.1975 12:00:00;  8,40
30.09.1975 12:00:00;  5,00
24.10.1975 12:00:00;  3,08
25.11.1975 12:00:00;  1,60
20.12.1975 12:00:00;  1,35
05.01.1976 08:00:00;  1,59
09.02.1976 08:00:00;  1,11
22.03.1976 08:00:00;  1,11
01.04.1976 00:00:00;  2,03
02.05.1976 08:00:00;  3,66
28.06.1976 08:00:00;  9,20
16.07.1976 08:00:00;  4,73
18.08.1976 08:00:00;  6,41
01.09.1976 00:00:00;  6,41
29.10.1976 08:00:00;  3,66
24.11.1976 08:00:00;  3,45
31.12.1976 10:00:00;  2,28
19.01.1977 08:00:00;  1,41
03.02.1977 08:00:00;  1,33
01.03.1977 10:00:00;  1,63
18.04.1977 08:00:00;  2,39
10.05.1977 08:00:00;  9,98
30.06.1977 08:00:00;  9,98
30.07.1977 08:00:00;  6,71
18.08.1977 08:00:00;  4,49
30.09.1977 02:00:00;  4,29
29.10.1977 02:00:00;  2,56
24.11.1977 08:00:00;  1,91
21.12.1977 10:00:00;  1,41
12.01.1978 08:00:00;  1,18
05.02.1978 08:00:00;  1,18
01.03.1978 00:00:00;  1,69
09.04.1978 08:00:00;  2,42
16.05.1978 08:00:00;  6,41
30.06.1978 08:00:00;  8,90
01.07.1978 00:00:00;  8,90
22.08.1978 08:00:00;  4,30
04.09.1978 08:00:00;  4,51
28.10.1978 08:00:00;  4,30
27.11.1978 08:00:00;  2,03
02.12.1978 08:00:00;  1,41
03.01.1979 08:00:00;  1,33
28.02.1979 23:59:55;  1,04
02.03.1979 10:00:00; 0,984
02.04.1979 08:00:00;  1,91
06.05.1979 08:00:00;  2,73
11.06.1979 08:00:00;  14,6
26.07.1979 08:00:00;  6,96
24.08.1979 08:00:00;  4,29
18.09.1979 08:00:00;  2,93
27.10.1979 10:00:00;  3,88
24.11.1979 08:00:00;  2,42
31.12.1979 08:00:00;  2,28
14.01.1980 08:00:00;  1,50
21.02.1980 08:00:00;  1,50
05.03.1980 08:00:00;  1,59
12.04.1980 08:00:00;  2,15
01.05.1980 00:00:00;  2,74
03.06.1980 08:00:00;  9,10
24.07.1980 08:00:00;  14,3
26.08.1980 08:00:00;  3,55
30.09.1980 08:00:00;  2,74
07.10.1980 08:00:00;  2,08
30.11.1980 08:00:00;  2,56
11.12.1980 10:00:00;  1,94
30.01.1981 08:00:00;  1,43
26.02.1981 08:00:00;  1,13
08.03.1981 08:00:00; 0,953
29.04.1981 08:00:00;  5,11
07.05.1981 08:00:00;  3,91
23.06.1981 08:00:00;  8,90
17.07.1981 08:00:00;  7,20
15.08.1981 08:00:00;  5,54
23.09.1981 08:00:00;  4,90
15.10.1981 08:00:00;  3,55
18.11.1981 08:00:00;  4,09
27.12.1981 08:00:00;  2,03
22.01.1982 08:00:00;  1,69
22.02.1982 08:00:00;  1,25
15.03.1982 08:00:00;  1,50
23.04.1982 08:00:00;  2,73
02.05.1982 08:00:00;  2,42
16.06.1982 08:00:00;  12,8
20.07.1982 10:00:00;  7,20
12.08.1982 08:00:00;  5,42
30.09.1982 08:00:00;  3,25
01.10.1982 00:00:00;  3,25
23.11.1982 08:00:00;  3,07
31.12.1982 08:00:00;  2,15
22.01.1983 02:00:00;  2,16
23.02.1983 05:00:00;  1,53
07.03.1983 10:00:00;  1,93
06.04.1983 07:30:00;  2,23
06.05.1983 10:00:00;  8,58
19.06.1983 14:00:00;  11,1
29.07.1983 03:00:00;  5,33
29.08.1983 11:30:00;  4,60
30.09.1983 23:00:00;  4,71
29.10.1983 08:00:00;  3,45
23.11.1983 08:30:00;  1,91
09.12.1983 08:00:00;  1,69
12.01.1984 08:30:00;  1,58
13.02.1984 07:00:00;  1,25
12.03.1984 07:00:00;  1,47
05.04.1984 10:00:00;  2,09
01.05.1984 13:30:00;  3,13
13.06.1984 10:30:00;  12,8
19.07.1984 12:30:00;  8,18
31.08.1984 10:00:00;  6,28
16.09.1984 02:00:00;  5,19
31.10.1984 23:59:55;  4,52
28.11.1984 07:00:00;  2,08
24.12.1984 03:30:00;  1,43
30.01.1985 08:45:00;  1,16
19.02.1985 07:00:00; 0,943
05.03.1985 03:45:00;  1,34
02.04.1985 07:45:00;  1,74
06.05.1985 13:45:00;  2,99
19.06.1985 10:30:00;  8,99
31.07.1985 03:30:00;  4,56
02.08.1985 07:45:00;  4,84
27.09.1985 06:45:00;  3,00
28.10.1985 15:15:00;  2,10
28.11.1985 10:15:00;  1,47
25.12.1985 11:30:00;  1,49
27.01.1986 04:30:00;  1,32
26.02.1986 06:45:00;  1,02
03.03.1986 00:45:00;  1,49
01.04.1986 12:30:00;  2,39
10.05.1986 08:45:00;  12,8
10.06.1986 03:00:00;  7,28
21.07.1986 09:00:00;  3,25
10.08.1986 13:00:00;  2,73
30.09.1986 19:15:00;  2,42
13.10.1986 16:15:00;  1,94
30.11.1986 14:45:00;  1,54
16.12.1986 12:00:00;  1,08
08.01.1987 08:15:00;  1,05
25.02.1987 06:45:00; 0,993
22.03.1987 08:15:00; 0,884
02.04.1987 14:15:00;  1,68
24.05.1987 10:15:00;  6,41
01.06.1987 00:15:00;  15,0
28.07.1987 18:15:00;  8,03
22.08.1987 18:15:00;  5,66
26.09.1987 22:15:00;  3,66
08.10.1987 17:30:00;  3,09
16.11.1987 10:00:00;  2,28
14.12.1987 00:00:00;  1,51
09.01.1988 12:30:00;  2,32
14.02.1988 07:45:00;  2,00
13.03.1988 10:45:00;  1,33
05.04.1988 11:45:00;  1,89
01.05.1988 10:00:00;  7,07
25.06.1988 17:00:00;  8,61
27.07.1988 06:00:00;  6,41
20.08.1988 09:30:00;  4,09
11.09.1988 22:00:00;  4,65
28.10.1988 21:00:00;  3,00
23.11.1988 05:15:00;  2,12
16.12.1988 05:00:00;  1,73
25.01.1989 07:15:00;  1,63
12.02.1989 06:15:00;  1,68
23.03.1989 19:30:00;  1,95
25.04.1989 12:00:00;  3,27
01.05.1989 17:00:00;  3,88
09.06.1989 03:45:00;  7,99
24.07.1989 18:15:00;  7,75
31.08.1989 03:00:00;  4,96
27.09.1989 11:30:00;  3,07
26.10.1989 15:15:00;  2,52
26.11.1989 10:00:00;  2,00
28.12.1989 09:00:00;  1,54
08.01.1990 07:45:00;  1,09
06.02.1990 08:30:00;  1,35
02.03.1990 20:45:00;  2,00
29.04.1990 18:45:00;  2,60
01.05.1990 08:15:00;  3,46
01.06.1990 06:30:00;  6,02
29.07.1990 19:15:00;  4,30
05.08.1990 19:45:00;  3,88
11.09.1990 18:45:00;  3,94
31.10.1990 09:00:00;  2,84
07.11.1990 08:00:00;  2,68
26.12.1990 01:00:00;  2,39
16.01.1991 12:30:00;  1,44
04.02.1991 13:00:00;  1,29
02.03.1991 02:15:00;  1,95
25.04.1991 13:00:00;  2,53
01.05.1991 09:45:00;  3,00
01.06.1991 05:00:00;  9,45
12.07.1991 16:45:00;  6,83
27.08.1991 10:15:00;  3,25
20.09.1991 05:30:00;  2,19
31.10.1991 05:45:00;  2,19
28.11.1991 09:00:00;  1,84
15.12.1991 04:45:00;  1,21
12.01.1992 03:15:00;  1,88
06.02.1992 15:30:00;  1,63
19.03.1992 20:45:00;  2,06
03.04.1992 10:00:00;  2,45
01.05.1992 11:30:00;  8,32
29.06.1992 03:00:00;  5,60
31.07.1992 04:30:00;  3,27
26.08.1992 05:00:00;  2,32
26.09.1992 16:30:00;  1,95
01.10.1992 00:00:00;  2,60
19.11.1992 08:00:00;  2,60
26.12.1992 10:30:00;  1,73
02.01.1993 08:30:00;  1,54
01.02.1993 08:45:00;  1,63
03.03.1993 04:30:00;  1,95
02.04.1993 15:45:00;  2,39
07.05.1993 05:15:00;  5,60
18.06.1993 05:45:00;  4,43
10.07.1993 06:15:00;  4,21
21.08.1993 18:30:00;  3,79
27.09.1993 05:45:00;  2,67
01.10.1993 05:30:00;  2,83
19.11.1993 09:30:00;  3,49
23.12.1993 07:45:00;  2,68
31.01.1994 01:45:00;  2,39
07.02.1994 08:15:00;  2,25
05.03.1994 10:30:00;  2,25
09.04.1994 06:15:00;  2,45
11.05.1994 07:15:00;  4,65
18.06.1994 02:30:00;  4,88
31.07.1994 20:00:00;  2,52
06.08.1994 16:15:00;  2,52
05.09.1994 19:30:00;  2,25
31.10.1994 10:00:00;  2,53
27.11.1994 11:45:00;  2,06
16.12.1994 08:45:00;  1,54
09.01.1995 01:15:00;  1,35
01.02.1995 11:00:00;  1,35
08.03.1995 09:45:00;  1,44
01.04.1995 10:45:00;  1,85
22.05.1995 04:45:00;  4,96
10.06.1995 14:45:00;  8,61
26.07.1995 07:30:00;  3,66
05.08.1995 22:45:00;  2,73
30.09.1995 20:30:00;  3,45
27.10.1995 06:45:00;  2,32
21.11.1995 07:30:00;  1,88
10.12.1995 07:15:00;  1,11
22.01.1996 01:00:00; 0,984
10.02.1996 04:15:00;  1,01
11.03.1996 06:30:00;  1,17
06.04.1996 13:00:00;  1,44
05.05.1996 07:00:00;  4,43
16.06.1996 20:00:00;  2,67
21.07.1996 22:00:00;  3,00
01.08.1996 09:15:00;  2,83
01.09.1996 11:15:00;  3,27
01.10.1996 06:30:00;  5,02
14.11.1996 19:30:00;  3,66
30.12.1996 10:00:00;  1,54
20.01.1997 09:34:25;  1,82
17.02.1997 07:53:05;  1,55
01.03.1997 12:24:10;  2,22
24.04.1997 11:40:10;  2,35
01.05.1997 15:09:40;  3,53
02.06.1997 06:23:55;  4,23
04.07.1997 07:04:45;  5,99
25.08.1997 08:29:30;  3,23
28.09.1997 04:08:35;  2,38
30.10.1997 10:41:00;  2,32
05.11.1997 11:38:40;  2,14
06.12.1997 22:28:10;  1,64
26.01.1998 07:31:45;  1,45
05.02.1998 01:18:05;  1,48
10.03.1998 08:49:45;  1,83
20.04.1998 11:27:05;  2,50
27.05.1998 05:49:50;  4,17
20.06.1998 17:10:25;  4,05
