Messstelle:                ;Roßleithen (Klammstein)
HZB-Nummer:                ;206821
HD-Nummer:                 ;8460
DBMS-Nummer:               ;4001223
Gewässer:                  ;Hinterer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00590,00
   10.11.1992              ;00593,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;523065,00 - 290890,00
   01.01.2018              ;523078,07 - 290908,33
Exportzeitreihe:           ;(4001223,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
31.01.1991 23:59:55; 0,394
13.02.1991 12:15:00; 0,150
31.03.1991 23:59:55; 0,394
19.04.1991 13:00:00; 0,355
09.05.1991 12:15:00; 0,850
24.06.1991 12:30:00; 0,746
14.07.1991 10:00:00; 0,330
31.08.1991 14:00:00; 0,100
17.09.1991 13:45:00; 0,070
18.10.1991 14:45:00; 0,074
02.11.1991 18:15:00; 0,200
09.12.1991 22:45:00; 0,126
23.01.1992 00:00:05; 0,215
05.02.1992 15:30:00; 0,245
30.03.1992 08:15:00; 0,346
19.04.1992 07:15:00; 0,422
29.05.1992 12:15:00; 0,976
29.06.1992 12:30:00; 0,294
31.07.1992 22:10:00; 0,130
31.08.1992 23:59:55; 0,054
01.09.1992 05:00:00; 0,053
18.10.1992 02:00:00; 0,161
15.11.1992 19:00:00; 0,377
31.12.1992 23:59:55; 0,158
07.01.1993 10:45:00; 0,099
27.02.1993 15:00:00; 0,128
09.03.1993 18:00:00; 0,082
01.04.1993 00:00:00; 0,334
30.05.1993 12:30:00; 0,477
14.06.1993 08:30:00; 0,346
04.07.1993 13:45:00; 0,291
16.08.1993 18:45:00; 0,137
24.09.1993 11:30:00; 0,108
20.10.1993 12:30:00; 0,048
13.11.1993 10:45:00; 0,041
03.12.1993 22:15:00; 0,072
23.01.1994 12:00:00; 0,077
20.02.1994 10:52:30; 0,084
06.03.1994 08:45:00; 0,286
12.04.1994 11:45:00; 0,238
31.05.1994 12:00:00; 0,786
30.06.1994 23:59:55; 0,389
31.07.1994 23:59:55; 0,076
08.08.1994 21:00:00; 0,043
30.09.1994 23:59:55; 0,038
03.10.1994 18:30:00; 0,034
09.11.1994 16:45:00; 0,033
27.12.1994 11:15:00; 0,130
15.01.1995 08:15:00; 0,120
28.02.1995 08:15:00; 0,267
17.03.1995 00:15:00; 0,200
01.04.1995 04:30:00; 0,247
21.05.1995 01:30:00;  1,02
18.06.1995 12:15:00; 0,638
27.07.1995 19:45:00; 0,157
13.08.1995 08:30:00; 0,056
27.09.1995 16:00:00; 0,279
28.10.1995 07:52:30; 0,035
07.11.1995 07:30:00; 0,229
16.12.1995 16:15:00; 0,157
31.01.1996 23:59:55; 0,126
27.02.1996 00:00:00; 0,027
14.03.1996 09:00:00; 0,071
05.04.1996 11:24:00; 0,217
31.05.1996 10:15:00; 0,781
21.06.1996 13:00:00; 0,223
24.07.1996 21:00:00; 0,159
12.08.1996 15:15:00; 0,179
01.09.1996 08:15:00; 0,305
19.10.1996 17:00:00; 0,195
30.11.1996 23:59:55; 0,198
31.12.1996 23:59:55; 0,124
14.01.1997 21:45:00; 0,053
09.02.1997 02:30:00; 0,038
25.03.1997 18:30:00; 0,393
23.04.1997 10:30:00; 0,337
28.05.1997 17:30:00; 0,717
30.06.1997 23:59:55; 0,314
04.07.1997 10:45:00; 0,260
27.08.1997 15:30:00; 0,150
30.09.1997 21:45:00; 0,084
01.10.1997 00:00:00; 0,097
14.11.1997 04:15:00; 0,214
08.12.1997 17:00:00; 0,223
29.01.1998 18:30:00; 0,141
05.02.1998 06:15:00; 0,102
25.03.1998 21:45:00; 0,217
17.04.1998 10:30:00; 0,537
17.05.1998 20:30:00; 0,581
30.06.1998 04:45:00; 0,311
23.07.1998 20:15:00; 0,279
11.08.1998 21:00:00; 0,164
02.09.1998 02:45:00; 0,164
11.10.1998 03:30:00; 0,294
27.11.1998 03:30:00; 0,247
09.12.1998 06:45:00; 0,164
31.01.1999 23:59:55; 0,166
20.02.1999 04:45:00; 0,145
23.03.1999 15:15:00; 0,379
20.04.1999 14:00:00; 0,478
17.05.1999 13:00:00;  1,78
30.06.1999 19:53:00; 0,306
08.07.1999 00:03:00; 0,158
09.08.1999 21:00:00; 0,126
27.09.1999 04:30:00; 0,093
27.10.1999 13:15:00; 0,073
02.11.1999 14:30:00; 0,065
31.12.1999 23:59:55; 0,149
28.01.2000 10:30:00; 0,095
24.02.2000 15:00:00; 0,169
06.03.2000 07:00:00; 0,344
09.04.2000 13:15:00; 0,643
30.05.2000 14:30:00; 0,876
30.06.2000 13:30:00; 0,295
28.07.2000 03:00:00; 0,184
31.08.2000 18:45:00; 0,099
30.09.2000 23:59:55; 0,176
31.10.2000 23:59:55; 0,096
01.11.2000 05:00:00; 0,095
11.12.2000 21:45:55; 0,078
23.01.2001 09:45:00; 0,058
04.02.2001 19:00:00; 0,063
03.03.2001 03:30:00; 0,108
23.04.2001 15:00:00; 0,347
31.05.2001 06:30:00; 0,318
28.06.2001 11:45:00; 0,350
13.07.2001 14:25:00; 0,175
05.08.2001 01:30:00; 0,239
