Messstelle:                ;Singerin (Höllental)
HZB-Nummer:                ;208702
HD-Nummer:                 ;no685
DBMS-Nummer:               ;3001097
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;252,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00568,99
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;705222,00 - 292653,00
Exportzeitreihe:           ;(3001097,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[12.01.1951 12:00,01.01.2022 00:00]
Werte:
12.01.1951 12:00:00;  2,31
03.02.1951 12:00:00;  3,00
07.03.1951 12:00:00;  2,77
17.04.1951 12:00:00;  4,30
30.05.1951 12:00:00;  4,30
28.06.1951 12:00:00;  4,30
15.07.1951 12:00:00;  2,77
31.08.1951 12:00:00;  1,85
26.09.1951 12:00:00; 0,920
31.10.1951 12:00:00; 0,920
02.11.1951 12:00:00;  1,29
04.12.1951 12:00:00;  2,54
31.01.1952 12:00:00;  1,25
09.02.1952 12:00:00;  1,15
10.03.1952 12:00:00;  2,31
30.04.1952 12:00:00;  8,13
11.05.1952 12:00:00;  5,40
23.06.1952 12:00:00;  4,30
31.07.1952 12:00:00;  2,54
17.08.1952 12:00:00;  1,25
01.09.1952 12:00:00;  1,25
01.10.1952 12:00:00;  1,55
18.11.1952 12:00:00;  2,31
24.12.1952 12:00:00;  1,40
24.01.1953 12:00:00;  1,25
20.02.1953 12:00:00;  1,15
02.03.1953 12:00:00;  3,26
30.04.1953 12:00:00;  3,78
31.05.1953 12:00:00;  3,26
03.06.1953 12:00:00;  2,54
18.07.1953 12:00:00;  3,00
31.08.1953 12:00:00;  2,31
29.09.1953 12:00:00;  1,55
30.10.1953 12:00:00;  1,55
28.11.1953 12:00:00;  1,15
31.12.1953 12:00:00;  1,25
14.01.1954 12:00:00;  1,25
28.02.1954 12:00:00;  1,40
02.03.1954 12:00:00;  1,55
21.04.1954 12:00:00;  3,78
31.05.1954 12:00:00;  4,30
27.06.1954 12:00:00;  4,30
31.07.1954 12:00:00;  3,26
30.08.1954 12:00:00;  1,70
20.09.1954 12:00:00;  1,25
01.10.1954 12:00:00;  1,55
03.11.1954 12:00:00;  1,85
09.12.1954 12:00:00;  2,31
29.01.1955 12:00:00;  2,31
28.02.1955 12:00:00;  1,25
07.03.1955 12:00:00; 0,300
04.04.1955 12:00:00;  3,78
28.05.1955 12:00:00;  4,85
20.06.1955 12:00:00;  2,54
30.07.1955 12:00:00;  4,30
31.08.1955 12:00:00;  3,26
27.09.1955 12:00:00;  1,85
06.10.1955 12:00:00;  1,70
15.11.1955 12:00:00;  1,40
02.12.1955 12:00:00;  2,31
30.01.1956 12:00:00;  1,55
29.02.1956 12:00:00;  1,55
01.03.1956 12:00:00;  1,55
10.04.1956 12:00:00;  4,85
31.05.1956 12:00:00;  5,40
14.06.1956 12:00:00;  3,78
24.07.1956 12:00:00;  2,31
31.08.1956 12:00:00;  2,08
30.09.1956 12:00:00;  1,25
03.10.1956 12:00:00;  1,06
24.11.1956 12:00:00;  2,31
31.12.1956 12:00:00;  1,25
01.01.1957 12:00:00;  1,25
01.02.1957 12:00:00;  2,31
06.03.1957 12:00:00;  4,85
17.04.1957 12:00:00;  4,04
31.05.1957 12:00:00;  2,77
30.06.1957 12:00:00;  1,55
09.07.1957 12:00:00;  1,25
31.08.1957 12:00:00;  3,52
12.09.1957 12:00:00;  3,00
31.10.1957 12:00:00;  1,55
10.11.1957 12:00:00;  1,40
31.12.1957 12:00:00;  1,25
15.01.1958 12:00:00;  1,55
09.02.1958 12:00:00;  1,85
17.03.1958 12:00:00;  2,31
14.04.1958 12:00:00;  5,40
31.05.1958 12:00:00;  2,77
10.06.1958 12:00:00;  2,08
31.07.1958 12:00:00;  2,08
01.08.1958 12:00:00;  2,08
22.09.1958 12:00:00;  1,55
13.10.1958 12:00:00;  1,70
30.11.1958 12:00:00;  2,77
14.12.1958 12:00:00;  1,85
31.01.1959 12:00:00;  1,85
23.02.1959 12:00:00;  1,40
23.03.1959 12:00:00;  1,85
05.04.1959 12:00:00;  1,85
30.05.1959 12:00:00;  3,46
09.06.1959 12:00:00;  2,88
15.07.1959 12:00:00;  3,85
30.08.1959 12:00:00;  2,88
29.09.1959 12:00:00;  2,05
22.10.1959 12:00:00;  1,84
30.11.1959 12:00:00;  1,95
21.12.1959 12:00:00;  1,74
25.01.1960 12:00:00;  2,05
08.02.1960 12:00:00;  2,05
15.03.1960 12:00:00;  3,07
23.04.1960 12:00:00;  3,07
22.05.1960 12:00:00;  3,27
26.06.1960 12:00:00;  2,59
06.07.1960 12:00:00;  2,30
12.08.1960 12:00:00;  3,46
19.09.1960 12:00:00;  2,74
31.10.1960 12:00:00;  3,07
28.11.1960 12:00:00;  2,59
30.12.1960 12:00:00;  2,16
31.01.1961 12:00:00;  2,05
08.02.1961 12:00:00;  1,84
24.03.1961 12:00:00;  3,27
17.04.1961 12:00:00;  3,07
06.05.1961 12:00:00;  4,85
30.06.1961 12:00:00;  3,27
28.07.1961 12:00:00;  2,16
17.08.1961 12:00:00;  2,16
26.09.1961 12:00:00;  1,63
17.10.1961 12:00:00;  1,74
03.11.1961 12:00:00;  1,84
10.12.1961 12:00:00;  2,45
31.01.1962 12:00:00;  2,59
05.02.1962 12:00:00;  2,74
02.03.1962 12:00:00;  2,74
12.04.1962 12:00:00;  5,70
18.05.1962 12:00:00;  4,85
30.06.1962 12:00:00;  3,27
11.07.1962 12:00:00;  2,59
31.08.1962 12:00:00;  1,95
16.09.1962 12:00:00;  1,74
12.10.1962 12:00:00;  1,39
30.11.1962 12:00:00;  1,95
30.12.1962 12:00:00;  1,63
31.01.1963 12:00:00;  1,31
05.02.1963 12:00:00;  1,23
06.03.1963 12:00:00;  1,47
06.04.1963 12:00:00;  6,00
23.05.1963 12:00:00;  4,60
14.06.1963 12:00:00;  3,27
31.07.1963 12:00:00;  2,45
19.08.1963 12:00:00;  1,95
24.09.1963 12:00:00;  2,30
31.10.1963 12:00:00;  2,05
14.11.1963 12:00:00;  1,84
25.12.1963 12:00:00;  1,47
28.01.1964 12:00:00;  1,31
21.02.1964 12:00:00;  1,31
20.03.1964 12:00:00;  1,55
24.04.1964 12:00:00;  4,60
19.05.1964 12:00:00;  4,85
15.06.1964 12:00:00;  3,27
31.07.1964 12:00:00;  2,16
30.08.1964 12:00:00;  2,05
19.09.1964 12:00:00;  1,95
08.10.1964 12:00:00;  1,95
15.11.1964 12:00:00;  2,31
