Messstelle:                ;Böheimkirchen
HZB-Nummer:                ;209486
HD-Nummer:                 ;no300
DBMS-Nummer:               ;3001164
Gewässer:                  ;Perschling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;55,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00230,50
   01.01.2016              ;00230,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   31.12.1981              ;707430,70 - 339772,40
   01.01.2015              ;707426,00 - 339799,00
Exportzeitreihe:           ;(3001164,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
25.01.1982 15:00:00; 0,338
28.02.1982 04:00:00; 0,286
01.03.1982 05:00:00; 0,362
28.04.1982 15:00:00; 0,282
07.05.1982 14:00:00; 0,294
23.06.1982 18:00:00; 0,165
18.07.1982 11:00:00; 0,092
04.08.1982 18:00:00; 0,117
23.09.1982 08:00:00; 0,059
01.10.1982 00:00:00; 0,078
13.11.1982 23:00:00; 0,123
06.12.1982 00:00:00; 0,150
25.01.1983 16:00:00; 0,187
22.02.1983 23:00:00; 0,095
29.03.1983 10:00:00; 0,246
10.04.1983 09:00:00; 0,246
19.05.1983 18:00:00; 0,156
28.06.1983 22:00:00; 0,120
30.07.1983 21:00:00; 0,033
23.08.1983 16:24:00; 0,022
24.09.1983 15:00:00; 0,028
03.10.1983 12:00:00; 0,053
24.11.1983 04:00:00; 0,037
12.12.1983 20:00:00; 0,039
28.01.1984 04:00:00; 0,077
01.02.1984 00:00:00; 0,083
01.03.1984 14:00:00; 0,144
30.04.1984 05:00:00; 0,234
07.05.1984 12:00:00; 0,169
14.06.1984 17:00:00; 0,144
21.07.1984 22:00:00; 0,126
21.08.1984 16:00:00; 0,053
12.09.1984 14:00:00; 0,092
25.10.1984 20:00:00; 0,156
06.11.1984 14:00:00; 0,153
13.12.1984 11:00:00; 0,144
03.01.1985 22:30:00; 0,111
24.02.1985 09:00:00; 0,338
03.03.1985 14:00:00; 0,362
30.04.1985 23:59:55; 0,321
29.05.1985 12:00:00; 0,230
15.06.1985 04:00:00; 0,230
29.07.1985 00:00:00; 0,095
06.08.1985 05:00:00; 0,132
29.09.1985 22:00:00; 0,230
12.10.1985 04:00:00; 0,179
01.11.1985 11:30:00; 0,191
01.12.1985 00:00:00; 0,210
10.01.1986 23:15:00; 0,318
23.02.1986 00:00:00; 0,294
05.03.1986 14:00:00; 0,328
25.04.1986 22:30:00; 0,381
25.05.1986 20:00:00; 0,246
02.06.1986 19:30:00; 0,286
30.07.1986 23:15:00; 0,175
23.08.1986 12:30:00; 0,129
09.09.1986 16:00:00; 0,123
01.10.1986 12:15:00; 0,120
13.11.1986 02:15:00; 0,175
23.12.1986 03:01:45; 0,175
30.01.1987 05:30:00; 0,294
01.02.1987 00:00:00; 0,553
12.03.1987 23:15:00; 0,439
30.04.1987 12:45:00; 0,496
04.05.1987 20:45:00; 0,496
21.06.1987 04:00:00; 0,553
18.07.1987 22:00:00; 0,294
31.08.1987 23:59:55; 0,279
21.09.1987 05:15:00; 0,214
10.10.1987 01:15:00; 0,214
27.11.1987 08:30:00; 0,111
13.12.1987 11:15:00; 0,140
30.01.1988 07:00:00; 0,163
27.02.1988 03:15:00; 0,094
02.03.1988 17:30:00; 0,187
28.04.1988 01:45:00; 0,372
18.05.1988 09:15:00; 0,187
03.06.1988 19:15:00; 0,210
25.07.1988 18:15:00; 0,094
14.08.1988 13:30:00; 0,078
05.09.1988 05:00:00; 0,124
05.10.1988 05:00:00; 0,095
09.11.1988 13:45:00; 0,109
17.12.1988 08:00:00; 0,298
31.01.1989 10:15:00; 0,163
13.02.1989 22:00:00; 0,140
13.03.1989 22:15:00; 0,140
01.04.1989 02:15:00; 0,140
28.05.1989 21:00:00; 0,330
10.06.1989 14:45:00; 0,210
18.07.1989 15:30:00; 0,233
18.08.1989 02:30:00; 0,124
23.09.1989 13:30:00; 0,233
27.10.1989 16:00:00; 0,187
26.11.1989 07:45:00; 0,124
11.12.1989 04:15:00; 0,109
27.01.1990 01:30:00; 0,051
26.02.1990 04:15:00; 0,078
27.03.1990 08:00:00; 0,140
05.04.1990 12:00:00; 0,298
24.05.1990 20:45:00; 0,187
30.06.1990 23:59:55; 0,109
02.07.1990 04:45:00; 0,094
26.08.1990 00:30:00; 0,069
01.09.1990 00:00:00; 0,073
01.10.1990 00:00:00; 0,078
05.11.1990 18:30:00; 0,069
01.12.1990 13:15:00; 0,140
31.01.1991 04:30:00; 0,094
15.02.1991 02:00:00; 0,094
23.03.1991 11:15:00; 0,124
17.04.1991 01:45:00; 0,187
03.05.1991 15:00:00; 0,187
30.06.1991 21:45:00; 0,124
10.07.1991 13:00:00; 0,094
31.08.1991 23:59:55; 0,231
30.09.1991 17:00:00; 0,094
31.10.1991 19:00:00; 0,094
10.11.1991 00:00:00; 0,046
16.12.1991 18:15:00; 0,109
27.01.1992 19:30:00; 0,187
19.02.1992 08:00:00; 0,210
13.03.1992 00:15:00; 0,212
25.04.1992 01:15:00; 0,265
31.05.1992 23:59:55; 0,118
01.06.1992 01:15:00; 0,094
31.07.1992 23:59:55; 0,069
25.08.1992 00:06:10; 0,033
01.09.1992 00:45:00; 0,033
05.10.1992 23:30:00; 0,066
05.11.1992 03:45:00; 0,078
29.12.1992 08:30:00; 0,124
01.01.1993 21:45:00; 0,109
24.02.1993 15:00:00; 0,109
06.03.1993 08:30:00; 0,140
29.04.1993 05:15:00; 0,210
28.05.1993 02:15:00; 0,078
21.06.1993 07:00:00; 0,060
05.07.1993 17:15:00; 0,043
23.08.1993 07:00:00; 0,033
15.09.1993 22:15:00; 0,070
15.10.1993 10:15:00; 0,069
06.11.1993 07:00:00; 0,124
01.12.1993 17:00:00; 0,109
19.01.1994 02:00:00; 0,233
14.02.1994 10:00:00; 0,163
