Messstelle:                ;Lanzenkirchen
HZB-Nummer:                ;215608
HD-Nummer:                 ;no755
DBMS-Nummer:               ;3003205
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1170
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2018              ;00294,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.04.2017              ;743154,00 - 289203,00
Exportzeitreihe:           ;(3003205,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[27.06.2018 10:30,01.01.2022 00:00]
Werte:
27.06.2018 15:00:00;  3,92
22.07.2018 20:00:00;  2,32
25.08.2018 10:30:00;  1,69
01.09.2018 00:00:00;  2,39
24.10.2018 15:45:00;  1,44
16.11.2018 17:40:00;  1,43
14.12.2018 14:50:00;  2,08
31.01.2019 21:50:00;  1,67
01.02.2019 18:30:00;  2,01
30.03.2019 21:30:00;  4,14
19.04.2019 00:50:00;  3,47
08.05.2019 22:15:00;  5,90
20.06.2019 17:15:00;  1,63
31.07.2019 10:50:00;  1,20
19.08.2019 23:35:00;  1,04
30.09.2019 17:45:00;  1,11
15.10.2019 08:45:00; 0,731
04.11.2019 06:15:00; 0,915
17.12.2019 18:15:00;  1,10
14.01.2020 16:25:00;  1,34
09.02.2020 15:20:00;  1,31
24.03.2020 15:15:00;  1,40
26.04.2020 10:30:00;  1,25
12.05.2020 09:15:00; 0,668
08.06.2020 13:15:00;  1,04
27.07.2020 14:25:00;  1,10
07.08.2020 13:40:00;  1,33
22.09.2020 12:35:00;  2,61
29.10.2020 18:10:00;  5,38
23.11.2020 11:25:00;  1,96
14.12.2020 16:45:00;  2,19
12.01.2021 13:50:00;  1,98
25.02.2021 13:30:00;  3,10
21.03.2021 11:15:00;  2,06
11.04.2021 02:45:00;  1,94
10.05.2021 03:00:00;  1,66
29.06.2021 11:30:00;  1,18
23.07.2021 11:50:00; 0,884
15.08.2021 10:40:00;  1,21
09.09.2021 10:25:00; 0,616
05.10.2021 04:00:00; 0,785
15.11.2021 10:55:00; 0,965
23.12.2021 14:50:00;  1,13
