Messstelle:                ;Gepatschalm
HZB-Nummer:                ;230300
HD-Nummer:                 ;
DBMS-Nummer:               ;7001156
Gewässer:                  ;Fagge
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;55
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1983              ;01895,01
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1983              ;180694,20 - 195526,90
Exportzeitreihe:           ;(7001156,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1983 00:00,01.01.2022 00:00]
Werte:
02.01.1983 20:45:00; 0,136
24.02.1983 00:00:00; 0,125
25.03.1983 00:30:00; 0,123
05.04.1983 04:15:00; 0,111
05.05.1983 11:00:00; 0,563
01.06.1983 10:00:00;  1,45
02.07.1983 04:45:00;  5,01
08.08.1983 03:30:00;  3,99
30.09.1983 11:45:00;  1,99
31.10.1983 23:59:55; 0,499
29.11.1983 01:45:00; 0,312
31.12.1983 23:50:00; 0,207
31.01.1984 23:59:55; 0,157
29.02.1984 23:59:55; 0,134
20.03.1984 00:00:00; 0,114
01.04.1984 00:00:00; 0,114
02.05.1984 11:15:00; 0,255
01.06.1984 08:15:00; 0,870
06.07.1984 09:15:00;  1,98
18.08.1984 07:15:00;  3,11
30.09.1984 07:30:00;  1,30
29.10.1984 05:15:00; 0,410
13.11.1984 23:45:00; 0,263
31.12.1984 23:59:55; 0,197
29.01.1985 00:00:00; 0,144
19.02.1985 07:45:00; 0,124
01.03.1985 00:00:00; 0,124
02.04.1985 06:30:00; 0,124
03.05.1985 22:45:00; 0,165
25.06.1985 08:15:00;  2,06
01.07.1985 08:00:00;  4,20
31.08.1985 09:45:00;  4,98
17.09.1985 09:00:00;  2,00
29.10.1985 07:15:00; 0,301
23.11.1985 00:15:00; 0,214
31.12.1985 23:59:55; 0,156
31.01.1986 23:59:55; 0,114
26.02.1986 16:45:00; 0,086
06.03.1986 20:15:00; 0,071
01.04.1986 19:00:00; 0,105
01.05.1986 09:30:00; 0,428
08.06.1986 07:15:00;  1,23
15.07.1986 04:45:00;  4,06
31.08.1986 23:59:55;  2,62
12.09.1986 08:00:00;  1,68
31.10.1986 23:15:00; 0,428
30.11.1986 23:59:55; 0,235
31.12.1986 23:45:00; 0,127
31.01.1987 23:59:55; 0,110
18.02.1987 00:30:00; 0,093
29.03.1987 12:00:00; 0,071
05.04.1987 04:15:00; 0,077
07.05.1987 12:00:00; 0,379
06.06.1987 10:15:00;  1,16
30.07.1987 04:15:00;  4,70
09.08.1987 06:45:00;  3,47
30.09.1987 23:59:55;  2,93
31.10.1987 23:59:55; 0,555
30.11.1987 23:59:55; 0,268
31.12.1987 23:59:55; 0,180
31.01.1988 23:59:55; 0,127
17.02.1988 09:00:00; 0,096
29.03.1988 19:00:00; 0,077
02.04.1988 20:15:00; 0,086
05.05.1988 08:30:00; 0,713
03.06.1988 11:30:00;  1,73
17.07.1988 08:45:00;  4,21
18.08.1988 08:45:00;  3,43
26.09.1988 07:15:00;  1,33
31.10.1988 23:59:55; 0,460
30.11.1988 23:59:55; 0,287
31.12.1988 23:59:55; 0,214
31.01.1989 23:59:55; 0,166
04.02.1989 00:00:00; 0,165
09.03.1989 22:45:00; 0,155
20.04.1989 05:30:00; 0,221
02.05.1989 05:30:00; 0,203
09.06.1989 12:45:00;  1,49
01.07.1989 09:30:00;  5,10
31.08.1989 09:15:00;  3,15
30.09.1989 23:59:55;  1,30
28.10.1989 07:45:00; 0,557
24.11.1989 10:00:00; 0,242
24.12.1989 00:15:00; 0,154
01.01.1990 00:00:00; 0,154
28.02.1990 22:30:00; 0,141
05.03.1990 09:15:00; 0,108
15.04.1990 16:15:00; 0,166
01.05.1990 10:30:00; 0,523
01.06.1990 03:30:00;  1,38
05.07.1990 07:45:00;  5,37
22.08.1990 08:00:00;  3,23
22.09.1990 07:30:00; 0,815
31.10.1990 11:45:00; 0,528
24.11.1990 04:15:00; 0,245
28.12.1990 15:30:00; 0,199
24.01.1991 00:30:00; 0,154
12.02.1991 00:00:00; 0,123
31.03.1991 04:30:00; 0,141
27.04.1991 07:15:00; 0,144
01.05.1991 00:00:00; 0,215
05.06.1991 10:00:00; 0,757
01.07.1991 10:00:00;  3,29
31.08.1991 09:15:00;  3,59
28.09.1991 16:00:00;  1,22
31.10.1991 00:00:00; 0,337
30.11.1991 23:59:55; 0,245
12.12.1991 06:30:00; 0,154
27.01.1992 21:15:00; 0,093
11.02.1992 12:45:00; 0,071
22.03.1992 23:00:00; 0,055
01.04.1992 23:15:00; 0,079
01.05.1992 10:30:00; 0,301
14.06.1992 11:00:00;  2,41
14.07.1992 08:45:00;  4,15
16.08.1992 08:45:00;  5,54
25.09.1992 09:45:00;  1,83
29.10.1992 19:15:00; 0,382
20.11.1992 07:45:00; 0,309
31.12.1992 23:50:00; 0,154
01.01.1993 00:00:00; 0,186
18.02.1993 01:30:00; 0,181
05.03.1993 09:00:00; 0,181
09.04.1993 00:45:00; 0,145
01.05.1993 07:30:00;  1,07
05.06.1993 06:15:00;  3,01
14.07.1993 04:15:00;  3,44
31.08.1993 21:00:00;  3,07
30.09.1993 00:00:00;  1,50
30.10.1993 22:45:00; 0,650
29.11.1993 06:00:00; 0,327
26.12.1993 23:30:00; 0,254
26.01.1994 19:00:00; 0,181
02.02.1994 08:15:00; 0,181
07.03.1994 13:15:00; 0,126
12.04.1994 07:30:00; 0,181
07.05.1994 09:00:00; 0,757
13.06.1994 08:15:00;  1,74
10.07.1994 05:00:00;  6,83
28.08.1994 08:00:00;  3,74
22.09.1994 10:00:00;  1,64
25.10.1994 05:15:00; 0,502
30.11.1994 06:15:00; 0,290
22.12.1994 00:30:00; 0,254
08.01.1995 20:30:00; 0,181
07.02.1995 13:30:00; 0,154
04.03.1995 20:45:00; 0,154
01.04.1995 00:15:00; 0,154
22.05.1995 04:00:00; 0,601
17.06.1995 06:15:00;  1,74
01.07.1995 07:30:00;  6,83
31.08.1995 20:45:00;  2,26
30.09.1995 05:15:00; 0,932
25.10.1995 05:30:00; 0,502
29.11.1995 23:15:00; 0,290
22.12.1995 12:30:00; 0,217
19.01.1996 08:45:00; 0,181
08.02.1996 02:45:00; 0,154
10.03.1996 22:45:00; 0,126
01.04.1996 04:45:00; 0,126
05.05.1996 10:30:00; 0,551
28.06.1996 04:30:00;  2,15
03.07.1996 08:00:00;  3,01
31.08.1996 23:45:00;  3,01
27.09.1996 06:15:00; 0,815
30.10.1996 21:15:00; 0,551
21.11.1996 21:00:00; 0,370
09.12.1996 13:45:00; 0,217
28.01.1997 05:15:00; 0,181
01.02.1997 00:00:00; 0,181
01.03.1997 00:00:00; 0,181
01.04.1997 00:00:00; 0,217
01.05.1997 00:00:00; 0,327
03.06.1997 07:15:00;  2,04
08.07.1997 04:30:00;  2,75
03.08.1997 05:00:00;  4,23
29.09.1997 10:30:00;  1,83
29.10.1997 02:00:00; 0,414
29.11.1997 11:15:00; 0,290
23.12.1997 19:45:00; 0,217
22.01.1998 12:00:00; 0,154
08.02.1998 21:00:00; 0,126
09.03.1998 19:30:00; 0,098
13.04.1998 03:45:00; 0,154
03.05.1998 07:00:00; 0,458
01.06.1998 10:00:00;  2,04
10.07.1998 08:45:00;  3,91
31.08.1998 10:00:00;  2,49
30.09.1998 07:45:00;  1,30
28.10.1998 07:00:00; 0,601
27.11.1998 10:30:00; 0,290
13.12.1998 11:30:00; 0,181
10.01.1999 23:30:00; 0,139
01.02.1999 00:00:00; 0,217
01.03.1999 00:00:00; 0,217
01.04.1999 00:00:00; 0,217
01.05.1999 09:45:00; 0,815
24.06.1999 10:45:00;  2,51
25.07.1999 07:45:00;  5,46
15.08.1999 06:00:00;  4,86
19.09.1999 08:30:00;  2,40
31.10.1999 23:30:00; 0,691
30.11.1999 12:15:00; 0,289
03.12.1999 22:15:00; 0,211
31.01.2000 23:59:55; 0,224
28.02.2000 16:30:00; 0,178
01.03.2000 00:00:00; 0,179
08.04.2000 05:00:00; 0,175
01.05.2000 10:00:00;  1,51
01.06.2000 09:00:00;  2,85
17.07.2000 12:30:00;  2,55
30.08.2000 09:15:00;  3,33
09.09.2000 07:30:00;  1,64
30.10.2000 12:15:00; 0,690
25.11.2000 22:00:00; 0,313
31.12.2000 23:59:55; 0,217
31.01.2001 23:59:55; 0,163
28.02.2001 23:59:55; 0,144
04.03.2001 10:45:00; 0,140
23.04.2001 04:15:00; 0,127
01.05.2001 09:30:00; 0,895
07.06.2001 07:45:00;  1,94
22.07.2001 09:45:00;  5,34
13.08.2001 07:45:00;  5,04
23.09.2001 01:00:00;  1,03
31.10.2001 23:00:00; 0,461
24.11.2001 15:15:00; 0,230
31.12.2001 23:59:55; 0,183
17.01.2002 11:30:00; 0,125
06.02.2002 02:45:00; 0,125
04.03.2002 10:45:00; 0,143
01.04.2002 00:00:00; 0,208
01.05.2002 05:00:00; 0,476
01.06.2002 12:15:00;  2,62
25.07.2002 22:45:00;  5,44
18.08.2002 08:45:00;  1,94
17.09.2002 10:15:00;  1,15
20.10.2002 20:45:00; 0,926
12.11.2002 13:15:00; 0,391
31.12.2002 23:59:55; 0,307
31.01.2003 23:59:55; 0,223
22.02.2003 01:00:00; 0,191
01.03.2003 00:00:00; 0,204
11.04.2003 09:00:00; 0,238
04.05.2003 10:45:00;  1,28
03.06.2003 07:45:00;  6,27
06.07.2003 09:30:00;  4,39
28.08.2003 08:15:00;  5,10
30.09.2003 10:45:00;  1,06
25.10.2003 07:45:00; 0,529
30.11.2003 23:59:55; 0,306
31.12.2003 23:59:55; 0,231
31.01.2004 23:59:55; 0,172
29.02.2004 23:59:55; 0,126
12.03.2004 09:45:00; 0,113
09.04.2004 05:45:00; 0,239
11.05.2004 03:00:00; 0,587
05.06.2004 08:30:00;  1,53
15.07.2004 08:30:00;  4,30
28.08.2004 08:00:00;  3,79
30.09.2004 09:30:00;  1,73
31.10.2004 03:30:00; 0,986
27.11.2004 10:15:00; 0,486
31.12.2004 23:59:55; 0,273
31.01.2005 23:59:55; 0,176
17.02.2005 23:15:00; 0,165
01.03.2005 00:00:00; 0,167
02.04.2005 16:45:00; 0,148
11.05.2005 03:15:00; 0,462
11.06.2005 04:30:00;  1,58
10.07.2005 07:45:00;  4,55
17.08.2005 05:00:00;  2,83
30.09.2005 23:59:55;  1,53
30.10.2005 01:30:00; 0,664
30.11.2005 23:59:55; 0,355
31.12.2005 23:59:55; 0,236
31.01.2006 23:59:55; 0,220
28.02.2006 23:59:55; 0,175
24.03.2006 04:30:00; 0,171
07.04.2006 00:30:00; 0,170
01.05.2006 06:45:00; 0,536
07.06.2006 02:30:00; 0,854
24.07.2006 07:30:00;  6,63
31.08.2006 11:00:00;  2,14
01.09.2006 03:15:00;  2,04
30.10.2006 23:15:00; 0,799
29.11.2006 22:00:00; 0,315
31.12.2006 23:59:55; 0,237
31.01.2007 23:59:55; 0,213
13.02.2007 11:45:00; 0,144
25.03.2007 06:15:00; 0,170
03.04.2007 13:15:00; 0,208
07.05.2007 06:45:00; 0,986
02.06.2007 07:00:00;  2,49
13.07.2007 10:00:00;  3,91
24.08.2007 09:15:00;  3,29
30.09.2007 08:45:00;  1,13
29.10.2007 02:30:00; 0,512
05.11.2007 04:45:00; 0,398
31.12.2007 23:59:55; 0,285
23.01.2008 17:15:00; 0,185
20.02.2008 03:15:00; 0,173
27.03.2008 17:30:00; 0,151
01.04.2008 06:15:00; 0,173
02.05.2008 12:30:00; 0,497
16.06.2008 07:00:00;  2,79
24.07.2008 10:00:00;  3,29
25.08.2008 09:45:00;  3,35
30.09.2008 09:30:00; 0,876
27.10.2008 09:45:00; 0,542
30.11.2008 23:59:55; 0,355
21.12.2008 07:15:00; 0,188
30.01.2009 01:45:00; 0,205
28.02.2009 14:45:00; 0,165
23.03.2009 14:00:00; 0,151
01.04.2009 00:00:00; 0,170
01.05.2009 08:45:00; 0,494
04.06.2009 12:15:00;  2,11
12.07.2009 09:30:00;  4,43
31.08.2009 09:45:00;  4,21
15.09.2009 08:45:00;  1,71
31.10.2009 09:30:00; 0,507
30.11.2009 23:59:55; 0,318
31.12.2009 23:59:55; 0,249
31.01.2010 23:59:55; 0,179
23.02.2010 13:45:00; 0,156
04.03.2010 10:45:00; 0,155
02.04.2010 08:15:00; 0,205
21.05.2010 04:45:00; 0,637
04.06.2010 08:30:00;  1,67
31.07.2010 09:00:00;  2,85
01.08.2010 06:15:00;  3,06
30.09.2010 08:00:00;  1,18
29.10.2010 11:15:00; 0,635
30.11.2010 23:59:55; 0,405
31.12.2010 23:59:55; 0,277
31.01.2011 23:59:55; 0,204
28.02.2011 23:59:55; 0,173
23.03.2011 07:00:00; 0,169
01.04.2011 10:30:00; 0,305
05.05.2011 06:15:00; 0,609
10.06.2011 08:00:00;  3,80
27.07.2011 08:00:00;  3,01
31.08.2011 07:45:00;  3,61
30.09.2011 11:00:00;  1,91
31.10.2011 23:59:55; 0,711
24.11.2011 18:00:10; 0,328
31.12.2011 23:59:55; 0,281
23.01.2012 15:15:00; 0,190
22.02.2012 00:45:00; 0,195
07.03.2012 05:00:00; 0,179
25.04.2012 11:15:00; 0,308
07.05.2012 09:45:00;  1,10
15.06.2012 05:30:00;  2,91
23.07.2012 10:45:00;  3,93
12.08.2012 08:15:00;  3,81
22.09.2012 07:15:00;  1,76
31.10.2012 17:15:00; 0,738
30.11.2012 06:45:00; 0,360
29.12.2012 21:00:00; 0,280
31.01.2013 23:59:55; 0,213
28.02.2013 23:59:55; 0,182
05.03.2013 22:15:00; 0,158
01.04.2013 03:30:00; 0,194
27.05.2013 16:15:00; 0,812
03.06.2013 09:00:00; 0,914
01.07.2013 10:45:00;  2,08
31.08.2013 10:00:00;  2,64
25.09.2013 12:15:00;  1,48
19.10.2013 09:00:00;  1,28
30.11.2013 23:59:55; 0,553
31.12.2013 23:59:55; 0,334
31.01.2014 23:59:55; 0,250
28.02.2014 23:59:55; 0,222
04.03.2014 10:30:00; 0,213
01.04.2014 11:45:00; 0,365
18.05.2014 12:30:00; 0,656
03.06.2014 10:45:00;  1,47
04.07.2014 09:00:00;  3,83
25.08.2014 11:30:00;  2,69
30.09.2014 07:45:00;  1,57
30.10.2014 11:15:00; 0,724
30.11.2014 00:00:00; 0,472
31.12.2014 09:30:00; 0,266
26.01.2015 10:45:00; 0,226
28.02.2015 12:30:00; 0,186
07.03.2015 15:45:00; 0,180
03.04.2015 07:30:00; 0,163
01.05.2015 09:45:00; 0,616
01.06.2015 10:15:00;  2,04
16.07.2015 07:45:00;  5,07
22.08.2015 09:15:00;  2,65
30.09.2015 23:59:55;  1,26
31.10.2015 14:30:00; 0,710
24.11.2015 22:00:00; 0,387
30.12.2015 07:00:00; 0,240
30.01.2016 17:30:00; 0,217
15.02.2016 13:45:00; 0,156
04.03.2016 10:15:00; 0,167
28.04.2016 05:00:00; 0,285
05.05.2016 07:45:00; 0,350
02.06.2016 10:45:00;  3,25
17.07.2016 11:15:00;  4,66
25.08.2016 09:00:00;  3,48
29.09.2016 11:15:00;  1,32
21.10.2016 02:45:00; 0,581
30.11.2016 12:00:00; 0,424
31.12.2016 23:59:55; 0,199
31.01.2017 23:59:55; 0,156
11.02.2017 15:00:00; 0,143
09.03.2017 12:15:00; 0,143
21.04.2017 01:45:00; 0,241
05.05.2017 11:15:00; 0,418
08.06.2017 12:00:00;  3,78
27.07.2017 10:00:00;  3,65
23.08.2017 10:00:00;  3,56
29.09.2017 12:15:00;  1,49
28.10.2017 08:45:00; 0,653
30.11.2017 23:59:55; 0,455
28.12.2017 09:30:00; 0,283
27.01.2018 16:00:00; 0,186
28.02.2018 23:59:55; 0,210
25.03.2018 06:00:00; 0,194
01.04.2018 00:00:00; 0,204
02.05.2018 08:45:00;  1,59
29.06.2018 10:45:00;  3,14
18.07.2018 08:15:00;  4,78
28.08.2018 11:00:00;  2,76
30.09.2018 11:45:00;  1,61
22.10.2018 08:00:00; 0,557
30.11.2018 23:59:55; 0,323
24.12.2018 12:30:00; 0,239
21.01.2019 16:30:00; 0,144
15.02.2019 16:30:00; 0,146
16.03.2019 18:45:00; 0,154
09.04.2019 11:15:00; 0,252
16.05.2019 06:45:00; 0,418
01.06.2019 10:30:00;  1,49
15.07.2019 13:45:00;  3,64
31.08.2019 08:15:00;  3,07
29.09.2019 12:00:00;  1,46
27.10.2019 13:45:00; 0,995
30.11.2019 23:59:55; 0,481
31.12.2019 23:59:55; 0,317
30.01.2020 10:45:00; 0,203
14.02.2020 11:00:00; 0,214
10.03.2020 20:00:00; 0,205
01.04.2020 08:15:00; 0,240
04.05.2020 13:00:00; 0,759
01.06.2020 11:15:00;  2,22
19.07.2020 07:45:00;  3,95
27.08.2020 10:30:00;  3,72
29.09.2020 13:30:00;  1,44
19.10.2020 07:30:00; 0,805
30.11.2020 00:30:00; 0,407
31.12.2020 23:59:55; 0,305
29.01.2021 01:45:00; 0,222
05.02.2021 17:00:00; 0,118
20.03.2021 14:15:00; 0,178
16.04.2021 05:45:00; 0,226
08.05.2021 07:00:00; 0,458
01.06.2021 11:30:00;  1,32
02.07.2021 10:00:00;  4,37
29.08.2021 10:45:00;  2,31
25.09.2021 11:45:00;  1,54
28.10.2021 08:45:00; 0,492
24.11.2021 00:15:00; 0,322
30.12.2021 12:00:00; 0,228
