Messstelle:                ;Deutsch Brodersdorf (Messseilbahn)
HZB-Nummer:                ;214031
HD-Nummer:                 ;no834
DBMS-Nummer:               ;3003086
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1598,90
Pegelnullpunkt:
 gültig seit:              ;Höhe [m ü.A.]:
  21.06.2007               ;193,00
  01.01.2009               ;192,56
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  21.06.2011               ;16 28 38                 ;47 56 20
  01.09.2010               ;16 28 38                 ;47 56 19
  21.06.2007               ;16 28 38                 ;47 56 20
Ursprungszeitreihe:        ;Schwebstoff,K,TRA,,0,F,Z,0,,,
Transformation:            ;Summe
Summenintervall:           ;1 Tag
Exportzeitreihe:           ;Abgeleitete Intervallzeitreihe
                           ;Schwebstoff,I,Sum,T,1,M,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Mit Textausgabe:
  Texte in der Textrelation 20TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;01.01.2011 00:00; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;t
Werte:
01.01.2011 00:00:00   ;     5,1 ;     
02.01.2011 00:00:00   ;     5,4 ;     
03.01.2011 00:00:00   ;     5,4 ;     
04.01.2011 00:00:00   ;     4,9 ;     
05.01.2011 00:00:00   ;     4,1 ;     
06.01.2011 00:00:00   ;     4,5 ;     
07.01.2011 00:00:00   ;     5,3 ;     
08.01.2011 00:00:00   ;     4,8 ;     
09.01.2011 00:00:00   ;     4,7 ;     
10.01.2011 00:00:00   ;     5,0 ;     
