Messstelle:                ;Asberg
HZB-Nummer:                ;205096
HD-Nummer:                 ;3960
DBMS-Nummer:               ;4001057
Gewässer:                  ;Großer Haselbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;350,00
   01.01.1988              ;354,63

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;521025,00 - 358900,00
   27.03.2020              ;521029,71 - 358928,63

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.2000    27.01.2022;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.2018              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.1989              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1990              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.05.2006    27.01.2022;2161003320-4/OWF-WT/Hleiter-Datensammler
   01.01.2018              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Jän durch Eis beeinflusst
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2002    31.12.2002;OWF-Q/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2003    31.12.2003;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Jän durch Eis beeinflusst
