Messstelle:                ;Rauchwart
HZB-Nummer:                ;210484
HD-Nummer:                 ;
DBMS-Nummer:               ;1001045
Gewässer:                  ;Strem
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;94,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;227,32

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;742400,00 - 221200,00
   05.10.2018              ;742449,79 - 221186,19

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1991              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1991    01.11.2009;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.11.2009              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1991              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-Q/Rückhaltebecken flussaufwärts des Pegels
   01.01.1996    31.12.2015;OWF-W/NW und HW durch Spülspitzen und Abstellungen beeinflusst
   01.01.1996    31.12.2015;OWF-Q/NQ und HQ durch Spülspitzen und Abstellungen beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/17. bis 27. Jun Wasserspiegel im Grundsee der Rückhalteanlage  | durch bauliche Maßnahmen abgelassen und aufgestaut  | am 22. Okt Klärbecken am Badesee entleert
   01.01.1997    31.12.1997;OWF-Q/17. bis 27. Jun Wasserspiegel im Grundsee der Rückhalteanlage  | durch bauliche Maßnahmen abgelassen und aufgestaut  | am 22. Okt Klärbecken am Badesee entleert
   01.01.1999              ;OWF-W/Rückhaltebecken flussaufwärts des Pegels
   01.01.2003    31.12.2003;OWF-W/vom 4. bis 10. Okt Wasserspiegel im Rückhaltebecken abgesenkt
   01.01.2003    31.12.2003;OWF-Q/vom 4. bis 10. Okt Wasserspiegel im Rückhaltebecken abgesenkt
   01.01.2005    31.12.2005;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Mrz,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2010    31.12.2010;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/ab 7. Nov Wasserspiegel im Rückhaltebecken abgesenkt
   01.01.2017    31.12.2017;OWF-Q/ab 7. Nov Wasserspiegel im Rückhaltebecken abgesenkt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb durch Eis beeinflusst

