Messstelle:                ;St. Leonhard im Pitztal
HZB-Nummer:                ;201335
HD-Nummer:                 ;
DBMS-Nummer:               ;7001031
Gewässer:                  ;Pitze
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;01337,45
   01.01.1976              ;01337,97
   01.01.1982              ;01338,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1941              ;188765,00 - 214655,00
Exportzeitreihe:           ;(7001031,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.04.1954 00:00,01.01.2022 00:00]
Werte:
09.04.1954 00:00:00;    57
28.05.1954 00:05:00;    96
27.06.1954 17:30:00;   140
29.07.1954 18:00:00;   131
22.08.1954 04:00:00;   160
15.09.1954 12:30:00;   113
01.10.1954 00:00:00; Lücke
01.11.1954 00:00:00; Lücke
01.12.1954 00:00:00; Lücke
01.01.1955 00:00:00; Lücke
01.02.1955 00:00:00; Lücke
01.03.1955 00:00:00; Lücke
30.04.1955 20:00:00;    92
01.05.1955 21:00:00;    99
08.06.1955 05:30:00;   134
22.07.1955 23:00:00;   154
24.08.1955 16:00:00;   110
06.09.1955 05:00:00;   106
01.10.1955 00:15:00;    68
01.11.1955 00:00:00;    54
01.12.1955 00:00:00; Lücke
02.01.1956 00:00:00;    43
01.02.1956 00:00:00;    39
23.03.1956 06:00:00;    48
29.04.1956 10:00:00;    60
30.05.1956 07:00:00;   136
01.06.1956 08:00:00;   118
13.07.1956 11:00:00;   134
21.08.1956 14:00:00;   159
03.09.1956 09:15:00;   141
04.10.1956 07:00:00;    89
01.11.1956 15:15:00;    58
02.12.1956 12:20:00;    78
05.01.1957 06:00:00;    45
01.02.1957 00:00:00;    43
29.03.1957 05:10:00;    57
30.04.1957 00:02:00;    81
16.05.1957 23:00:00;    88
15.06.1957 20:15:00;   150
08.07.1957 12:00:00;   140
12.08.1957 17:30:00;   160
24.09.1957 01:00:00;   108
01.10.1957 09:05:00;    65
01.11.1957 00:00:00;    54
08.12.1957 17:30:00;    51
08.01.1958 00:00:00;    42
17.02.1958 18:00:00;    73
14.03.1958 18:00:00;    46
26.04.1958 18:00:00;    62
28.05.1958 18:00:00;   147
21.06.1958 18:00:00;   136
17.07.1958 18:00:00;   145
02.08.1958 18:00:00;   146
08.09.1958 18:00:00;   122
01.10.1958 18:00:00;    87
04.11.1958 00:00:00;    58
04.12.1958 18:00:00;    53
01.01.1959 00:00:00;    44
28.02.1959 18:00:00;    47
31.03.1959 18:00:00;    49
30.04.1959 18:00:00;    69
24.05.1959 18:00:00;   100
29.06.1959 18:00:00;   117
15.07.1959 18:00:00;   138
27.08.1959 18:00:00;   120
10.09.1959 18:00:00;   102
01.10.1959 18:00:00;    84
01.11.1959 00:00:00;    54
01.12.1959 00:00:00;    50
01.01.1960 00:00:00; Lücke
01.02.1960 00:00:00; Lücke
01.03.1960 00:00:00; Lücke
01.04.1960 00:00:00; Lücke
01.05.1960 00:00:00; Lücke
01.06.1960 00:00:00; Lücke
01.07.1960 00:00:00; Lücke
01.08.1960 00:00:00; Lücke
01.09.1960 00:00:00; Lücke
01.10.1960 00:00:00; Lücke
01.11.1960 00:00:00; Lücke
01.12.1960 00:00:00; Lücke
19.01.1961 00:00:00;    60
20.02.1961 18:00:00;    56
24.03.1961 18:00:00;    63
10.04.1961 18:00:00;    80
28.05.1961 18:00:00;    97
20.06.1961 18:00:00;   140
03.07.1961 18:00:00;   142
10.08.1961 18:00:00;   128
01.09.1961 18:00:00;   111
02.10.1961 18:00:00;    97
01.11.1961 18:00:00;    59
08.12.1961 18:00:00;    75
16.01.1962 18:00:00;    63
06.02.1962 18:00:00;    50
15.03.1962 18:00:00;    63
22.04.1962 18:00:00;    89
09.05.1962 18:00:00;   100
24.06.1962 18:00:00;   137
28.07.1962 18:00:00;   150
07.08.1962 18:00:00;   140
03.09.1962 18:00:00;   121
03.10.1962 18:00:00;    72
01.11.1962 00:00:00;    61
24.12.1962 00:00:00;    65
14.01.1963 18:00:00;    71
24.02.1963 18:00:00;    67
01.03.1963 18:00:00;    57
22.04.1963 18:00:00;    80
30.05.1963 18:00:00;   111
23.06.1963 18:00:00;   144
25.07.1963 18:00:00;   151
27.08.1963 18:00:00;   134
23.09.1963 18:00:00;   106
01.10.1963 18:00:00;    82
02.11.1963 00:00:00;    63
14.12.1963 00:00:00;    64
18.01.1964 18:00:00;    62
08.02.1964 18:00:00;    58
09.03.1964 18:00:00;    57
18.04.1964 18:00:00;    81
14.05.1964 18:00:00;   109
24.06.1964 18:00:00;   125
26.07.1964 18:00:00;   135
06.08.1964 18:00:00;   129
17.09.1964 18:00:00;   117
17.10.1964 18:00:00;   117
13.11.1964 18:00:00;    80
02.12.1964 18:00:00;    70
25.01.1965 18:00:00;    51
21.02.1965 18:00:00;    73
04.03.1965 18:00:00;    60
08.04.1965 18:00:00;    73
19.05.1965 18:00:00;   112
21.06.1965 18:00:00;   152
01.07.1965 18:00:00;   149
07.08.1965 18:00:00;   113
03.09.1965 18:00:00;   137
01.10.1965 18:00:00;    71
18.11.1965 18:00:00;    63
09.12.1965 18:00:00;    75
10.01.1966 18:00:00;    61
16.02.1966 18:00:00;    58
21.03.1966 18:00:00;    60
30.04.1966 18:00:00;    84
25.05.1966 18:00:00;    97
14.06.1966 18:00:00;   123
06.07.1966 18:00:00;   112
15.08.1966 18:00:00;   153
16.09.1966 18:00:00;    86
01.10.1966 18:00:00;    72
09.11.1966 18:00:00;    67
07.12.1966 18:00:00;    75
27.01.1967 18:00:00;    55
15.02.1967 18:00:00;    63
12.03.1967 00:00:00;    61
18.04.1967 18:00:00;    79
14.05.1967 18:00:00;   102
27.06.1967 18:00:00;   116
26.07.1967 18:00:00;   122
05.08.1967 18:00:00;   109
04.09.1967 18:00:00;    90
03.10.1967 00:00:00;    74
05.11.1967 00:00:00;    66
02.12.1967 18:00:00;    61
14.01.1968 18:00:00;    56
19.02.1968 18:00:00;    54
31.03.1968 18:00:00;    67
24.04.1968 18:00:00;    88
30.05.1968 18:00:00;    95
30.06.1968 18:00:00;   115
11.07.1968 18:00:00;   124
03.08.1968 18:00:00;    93
01.09.1968 18:00:00;    86
29.10.1968 18:00:00;    75
03.11.1968 18:00:00;    67
05.12.1968 18:00:00;    56
11.01.1969 18:00:00;    56
02.02.1969 18:00:00;    54
08.03.1969 18:00:00;    56
30.04.1969 18:00:00;    84
16.05.1969 18:00:00;   100
13.06.1969 18:00:00;   100
27.07.1969 18:00:00;   119
15.08.1969 18:00:00;   108
04.09.1969 00:00:00;    87
01.10.1969 18:00:00;    73
01.11.1969 00:00:00;    63
03.12.1969 18:00:00;    63
01.01.1970 00:00:00;    58
19.02.1970 18:00:00;    63
10.03.1970 18:00:00;    65
23.04.1970 18:00:00;    80
15.05.1970 18:00:00;    88
17.06.1970 18:00:00;   120
25.07.1970 18:00:00;   126
07.08.1970 18:00:00;   124
12.09.1970 18:00:00;   137
07.10.1970 18:00:00;    85
01.11.1970 00:00:00;    71
17.12.1970 18:00:00;    74
05.01.1971 18:00:00;    67
03.02.1971 18:00:00;    63
21.03.1971 18:00:00;    64
23.04.1971 18:00:00;    85
20.05.1971 18:00:00;   100
28.06.1971 18:00:00;   101
18.07.1971 18:00:00;   122
27.08.1971 18:00:00;   137
01.09.1971 18:00:00;    93
02.10.1971 00:00:00;    80
25.11.1971 18:00:00;    75
04.12.1971 18:00:00;    73
30.01.1972 18:00:00;    74
16.02.1972 18:00:00;    72
25.03.1972 00:00:00;    71
25.04.1972 18:00:00;    80
31.05.1972 18:00:00;    94
23.06.1972 18:00:00;   111
25.07.1972 18:00:00;   118
12.08.1972 18:00:00;   110
01.09.1972 18:00:00;    83
09.10.1972 18:00:00;    70
17.11.1972 18:00:00;    84
11.12.1972 18:00:00;    69
12.01.1973 18:00:00;    64
