Messstelle:                ;Lochen
HZB-Nummer:                ;204602
HD-Nummer:                 ;2140
DBMS-Nummer:               ;4001010
Gewässer:                  ;Mühlberger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,71
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00507,00
   01.01.1990              ;00506,07
   19.04.2022              ;00498,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;438540,00 - 319650,00
   24.03.2020              ;438528,87 - 319647,89
   17.05.2022              ;438396,52 - 320367,85
Exportzeitreihe:           ;(4001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
06.01.1976 00:30:00;   104
02.02.1976 17:30:00;    55
26.03.1976 06:00:00;    70
27.04.1976 04:00:00;    73
31.05.1976 13:00:00;   123
03.06.1976 01:00:00;   148
27.07.1976 22:30:00;   100
05.08.1976 07:30:00;   122
05.09.1976 15:30:00;   105
31.10.1976 13:00:00;    97
15.11.1976 10:30:00;   122
09.12.1976 23:00:00;    89
27.01.1977 05:30:00;    96
06.02.1977 06:00:00;   123
02.03.1977 23:30:00;   117
13.04.1977 19:00:00;   150
09.05.1977 04:00:00;   100
26.06.1977 12:30:00;   160
31.07.1977 23:59:55;   144
10.08.1977 00:00:00;   212
01.09.1977 21:00:00;   164
03.10.1977 03:00:00;    61
03.11.1977 03:00:00;   114
25.12.1977 02:30:00;   140
03.01.1978 00:01:00;    67
28.02.1978 17:30:00;    91
21.03.1978 16:30:00;    96
01.04.1978 00:00:00;    56
09.05.1978 22:30:00;    84
24.06.1978 14:30:00;    91
10.07.1978 00:30:00;   120
16.08.1978 21:00:00;   173
29.09.1978 10:00:00;   112
26.10.1978 08:30:00;   114
29.11.1978 09:30:00;    47
10.12.1978 00:01:00;    77
01.01.1979 00:00:00;    47
03.02.1979 00:01:00;   113
12.03.1979 02:30:00;   137
11.04.1979 17:30:00;   118
12.05.1979 21:30:00;   120
18.06.1979 02:30:00;   163
08.07.1979 20:00:00;   141
21.08.1979 09:00:00;   134
24.09.1979 15:30:00;   128
17.10.1979 21:30:00;    69
27.11.1979 16:30:00;   161
17.12.1979 21:00:00;    71
06.01.1980 00:01:00;    49
05.02.1980 06:30:00;   119
09.03.1980 21:00:00;    85
29.04.1980 16:30:00;   135
01.05.1980 00:00:00;   102
27.06.1980 10:30:00;   134
03.07.1980 22:30:00;   158
13.08.1980 05:30:00;   120
23.09.1980 19:00:00;   123
13.10.1980 05:30:00;   123
16.11.1980 00:00:05;    65
23.12.1980 22:30:00;   119
04.01.1981 00:00:05;   101
08.02.1981 00:00:00;   142
10.03.1981 14:30:00;   102
05.04.1981 07:30:00;    46
02.05.1981 01:00:00;    99
19.06.1981 08:00:00;    82
19.07.1981 05:00:00;   170
28.08.1981 16:00:00;    97
17.09.1981 09:00:00;   127
15.10.1981 09:30:00;   120
28.11.1981 03:00:00;   120
01.12.1981 06:00:00;   135
31.01.1982 00:01:00;   119
01.02.1982 00:00:00;   119
01.03.1982 11:30:00;    87
12.04.1982 17:00:00;    59
18.05.1982 01:00:00;    92
27.06.1982 10:00:00;   103
04.07.1982 10:00:00;   117
03.08.1982 20:30:00;   139
01.09.1982 00:00:00;    72
15.10.1982 11:00:00;    71
19.11.1982 01:00:00;    88
28.12.1982 04:00:00;   125
05.01.1983 12:30:00;   141
01.02.1983 07:30:00;   115
19.03.1983 22:00:00;    91
15.04.1983 18:30:00;   110
09.05.1983 10:00:00;   129
14.06.1983 20:30:00;   158
01.07.1983 02:30:00;    78
05.08.1983 18:00:00;   122
25.09.1983 11:00:00;    71
11.10.1983 19:30:00;    77
28.11.1983 23:30:00;    84
24.12.1983 10:30:00;   120
15.01.1984 03:45:00;   100
07.02.1984 02:30:00;   110
30.03.1984 17:15:00;    76
02.04.1984 19:15:00;    63
29.05.1984 04:45:00;   117
09.06.1984 11:15:00;    87
29.07.1984 17:15:00;   130
12.08.1984 02:00:00;   113
17.09.1984 05:30:00;   144
04.10.1984 07:30:00;    85
27.11.1984 04:15:00;    82
17.12.1984 00:00:05;    69
31.01.1985 23:59:55;   128
01.02.1985 00:45:00;   129
24.03.1985 16:15:00;    93
10.04.1985 15:45:00;    75
02.05.1985 10:30:00;   106
