Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
06.01.1976 12:00:00;   164
01.02.1976 00:00:00;    79
26.03.1976 10:30:00;    90
27.04.1976 09:00:00;    93
31.05.1976 17:30:00;   144
02.06.1976 22:30:00;   205
26.07.1976 06:00:00;    98
20.08.1976 23:30:00;   107
03.09.1976 22:00:00;   121
31.10.1976 14:30:00;    89
16.11.1976 12:00:00;   120
01.12.1976 00:30:00;   123
26.01.1977 14:00:00;   100
08.02.1977 22:00:00;   230
03.03.1977 04:00:00;   158
14.04.1977 02:00:00;   243
09.05.1977 04:00:00;   130
27.06.1977 12:00:00;   187
01.07.1977 00:30:00;    97
01.08.1977 00:30:00;   250
05.09.1977 02:00:00;   231
10.10.1977 14:00:00;    80
15.11.1977 14:00:00;   120
25.12.1977 06:00:00;   220
04.01.1978 08:30:00;    94
27.02.1978 22:30:00;   108
28.03.1978 20:00:00;   144
30.04.1978 17:00:00;   101
20.05.1978 03:00:00;   138
24.06.1978 19:30:00;   105
10.07.1978 05:30:00;   195
17.08.1978 00:30:00;   214
29.09.1978 14:30:00;   160
26.10.1978 11:00:00;   181
01.11.1978 14:30:00;    70
10.12.1978 08:30:00;    94
01.01.1979 01:30:00;    77
08.02.1979 19:00:00;   193
12.03.1979 08:30:00;   299
11.04.1979 20:00:00;   183
13.05.1979 01:30:00;   144
18.06.1979 05:30:00;   217
14.07.1979 17:30:00;   134
04.08.1979 00:30:00;   260
24.09.1979 18:00:00;   170
19.10.1979 03:00:00;    81
28.11.1979 01:00:00;   301
12.12.1979 14:00:00;   126
06.01.1980 05:00:00;    76
05.02.1980 19:00:00;   234
10.03.1980 02:00:00;   110
29.04.1980 18:30:00;   212
01.05.1980 00:00:00;   192
27.06.1980 16:00:00;   220
22.07.1980 06:30:00;   269
13.08.1980 12:00:00;   129
01.09.1980 23:30:00;   145
13.10.1980 07:30:00;   178
16.11.1980 15:00:00;    98
24.12.1980 04:00:00;   228
03.01.1981 21:30:00;   253
08.02.1981 04:30:00;   301
10.03.1981 16:30:00;   255
01.04.1981 01:30:00;   139
02.05.1981 01:00:00;   207
19.06.1981 13:00:00;   155
20.07.1981 12:00:00;   371
23.08.1981 12:30:00;   170
17.09.1981 14:30:00;   192
15.10.1981 12:30:00;   233
28.11.1981 06:30:00;   237
