Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
12.01.1976 20:00:00;   155
01.02.1976 00:00:00;   121
31.03.1976 23:59:55;   126
28.04.1976 13:00:00;   164
11.05.1976 14:00:00;   161
01.06.1976 13:00:00;   159
27.07.1976 10:00:00;   160
22.08.1976 11:00:00;   161
18.09.1976 21:00:00;   161
27.10.1976 08:00:00;   139
25.11.1976 14:00:00;   120
02.12.1976 12:00:00;   114
28.01.1977 03:00:00;    74
07.02.1977 09:00:00;    84
05.03.1977 02:00:00;   120
24.04.1977 08:00:00;   100
01.05.1977 04:00:00;    96
02.06.1977 09:00:00;    89
26.07.1977 08:00:00;    82
02.08.1977 10:00:00;   129
09.09.1977 07:00:00;    84
05.10.1977 12:00:00;    80
27.11.1977 12:00:00;    66
25.12.1977 19:00:00;    87
01.01.1978 17:00:00;    69
27.02.1978 15:00:00;    78
31.03.1978 23:59:55;    84
28.04.1978 11:00:00;    92
10.05.1978 10:00:00;    91
28.06.1978 11:00:00;    82
05.07.1978 21:00:00;    90
08.08.1978 14:00:00;    89
09.09.1978 11:00:00;    90
26.10.1978 10:00:00;    87
01.11.1978 00:00:00;    78
10.12.1978 20:00:00;    77
01.01.1979 01:00:00;    73
09.02.1979 12:00:00;    66
13.03.1979 16:00:00;    96
17.04.1979 07:00:00;    91
13.05.1979 09:00:00;    96
21.06.1979 19:00:00;    77
15.07.1979 10:00:00;   104
04.08.1979 14:00:00;    75
05.09.1979 12:00:00;    80
18.10.1979 11:00:00;    75
29.11.1979 13:00:00;    95
01.12.1979 00:00:00;    87
01.01.1980 00:00:00;    67
06.02.1980 11:00:00;    75
30.03.1980 10:00:00;    85
02.04.1980 22:00:00;    96
09.05.1980 15:00:00;   104
01.06.1980 00:00:00;    97
22.07.1980 20:00:00;    97
31.08.1980 23:59:55;    76
02.09.1980 01:00:00;    98
13.10.1980 08:00:00;    84
17.11.1980 00:00:00;    73
25.12.1980 10:00:00;    77
03.01.1981 21:00:00;    77
08.02.1981 16:00:00;    74
12.03.1981 13:00:00;   122
01.04.1981 01:00:00;    98
01.05.1981 18:00:00;    91
19.06.1981 21:00:00;    90
20.07.1981 23:00:00;   109
28.08.1981 16:00:00;    95
17.09.1981 16:00:00;    94
30.10.1981 12:00:00;    81
23.11.1981 04:00:00;    95
03.12.1981 12:00:00;    79
31.01.1982 06:00:00;    90
01.02.1982 00:00:00;    84
31.03.1982 06:00:00;    80
09.04.1982 13:00:00;    94
29.05.1982 13:00:00;   101
01.06.1982 01:00:00;    87
27.07.1982 10:00:00;    91
05.08.1982 17:00:00;   101
08.09.1982 19:00:00;    69
02.10.1982 09:00:00;    81
20.11.1982 08:00:00;    69
18.12.1982 11:00:00;    72
06.01.1983 16:00:00;   101
01.02.1983 00:00:00;    90
21.03.1983 08:00:00;    87
22.04.1983 08:00:00;    95
02.05.1983 04:00:00;    88
20.06.1983 17:00:00;    78
13.07.1983 14:00:00;    77
03.08.1983 17:00:00;    88
12.09.1983 11:00:00;    72
02.10.1983 09:00:00;    77
29.11.1983 16:00:00;    72
25.12.1983 11:00:00;    87
01.01.1984 00:00:00;    75
09.02.1984 08:00:00;    68
30.03.1984 12:00:00;    77
17.04.1984 06:00:00;    90
15.05.1984 10:00:00;   102
01.06.1984 00:00:00;    73
29.07.1984 16:00:00;    98
13.08.1984 15:00:00;    78
26.09.1984 01:00:00;    85
03.10.1984 07:00:00;    85
24.11.1984 12:00:00;    66
11.12.1984 13:00:00;    64
03.01.1985 09:00:00;    62
02.02.1985 11:30:00;    79
28.03.1985 14:30:00;    71
24.04.1985 10:30:00;    92
08.05.1985 03:00:00;    92
09.06.1985 18:30:00;    85
03.07.1985 01:00:00;    85
07.08.1985 18:00:00;   105
09.09.1985 22:00:00;    96
16.10.1985 07:00:00;    82
11.11.1985 22:00:00;    71
17.12.1985 15:00:00;    86
20.01.1986 14:45:00;    78
10.02.1986 10:30:00;    74
31.03.1986 23:59:55;    75
10.04.1986 00:45:00;   105
01.05.1986 01:00:00;    94
06.06.1986 02:30:00;    80
19.07.1986 20:15:00;    73
12.08.1986 10:00:00;    75
11.09.1986 11:15:00;    70
03.10.1986 10:30:00;    75
04.11.1986 08:45:00;    76
29.12.1986 14:15:00;    81
01.01.1987 06:15:00;    79
09.02.1987 22:45:00;    81
01.03.1987 22:15:00;    79
21.04.1987 04:30:00;   101
03.05.1987 21:15:00;   101
05.06.1987 20:45:00;    99
09.07.1987 22:15:00;    79
03.08.1987 09:15:00;    92
27.09.1987 14:30:00;    85
02.10.1987 15:15:00;    79
21.11.1987 02:00:00;    73
19.12.1987 13:45:00;   113
01.01.1988 00:00:00;    73
20.02.1988 06:15:00;    69
23.03.1988 16:45:00;    80
21.04.1988 03:15:00;   103
03.05.1988 04:00:00;    97
06.06.1988 16:00:00;    95
01.07.1988 00:00:00;    69
04.08.1988 09:30:00;    75
16.09.1988 15:00:00;    88
25.10.1988 20:30:00;    76
15.11.1988 00:45:00;    76
25.12.1988 01:00:00;    86
01.01.1989 00:00:00;    76
22.02.1989 06:00:00;    93
31.03.1989 23:59:55;    92
02.04.1989 05:30:00;   100
06.05.1989 17:00:00;    99
18.06.1989 15:45:00;   116
28.07.1989 22:00:00;    94
30.08.1989 17:30:00;   115
01.09.1989 00:00:00;    93
01.10.1989 10:45:00;    84
01.11.1989 16:00:00;    87
19.12.1989 17:30:00;    76
21.01.1990 17:15:00;    71
15.02.1990 14:45:00;    80
11.03.1990 20:15:00;    99
28.04.1990 08:30:00;    89
23.05.1990 15:15:00;    77
11.06.1990 12:15:00;    88
10.07.1990 17:45:00;   111
23.08.1990 11:15:00;    77
12.09.1990 16:30:00;    83
02.10.1990 07:45:00;    77
19.11.1990 17:30:00;    77
01.12.1990 00:00:00;    70
04.01.1991 13:15:00;    80
28.02.1991 23:59:55;    67
09.03.1991 19:30:00;    79
29.04.1991 06:45:00;    73
23.05.1991 00:45:00;   100
02.06.1991 03:00:00;    86
28.07.1991 22:15:00;   127
04.08.1991 01:45:00;   154
15.09.1991 20:45:00;    71
01.10.1991 10:30:00;    80
26.11.1991 00:00:00;    67
23.12.1991 17:00:00;    98
07.01.1992 08:15:00;    68
06.02.1992 05:15:00;    72
23.03.1992 02:30:00;    87
29.04.1992 02:15:00;   103
11.05.1992 23:30:00;    97
04.06.1992 08:00:00;   103
31.07.1992 22:15:00;    74
02.08.1992 13:30:00;    74
06.09.1992 19:30:00;    91
06.10.1992 06:00:00;    79
23.11.1992 21:45:00;   124
01.12.1992 00:00:00;    88
09.01.1993 06:45:00;    92
01.02.1993 00:00:00;    71
19.03.1993 22:30:00;    94
20.04.1993 08:30:00;   116
01.05.1993 02:15:00;    85
28.06.1993 14:45:00;    93
21.07.1993 00:15:00;    94
