Messstelle:                ;Oberlaa
HZB-Nummer:                ;209353
HD-Nummer:                 ;W3
DBMS-Nummer:               ;9001003
Gewässer:                  ;Liesing
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00171,68
   01.01.2005              ;00171,48
   16.05.2018              ;00171,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;755323,29 - 333042,85
Exportzeitreihe:           ;(9001003,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
15.01.1980 17:00:00;    51
06.02.1980 12:30:00;    69
31.03.1980 14:00:00;    71
25.04.1980 12:30:00;    99
05.05.1980 18:00:00;    73
25.06.1980 03:00:00;    63
22.07.1980 09:30:00;    58
08.08.1980 19:00:00;    81
01.09.1980 18:30:00;    72
13.10.1980 02:00:00;    74
27.11.1980 01:30:00;    61
14.12.1980 18:30:00;    68
04.01.1981 03:00:00;    59
08.02.1981 13:30:00;    65
12.03.1981 05:30:00;    67
27.04.1981 11:30:00;    68
04.05.1981 23:30:00;    69
16.06.1981 13:30:00;    72
25.07.1981 02:00:00;   102
24.08.1981 15:00:00;    89
28.09.1981 21:00:00;   124
22.10.1981 17:30:00;    70
28.11.1981 06:00:00;    67
04.12.1981 16:00:00;    68
02.01.1982 08:00:00;   110
01.02.1982 00:00:00;    70
19.03.1982 04:00:00;    85
12.04.1982 05:30:00;    68
11.05.1982 07:00:00;    81
23.06.1982 23:30:00;   116
12.07.1982 14:30:00;   136
08.08.1982 21:00:00;   125
23.09.1982 13:00:00;   112
06.10.1982 20:30:00;   111
05.11.1982 09:30:00;    64
28.12.1982 12:00:00;    72
04.01.1983 04:30:00;   110
28.02.1983 19:00:00;    76
25.03.1983 09:30:00;    73
29.04.1983 22:30:00;    81
23.05.1983 17:00:00;   129
14.06.1983 03:30:00;   142
11.07.1983 19:30:00;    78
03.08.1983 07:00:00;    65
03.09.1983 20:30:00;    98
11.10.1983 21:00:00;    92
27.11.1983 18:00:00;    82
