Messstelle:                ;Koflerkreuz
HZB-Nummer:                ;202077
HD-Nummer:                 ;
DBMS-Nummer:               ;7001098
Gewässer:                  ;Zirmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;64,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1978              ;01370,00
   03.05.1983              ;01383,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;210448,31 - 229472,79
Exportzeitreihe:           ;(7001098,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
05.01.1981 05:00:00;    22
06.02.1981 23:00:00;    20
19.03.1981 08:00:00;    21
30.04.1981 10:30:00;    29
06.05.1981 06:30:00;    28
28.06.1981 13:00:00;    34
08.07.1981 15:00:00;    33
31.08.1981 10:30:00;    34
07.09.1981 08:30:00;    28
07.10.1981 20:30:00;    33
29.11.1981 21:30:00;    28
26.12.1981 01:30:00;    21
31.01.1982 02:00:00;    19
21.02.1982 06:30:00;    20
14.03.1982 20:00:00;    20
01.04.1982 09:00:00;    22
01.05.1982 06:30:00;    25
22.06.1982 08:00:00;    47
19.07.1982 11:00:00;    35
27.08.1982 13:00:00;    33
30.09.1982 08:30:00;    30
31.10.1982 23:59:55;    24
17.11.1982 09:30:00;    20
14.12.1982 07:00:00;    18
16.01.1983 02:00:00;    18
20.02.1983 14:00:00;    18
30.03.1983 09:00:00;    17
04.04.1983 09:30:00;    18
04.05.1983 10:00:00;    28
24.06.1983 14:30:00;    36
30.07.1983 18:00:00;    27
01.08.1983 21:30:00;    27
29.09.1983 19:30:00;    27
31.10.1983 23:59:55;    23
24.11.1983 11:30:00;    19
23.12.1983 22:00:00;    18
25.01.1984 07:15:00;    16
29.02.1984 23:59:55;    16
11.03.1984 06:15:00;    14
03.04.1984 04:00:00;    16
01.05.1984 07:00:00;    26
01.06.1984 00:15:00;    39
31.07.1984 23:59:55;    34
05.08.1984 15:45:00;    32
04.09.1984 15:15:00;    32
29.10.1984 08:45:00;    31
27.11.1984 23:15:00;    25
24.12.1984 23:00:00;    21
25.01.1985 00:00:00;    17
28.02.1985 23:59:55;    16
29.03.1985 06:30:00;    14
01.04.1985 09:00:00;    16
04.05.1985 07:15:00;    18
03.06.1985 10:15:00;    37
29.07.1985 18:45:00;    32
03.08.1985 15:45:00;    34
30.09.1985 23:59:55;    28
29.10.1985 13:00:00;    21
28.11.1985 08:15:00;    18
28.12.1985 12:00:00;    17
