Messstelle:                ;Kaprun
HZB-Nummer:                ;203109
HD-Nummer:                 ;
DBMS-Nummer:               ;5001010
Gewässer:                  ;Kapruner Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;88,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00763,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;406580,00 - 237230,00
Exportzeitreihe:           ;(5001010,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:15,01.01.2022 00:00]
Werte:
26.01.1976 20:15:00;    32
27.02.1976 18:30:00;    24
02.03.1976 16:30:00;    27
06.04.1976 05:00:00;    31
03.05.1976 22:00:00;    32
08.06.1976 06:30:00;    50
18.07.1976 04:15:00;    48
04.08.1976 07:30:00;    48
26.09.1976 00:00:00;    48
30.10.1976 01:15:00;    41
26.11.1976 09:15:00;    33
14.12.1976 06:30:00;    30
09.01.1977 21:45:00;    23
16.02.1977 06:45:00;    32
03.03.1977 05:00:00;    34
27.04.1977 08:00:00;    43
11.05.1977 03:30:00;    54
05.06.1977 03:30:00;    53
20.07.1977 14:30:00;    52
18.08.1977 14:30:00;    48
30.09.1977 17:30:00;    43
07.10.1977 04:15:00;    38
04.11.1977 05:00:00;    34
28.12.1977 20:15:00;    30
27.01.1978 05:15:00;    28
07.02.1978 00:30:00;    29
26.03.1978 15:15:00;    30
13.04.1978 17:45:00;    30
05.05.1978 06:15:00;    46
22.06.1978 16:00:00;    52
01.07.1978 00:30:00;    55
28.08.1978 16:30:00;    49
05.09.1978 16:15:00;    48
11.10.1978 08:30:00;    40
25.11.1978 07:15:00;    29
25.12.1978 14:45:00;    27
09.01.1979 20:15:00;    27
12.02.1979 09:15:00;    23
19.03.1979 16:30:00;    32
18.04.1979 12:45:00;    35
06.05.1979 08:30:00;    39
09.06.1979 08:15:00;    59
07.07.1979 04:15:00;    57
14.08.1979 05:15:00;    57
18.09.1979 05:15:00;    51
10.10.1979 14:45:00;    41
24.11.1979 10:00:00;    39
12.12.1979 12:30:00;    43
27.01.1980 07:45:00;    37
27.02.1980 21:15:00;    34
02.03.1980 17:00:00;    32
30.04.1980 09:00:00;    23
01.05.1980 00:00:00;    33
05.06.1980 13:00:00;    46
29.07.1980 16:30:00;    38
16.08.1980 16:30:00;    50
21.09.1980 16:30:00;    44
27.10.1980 08:45:00;    36
19.11.1980 02:30:00;    31
09.12.1980 08:30:00;    27
06.01.1981 21:30:00;    34
07.02.1981 09:15:00;    32
10.03.1981 20:30:00;    37
16.04.1981 16:00:00;    41
11.05.1981 09:15:00;    46
21.06.1981 07:15:00;    48
08.07.1981 16:15:00;    48
07.08.1981 22:15:00;    49
10.09.1981 16:45:00;    48
13.10.1981 23:45:00;    43
27.11.1981 01:00:00;    38
29.12.1981 10:00:00;    33
07.01.1982 22:00:00;    29
08.02.1982 08:00:00;    17
18.03.1982 07:45:00;    28
06.04.1982 08:45:00;    29
04.05.1982 03:15:00;    38
22.06.1982 06:30:00;    55
20.07.1982 18:30:00;    35
31.08.1982 06:15:00;    50
22.09.1982 06:00:00;    41
18.10.1982 11:30:00;    23
17.11.1982 06:45:00;    33
21.12.1982 06:30:00;    28
11.01.1983 17:30:00;    25
08.02.1983 05:00:00;    27
02.03.1983 10:30:00;    28
18.04.1983 19:45:00;    33
06.05.1983 03:45:00;    48
01.06.1983 04:45:00;    51
