Messstelle:                ;Unterweißburg
HZB-Nummer:                ;203828
HD-Nummer:                 ;
DBMS-Nummer:               ;5001077
Gewässer:                  ;Zederhausbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;161,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;01060,00
   01.01.1984              ;01059,67
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;470480,00 - 217640,00
Exportzeitreihe:           ;(5001077,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:00,01.01.2022 00:00]
Werte:
02.01.1981 18:00:00;    31
27.02.1981 08:00:00;    27
03.03.1981 17:00:00;    30
30.04.1981 12:00:00;    43
06.05.1981 11:00:00;    42
23.06.1981 14:00:00;    51
17.07.1981 13:00:00;    43
15.08.1981 21:00:00;    39
22.09.1981 17:00:00;    38
17.10.1981 05:00:00;    33
01.11.1981 01:00:00;    35
27.12.1981 13:00:00;    33
26.01.1982 06:00:00;    30
21.02.1982 08:00:00;    26
09.03.1982 14:30:00;    26
01.04.1982 14:00:00;    34
02.05.1982 16:00:00;    35
22.06.1982 14:30:00;    58
19.07.1982 09:30:00;    41
31.08.1982 23:59:55;    41
30.09.1982 20:30:00;    36
01.10.1982 04:30:00;    36
21.11.1982 08:00:00;    36
30.12.1982 00:01:00;    30
01.01.1983 00:00:00;    30
17.02.1983 08:00:00;    28
04.03.1983 18:30:00;    25
05.04.1983 16:30:00;    31
06.05.1983 13:00:00;    59
30.06.1983 16:30:00;    59
29.07.1983 00:00:00;    38
01.08.1983 08:30:00;    34
09.09.1983 07:30:00;    35
06.10.1983 07:00:00;    33
23.11.1983 19:00:00;    26
09.12.1983 00:00:00;    28
01.01.1984 00:15:00;    29
10.02.1984 10:45:00;    28
09.03.1984 07:00:00;    28
10.04.1984 06:15:00;    30
01.05.1984 13:00:00;    34
25.06.1984 20:00:00;    59
20.07.1984 18:30:00;    42
31.08.1984 09:00:00;    40
14.09.1984 16:30:00;    39
31.10.1984 13:15:00;    37
28.11.1984 06:30:00;    27
17.12.1984 10:30:00;    24
22.01.1985 14:15:00;    23
19.02.1985 06:00:00;    24
04.03.1985 10:00:00;    21
16.04.1985 09:00:00;    25
01.05.1985 07:45:00;    31
25.06.1985 14:45:00;    40
20.07.1985 19:45:00;    30
03.08.1985 20:15:00;    32
20.09.1985 09:00:00;    31
14.10.1985 08:15:00;    26
28.11.1985 09:45:00;    26
15.12.1985 02:00:00;    26
28.01.1986 04:15:00;    22
27.02.1986 09:00:00;    20
23.03.1986 10:15:00;    22
02.04.1986 12:15:00;    28
10.05.1986 07:45:00;    50
27.06.1986 06:00:00;    39
23.07.1986 12:15:00;    29
10.08.1986 02:00:00;    22
08.09.1986 21:45:00;    29
05.10.1986 13:30:00;    27
04.11.1986 04:30:00;    25
28.12.1986 16:00:00;    21
06.01.1987 11:00:00;    19
01.02.1987 10:00:00;    19
17.03.1987 04:15:00;    23
01.04.1987 17:30:00;    27
09.05.1987 08:30:00;    44
01.06.1987 08:30:00;    61
30.07.1987 07:00:00;    40
21.08.1987 19:00:00;    33
25.09.1987 16:00:00;    31
04.10.1987 12:15:00;    30
18.11.1987 10:15:00;    22
13.12.1987 10:30:00;    25
29.01.1988 06:15:00;    18
01.02.1988 17:30:00;    22
18.03.1988 08:15:00;    17
05.04.1988 15:30:00;    20
01.05.1988 13:45:00;    40
25.06.1988 17:00:00;    37
27.07.1988 17:30:00;    32
18.08.1988 12:00:00;    26
01.09.1988 20:45:00;    32
27.10.1988 06:15:00;    28
22.11.1988 05:45:00;    25
12.12.1988 07:00:00;    22
24.01.1989 02:30:00;    24
13.02.1989 15:30:00;    22
02.03.1989 17:00:00;    24
25.04.1989 14:30:00;    28
01.05.1989 04:45:00;    31
17.06.1989 08:15:00;    38
24.07.1989 16:00:00;    38
26.08.1989 09:00:00;    34
13.09.1989 19:15:00;    28
26.10.1989 13:45:00;    27
24.11.1989 13:15:00;    24
