Messstelle:                ;Mettmach
HZB-Nummer:                ;204693
HD-Nummer:                 ;2460
DBMS-Nummer:               ;4001019
Gewässer:                  ;Mettmach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;30,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1961              ;00457,34
   01.01.2015              ;00454,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1961              ;450935,00 - 337355,00
   01.01.2015              ;450779,42 - 337521,00
   24.03.2020              ;450781,44 - 337530,63
Exportzeitreihe:           ;(4001019,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
10.01.1976 13:00:00;    30
04.02.1976 12:00:00;    34
16.03.1976 11:30:00;    29
24.04.1976 13:30:00;    28
07.05.1976 16:00:00;    28
29.06.1976 17:00:00;    28
16.07.1976 20:30:00;    27
09.08.1976 12:00:00;    29
13.09.1976 16:00:00;    30
25.10.1976 12:30:00;    24
11.11.1976 09:00:00;    26
15.12.1976 17:00:00;    28
05.01.1977 10:30:00;    28
04.02.1977 16:00:00;    31
23.03.1977 16:30:00;    30
30.04.1977 06:30:00;    34
27.05.1977 17:00:00;    29
03.06.1977 09:30:00;    29
05.07.1977 17:00:00;    30
08.08.1977 04:30:00;    31
24.09.1977 18:30:00;    34
25.10.1977 19:00:00;    33
04.11.1977 16:30:00;    34
12.12.1977 18:00:00;    33
27.01.1978 12:00:00;    34
24.02.1978 12:00:00;    33
17.03.1978 09:00:00;    35
07.04.1978 11:00:00;    32
30.05.1978 13:00:00;    32
05.06.1978 19:00:00;    31
27.07.1978 18:00:00;    32
07.08.1978 18:00:00;    32
21.09.1978 17:00:00;    34
13.10.1978 17:30:00;    32
21.11.1978 13:00:00;    32
02.12.1978 11:00:00;    31
15.01.1979 12:00:00;    28
28.02.1979 10:00:00;    32
03.03.1979 11:00:00;    31
27.04.1979 17:30:00;    37
31.05.1979 16:30:00;    33
01.06.1979 16:30:00;    33
13.07.1979 15:00:00;    36
02.08.1979 19:30:00;    35
08.09.1979 16:00:00;    33
25.10.1979 18:00:00;    33
02.11.1979 10:00:00;    34
16.12.1979 08:30:00;    34
23.01.1980 12:00:00;    31
28.02.1980 11:00:00;    30
07.03.1980 08:00:00;    31
17.04.1980 16:30:00;    35
24.05.1980 18:00:00;    33
14.06.1980 17:30:00;    33
05.07.1980 10:30:00;    33
19.08.1980 14:00:00;    29
18.09.1980 17:00:00;    27
27.10.1980 18:30:00;    30
08.11.1980 08:00:00;    30
23.12.1980 07:30:00;    36
27.01.1981 15:30:00;    34
27.02.1981 07:30:00;    35
23.03.1981 16:00:00;    34
25.04.1981 10:00:00;    32
19.05.1981 18:30:00;    31
09.06.1981 16:00:00;    28
09.07.1981 18:00:00;    28
31.08.1981 14:30:00;    30
05.09.1981 19:00:00;    29
21.10.1981 13:00:00;    33
21.11.1981 17:00:00;    31
24.12.1981 17:00:00;    36
25.01.1982 19:30:00;    36
25.02.1982 17:00:00;    35
16.03.1982 14:30:00;    38
24.04.1982 13:30:00;    33
28.05.1982 17:00:00;    28
11.06.1982 17:00:00;    32
29.07.1982 12:30:00;    28
04.08.1982 12:00:00;    29
28.09.1982 14:30:00;    29
07.10.1982 14:30:00;    29
29.11.1982 02:00:00;    30
06.12.1982 12:00:00;    30
25.01.1983 15:00:00;    32
09.02.1983 12:00:00;    36
19.03.1983 14:30:00;    29
02.04.1983 13:00:00;    33
06.05.1983 16:30:00;    31
07.06.1983 09:00:00;    32
30.07.1983 20:30:00;    27
31.08.1983 17:00:00;    27
08.09.1983 16:00:00;    26
31.10.1983 08:00:00;    30
15.11.1983 12:00:00;    28
29.12.1983 16:00:00;    31
31.01.1984 09:30:00;    29
23.02.1984 09:30:00;    29
23.03.1984 17:15:00;    30
30.04.1984 08:30:00;    30
05.05.1984 13:45:00;    26
02.06.1984 10:30:00;    28
12.07.1984 15:00:00;    29
31.08.1984 20:30:00;    29
05.09.1984 06:00:00;    29
29.10.1984 12:45:00;    20
30.11.1984 11:30:00;    22
13.12.1984 15:15:00;    19
25.01.1985 14:30:00;    15
28.02.1985 15:30:00;    26
30.03.1985 10:30:00;    24
21.04.1985 16:00:00;    25
17.05.1985 14:45:00;    27
04.06.1985 16:30:00;    28
26.07.1985 15:00:00;    28
16.08.1985 00:45:00;    23
30.09.1985 09:15:00;    29
29.10.1985 18:00:00;    28
16.11.1985 15:15:00;    24
09.12.1985 16:00:00;    31
07.01.1986 09:45:00;    29
03.02.1986 13:15:00;    36
06.03.1986 14:15:00;    32
30.04.1986 10:00:00;    31
21.05.1986 06:30:00;    28
19.06.1986 19:30:00;    28
05.07.1986 16:30:00;    28
04.08.1986 06:45:00;    29
15.09.1986 13:45:00;    28
13.10.1986 09:30:00;    26
15.11.1986 14:00:00;    28
01.12.1986 10:15:00;    26
28.01.1987 14:15:00;    30
25.02.1987 05:00:00;    33
17.03.1987 14:00:00;    25
25.04.1987 00:00:00;    34
11.05.1987 20:15:00;    33
10.06.1987 13:15:00;    33
11.07.1987 13:15:00;    33
20.08.1987 18:45:00;    32
15.09.1987 00:45:00;    29
15.10.1987 15:45:00;    30
17.11.1987 15:45:00;    30
14.12.1987 17:15:00;    28
01.01.1988 17:15:00;    33
08.02.1988 17:00:00;    33
09.03.1988 15:30:00;    35
26.04.1988 14:45:00;    31
03.05.1988 02:45:00;    32
27.06.1988 22:30:00;    31
24.07.1988 12:00:00;    28
12.08.1988 22:00:00;    27
26.09.1988 09:45:00;    30
08.10.1988 19:00:00;    29
04.11.1988 13:45:00;    29
19.12.1988 08:15:00;    34
23.01.1989 15:30:00;    32
01.02.1989 00:00:00;    33
15.03.1989 10:00:00;    33
01.04.1989 14:00:00;    33
27.05.1989 19:15:00;    26
10.06.1989 10:15:00;    25
24.07.1989 19:30:00;    29
21.08.1989 18:00:00;    28
07.09.1989 17:00:00;    30
28.10.1989 11:15:00;    24
18.11.1989 14:45:00;    25
05.12.1989 13:00:00;    29
21.01.1990 00:00:05;    25
06.02.1990 11:00:00;    27
04.03.1990 08:15:00;    30
01.04.1990 03:30:00;    33
19.05.1990 20:30:00;    27
02.06.1990 17:45:00;    28
30.07.1990 15:00:00;    28
13.08.1990 14:30:00;    26
04.09.1990 17:45:00;    28
