Messstelle:                ;Strötting
HZB-Nummer:                ;204974
HD-Nummer:                 ;3620
DBMS-Nummer:               ;4001046
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;54
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00376,00
   01.01.1988              ;00379,04
   01.01.2009              ;00378,04
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;479880,00 - 342910,00
   22.06.2009              ;479868,00 - 342894,00
   01.10.2020              ;479873,64 - 342899,90
Exportzeitreihe:           ;(4001046,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.1976 02:30:00;    24
25.02.1976 17:30:00;    24
06.03.1976 03:30:00;    15
15.04.1976 13:30:00;    17
19.05.1976 17:00:00;    14
22.06.1976 21:30:00;    15
03.07.1976 14:30:00;    14
03.08.1976 21:30:00;    20
12.09.1976 15:00:00;    22
30.10.1976 14:00:00;    23
12.11.1976 21:30:00;    26
26.12.1976 23:30:00;    27
14.01.1977 03:00:00;    22
04.02.1977 20:30:00;    34
24.03.1977 21:00:00;    29
08.04.1977 13:00:00;    28
25.05.1977 09:00:00;    26
18.06.1977 14:00:00;    19
27.07.1977 12:30:00;    18
09.08.1977 19:30:00;    25
24.09.1977 13:00:00;    25
04.10.1977 16:00:00;    21
02.11.1977 16:30:00;    22
05.12.1977 01:30:00;    24
23.01.1978 15:30:00;    27
13.02.1978 07:30:00;    23
20.03.1978 11:30:00;    36
29.04.1978 16:30:00;    29
31.05.1978 10:30:00;    24
22.06.1978 23:00:00;    19
01.07.1978 01:30:00;    21
24.08.1978 03:30:00;    19
22.09.1978 00:30:00;    19
13.10.1978 15:00:00;    24
12.11.1978 09:30:00;    24
05.12.1978 06:00:00;    23
06.01.1979 00:01:00;    25
01.02.1979 00:00:00;    25
02.03.1979 17:00:00;    31
27.04.1979 08:30:00;    38
30.05.1979 22:30:00;    27
12.06.1979 19:00:00;    23
27.07.1979 20:30:00;    24
02.08.1979 19:30:00;    25
20.09.1979 01:30:00;    24
22.10.1979 14:30:00;    20
01.11.1979 10:00:00;    22
31.12.1979 23:59:55;    30
28.01.1980 03:00:00;    24
23.02.1980 14:00:00;    27
07.03.1980 12:30:00;    27
01.04.1980 00:00:00;    31
30.05.1980 22:00:00;    29
17.06.1980 06:00:00;    25
29.07.1980 20:30:00;    29
24.08.1980 14:30:00;    25
07.09.1980 07:30:00;    25
06.10.1980 15:00:00;    24
04.11.1980 14:30:00;    24
01.12.1980 00:00:00;    29
28.01.1981 00:01:00;    30
28.02.1981 06:00:00;    26
02.03.1981 17:30:00;    29
30.04.1981 14:30:00;    25
31.05.1981 05:30:00;    23
30.06.1981 10:00:00;    17
09.07.1981 10:30:00;    16
07.08.1981 20:30:00;    22
13.09.1981 06:30:00;    21
10.10.1981 07:30:00;    25
25.11.1981 19:30:00;    33
29.12.1981 05:30:00;    35
25.01.1982 21:30:00;    31
28.02.1982 05:00:00;    39
01.03.1982 00:00:00;    43
28.04.1982 06:00:00;    36
14.05.1982 07:00:00;    30
04.06.1982 23:30:00;    29
23.07.1982 23:30:00;    27
05.08.1982 23:00:00;    29
25.09.1982 00:00:00;    28
28.10.1982 22:00:00;    28
09.11.1982 18:00:00;    28
04.12.1982 18:30:00;    32
02.01.1983 09:30:00;    47
22.02.1983 01:00:00;    39
29.03.1983 12:30:00;    42
07.04.1983 11:30:00;    44
30.05.1983 22:30:00;    35
26.06.1983 19:30:00;    32
23.07.1983 00:30:00;    22
27.08.1983 10:30:00;    19
20.09.1983 05:00:00;    15
01.10.1983 11:30:00;    20
19.11.1983 00:30:00;    20
14.12.1983 11:00:00;    25
12.01.1984 09:45:00;    31
01.02.1984 04:00:00;    38
26.03.1984 20:15:00;    40
30.04.1984 09:15:00;    22
27.05.1984 03:15:00;    20
28.06.1984 01:30:00;    13
10.07.1984 22:30:00;    13
23.08.1984 22:45:00;    15
07.09.1984 09:30:00;     8
24.10.1984 10:30:00;    20
18.11.1984 12:15:00;    18
31.12.1984 18:30:00;    15
01.01.1985 00:00:00;    16
24.02.1985 12:45:00;    28
01.03.1985 10:00:00;    31
23.04.1985 02:00:00;    27
26.05.1985 14:30:00;    23
30.06.1985 23:59:55;    21
11.07.1985 23:45:00;    17
03.08.1985 22:00:00;    20
30.09.1985 17:15:00;    24
22.10.1985 13:15:00;    20
28.11.1985 07:00:00;    18
10.12.1985 03:45:00;    28
09.01.1986 22:15:00;    27
22.02.1986 23:00:00;    19
04.03.1986 08:15:00;    26
30.04.1986 00:00:00;    26
26.05.1986 22:30:00;    20
29.06.1986 05:15:00;    18
30.07.1986 18:15:00;    15
07.08.1986 20:45:00;    14
27.09.1986 04:00:00;    14
04.10.1986 22:00:00;    13
20.11.1986 08:30:00;    18
04.12.1986 07:30:00;    18
29.01.1987 22:30:00;    17
01.02.1987 21:45:00;    22
13.03.1987 03:45:00;    28
30.04.1987 23:59:55;    28
01.05.1987 01:30:00;    28
13.06.1987 07:00:00;    30
14.07.1987 14:30:00;    25
31.08.1987 05:30:00;    21
14.09.1987 20:30:00;    18
11.10.1987 03:15:00;    18
08.11.1987 18:45:00;    14
16.12.1987 03:00:00;    22
17.01.1988 05:45:00;    27
29.02.1988 15:30:00;    34
06.03.1988 08:00:00;    30
30.04.1988 23:59:55;    32
29.05.1988 17:00:00;    24
30.06.1988 23:59:55;    18
06.07.1988 00:30:00;    16
12.08.1988 20:00:00;    16
28.09.1988 05:00:00;    17
14.10.1988 11:45:00;    15
02.11.1988 14:15:00;    19
03.12.1988 16:45:00;    32
31.01.1989 19:15:00;    29
12.02.1989 19:45:00;    27
31.03.1989 03:45:00;    30
29.04.1989 23:15:00;    25
29.05.1989 10:45:00;    24
15.06.1989 20:45:00;    18
25.07.1989 21:15:00;    16
29.08.1989 09:00:00;    15
01.09.1989 04:45:00;    15
01.10.1989 03:00:00;    20
26.11.1989 02:15:00;    20
10.12.1989 20:00:00;    14
15.01.1990 10:45:00;    23
08.02.1990 06:30:00;    24
18.03.1990 14:30:00;    26
06.04.1990 18:15:00;    25
31.05.1990 03:30:00;    23
02.06.1990 16:45:00;    22
30.07.1990 04:45:00;    21
30.08.1990 21:45:00;    17
06.09.1990 20:45:00;    17
25.10.1990 20:45:00;    16
10.11.1990 03:45:00;    28
18.12.1990 10:15:00;    25
31.01.1991 02:45:00;    19
18.02.1991 07:30:00;    18
02.03.1991 11:15:00;    25
14.04.1991 20:00:00;    23
31.05.1991 23:59:55;    23
13.06.1991 13:45:00;    21
17.07.1991 01:30:00;    25
31.08.1991 13:00:00;    25
30.09.1991 19:00:00;    19
15.10.1991 22:00:00;    16
01.11.1991 08:45:00;    19
09.12.1991 18:00:00;    17
21.01.1992 03:15:00;    24
01.02.1992 00:00:00;    26
05.03.1992 14:30:00;    27
22.04.1992 15:15:00;    27
30.05.1992 19:30:00;    20
28.06.1992 19:45:00;    16
30.07.1992 16:15:00;    14
02.08.1992 04:15:00;    12
24.09.1992 23:00:00;    11
13.10.1992 15:30:00;    14
02.11.1992 14:30:00;    23
29.12.1992 11:45:00;    26
04.01.1993 10:45:00;    23
23.02.1993 03:30:00;    23
10.03.1993 06:45:00;    17
29.04.1993 22:45:00;    26
28.05.1993 00:30:00;    17
07.06.1993 13:15:00;    15
05.07.1993 14:30:00;    17
22.08.1993 01:15:00;    15
25.09.1993 13:45:00;    22
16.10.1993 10:45:00;    22
27.11.1993 11:00:00;    23
01.12.1993 13:30:00;    24
23.01.1994 01:45:00;    31
19.02.1994 23:45:00;    28
01.03.1994 10:30:00;    32
08.04.1994 08:45:00;    36
31.05.1994 23:59:55;    27
30.06.1994 08:00:00;    20
26.07.1994 23:15:00;    11
01.08.1994 14:45:00;     7
28.09.1994 23:45:00;    13
21.10.1994 11:30:00;    13
04.11.1994 19:30:00;    14
03.12.1994 14:00:00;    20
08.01.1995 23:45:00;    26
12.02.1995 20:15:00;    31
17.03.1995 03:15:00;    30
30.04.1995 23:59:55;    31
28.05.1995 23:00:00;    25
04.06.1995 16:00:00;    25
