Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.1976 00:30:00;    68
17.02.1976 18:30:00;    58
16.03.1976 19:00:00;    50
21.04.1976 18:30:00;    52
17.05.1976 00:00:00;    50
30.06.1976 21:30:00;    49
18.07.1976 06:30:00;    48
04.08.1976 05:00:00;    50
24.09.1976 19:00:00;    49
11.10.1976 14:30:00;    38
08.11.1976 12:00:00;    56
28.12.1976 12:30:00;    61
01.01.1977 00:30:00;    59
03.02.1977 14:30:00;    72
27.03.1977 14:00:00;    65
01.04.1977 00:00:00;    74
30.05.1977 14:00:00;    63
11.06.1977 14:00:00;    59
16.07.1977 15:00:00;    58
09.08.1977 14:00:00;    63
24.09.1977 15:00:00;    60
30.10.1977 15:00:00;    60
01.11.1977 00:00:00;    60
23.12.1977 14:00:00;    63
24.01.1978 17:00:00;    57
21.02.1978 13:00:00;    53
19.03.1978 14:00:00;    76
25.04.1978 16:30:00;    42
02.05.1978 18:30:00;    60
16.06.1978 21:00:00;    55
31.07.1978 13:30:00;    52
29.08.1978 21:30:00;    38
05.09.1978 21:00:00;    43
15.10.1978 17:00:00;    64
24.11.1978 19:30:00;    50
07.12.1978 20:00:00;    50
23.01.1979 19:30:00;    49
27.02.1979 13:30:00;    53
02.03.1979 13:30:00;    54
27.04.1979 14:00:00;    78
31.05.1979 08:30:00;    60
12.06.1979 18:30:00;    56
31.07.1979 23:59:55;    64
22.08.1979 13:00:00;    63
30.09.1979 20:30:00;    58
31.10.1979 19:00:00;    59
01.11.1979 16:30:00;    62
31.12.1979 23:59:55;    75
13.01.1980 17:00:00;    66
24.02.1980 08:30:00;    72
07.03.1980 14:30:00;    70
01.04.1980 06:30:00;    80
26.05.1980 23:30:00;    69
17.06.1980 16:00:00;    65
20.07.1980 12:00:00;    72
25.08.1980 17:30:00;    65
08.09.1980 05:30:00;    65
06.10.1980 23:00:00;    66
05.11.1980 22:00:00;    68
02.12.1980 09:30:00;    68
30.01.1981 09:00:00;   128
28.02.1981 11:30:00;   128
03.03.1981 04:30:00;   130
26.04.1981 23:30:00;   120
19.05.1981 17:00:00;   120
16.06.1981 12:30:00;   107
06.07.1981 02:30:00;   115
19.08.1981 21:30:00;   116
29.09.1981 03:30:00;   120
10.10.1981 10:30:00;   119
09.11.1981 00:30:00;   132
