Messstelle:                ;Hinterer Gosausee
HZB-Nummer:                ;205575
HD-Nummer:                 ;4155
DBMS-Nummer:               ;4003155
Gewässer:                  ;Hinterer Gosausee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;16,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.2002              ;01110,76
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2020              ;465970,00 - 262808,00
Exportzeitreihe:           ;(4003155,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[17.10.2002 16:00,01.01.2022 00:00]
Werte:
31.10.2002 23:59:55;  2513
30.11.2002 23:59:55;  2165
30.12.2002 22:00:00;  1728
31.01.2003 23:59:55;  1366
28.02.2003 21:00:00;  1099
25.03.2003 09:00:00;  1000
14.04.2003 11:00:00;  1029
01.05.2003 00:00:00;  1371
01.06.2003 00:00:00;  2246
16.07.2003 15:00:00;  2747
01.08.2003 00:00:00;  3032
30.09.2003 23:59:55;  2880
31.10.2003 23:00:00;  2412
30.11.2003 23:59:55;  1893
31.12.2003 23:59:55;  1460
31.01.2004 23:59:55;  1158
29.02.2004 23:59:55;  1032
15.03.2004 12:00:00;   978
01.04.2004 09:00:00;  1031
01.05.2004 00:00:00;  1390
01.06.2004 00:00:00;  2121
01.07.2004 00:00:00;  3205
12.08.2004 18:00:00;  3436
23.09.2004 04:00:00;  3221
31.10.2004 23:59:55;  2649
30.11.2004 23:59:55;  2098
31.12.2004 23:59:55;  1575
31.01.2005 23:59:55;  1221
28.02.2005 20:00:00;  1032
17.03.2005 18:00:00;   966
01.04.2005 00:00:00;  1134
01.05.2005 00:00:00;  1393
01.06.2005 00:00:00;  2637
01.07.2005 00:00:00;  3273
14.08.2005 16:00:00;  3453
29.09.2005 18:00:00;  3054
31.10.2005 23:59:55;  2457
30.11.2005 23:00:00;  1881
31.12.2005 23:59:55;  1438
31.01.2006 23:00:00;  1112
28.02.2006 23:59:55;   971
25.03.2006 05:00:00;   913
01.04.2006 00:00:00;  1012
01.05.2006 00:00:00;  1615
10.06.2006 16:00:00;  2760
29.07.2006 05:00:00;  3410
30.08.2006 12:00:00;  3338
30.09.2006 23:59:55;  3083
31.10.2006 23:00:00;  2411
30.11.2006 23:59:55;  2082
31.12.2006 23:00:00;  1609
19.01.2007 03:00:00;  1414
28.02.2007 17:00:00;  1168
31.03.2007 14:00:00;  1084
07.04.2007 12:00:00;  1076
01.05.2007 00:00:00;  1386
01.06.2007 10:00:00;  2068
02.07.2007 16:00:00;  2494
11.08.2007 15:00:00;  2524
01.09.2007 00:00:00;  2675
31.10.2007 23:59:55;  2445
30.11.2007 23:59:55;  2001
31.12.2007 23:59:55;  1566
31.01.2008 23:59:55;  1234
26.02.2008 10:00:00;  1059
01.03.2008 00:00:00;  1060
09.04.2008 10:00:00;  1063
01.05.2008 00:00:00;  1367
01.06.2008 00:00:00;  2586
31.07.2008 08:00:00;  3544
31.08.2008 23:00:00;  3392
30.09.2008 23:59:55;  2857
31.10.2008 21:00:00;  2262
30.11.2008 22:00:00;  1748
31.12.2008 23:59:55;  1384
31.01.2009 23:00:00;  1090
28.02.2009 20:00:00;   997
28.03.2009 11:00:00;   945
01.04.2009 08:00:00;   945
01.05.2009 00:00:00;  1630
01.06.2009 00:00:00;  3054
31.07.2009 21:00:00;  3513
26.08.2009 15:00:00;  3488
30.09.2009 23:59:55;  3157
31.10.2009 23:59:55;  2554
30.11.2009 22:00:00;  2036
31.12.2009 23:00:00;  1610
31.01.2010 23:59:55;  1250
28.02.2010 11:00:00;  1043
20.03.2010 09:00:00;   973
01.04.2010 00:00:00;  1075
01.05.2010 00:00:00;  1280
01.06.2010 00:00:00;  2283
03.07.2010 09:00:00;  3075
24.08.2010 02:00:00;  3440
30.09.2010 23:59:55;  3046
31.10.2010 23:00:00;  2345
30.11.2010 23:00:00;  1835
31.12.2010 23:59:55;  1439
31.01.2011 23:00:00;  1209
28.02.2011 21:00:00;  1035
14.03.2011 10:00:00;   983
01.04.2011 00:00:00;  1036
11.05.2011 06:00:00;  1275
01.06.2011 00:00:00;  1744
