Messstelle:                ;Sturmmühle
HZB-Nummer:                ;206037
HD-Nummer:                 ;9520
DBMS-Nummer:               ;4001145
Gewässer:                  ;Klambach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;87,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1955              ;00232,56
   01.01.1971              ;00231,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;557410,00 - 342600,00
   27.03.2020              ;557396,91 - 342600,85
Exportzeitreihe:           ;(4001145,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
01.01.1976 02:00:00;   137
16.02.1976 08:00:00;   133
23.03.1976 08:00:00;   127
30.04.1976 23:59:55;   125
05.05.1976 10:00:00;   124
30.06.1976 23:59:55;   122
07.07.1976 08:00:00;   119
16.08.1976 08:00:00;   121
16.09.1976 08:00:00;   122
02.10.1976 08:00:00;   121
08.11.1976 08:00:00;   126
30.12.1976 08:00:00;   129
14.01.1977 14:00:00;   127
01.02.1977 02:00:00;   133
17.03.1977 08:00:00;   132
01.04.1977 00:00:00;   134
26.05.1977 10:00:00;   125
13.06.1977 08:00:00;   117
04.07.1977 08:00:00;   117
01.08.1977 00:00:00;   121
19.09.1977 08:00:00;   117
07.10.1977 10:00:00;   124
07.11.1977 08:00:00;   122
21.12.1977 08:00:00;   122
11.01.1978 08:00:00;   128
08.02.1978 08:00:00;   125
19.03.1978 08:00:00;   130
12.04.1978 08:00:00;   129
23.05.1978 08:00:00;   118
08.06.1978 08:00:00;   116
26.07.1978 08:00:00;   118
04.08.1978 08:00:00;   118
18.09.1978 08:00:00;   118
12.10.1978 08:00:00;   120
25.11.1978 08:00:00;   121
03.12.1978 10:00:00;   121
19.01.1979 00:01:00;   124
01.02.1979 00:00:00;   125
02.03.1979 08:00:00;   129
27.04.1979 08:00:00;   143
31.05.1979 23:59:55;   126
02.06.1979 08:00:00;   125
01.07.1979 02:00:00;   125
31.08.1979 23:59:55;   126
19.09.1979 08:00:00;   122
10.10.1979 08:00:00;   116
04.11.1979 10:00:00;   123
10.12.1979 08:00:00;   135
28.01.1980 08:00:00;   123
01.02.1980 00:00:00;   128
29.03.1980 08:00:00;   131
01.04.1980 00:00:00;   135
28.05.1980 08:00:00;   127
17.06.1980 10:00:00;   124
01.07.1980 02:00:00;   131
20.08.1980 08:00:00;   124
30.09.1980 10:00:00;   123
03.10.1980 10:00:00;   122
13.11.1980 08:00:00;   125
03.12.1980 08:00:00;   124
24.01.1981 08:00:00;   131
01.02.1981 00:00:00;   132
02.03.1981 10:00:00;   133
22.04.1981 10:00:00;   127
31.05.1981 23:59:55;   124
15.06.1981 08:00:00;   122
06.07.1981 08:00:00;   121
22.08.1981 08:00:00;   119
04.09.1981 10:00:00;   120
10.10.1981 08:00:00;   123
11.11.1981 08:00:00;   132
28.12.1981 00:01:00;   133
01.01.1982 00:00:00;   133
28.02.1982 10:00:00;   131
01.03.1982 00:00:00;   131
25.04.1982 10:00:00;   131
15.05.1982 10:00:00;   127
12.06.1982 08:00:00;   123
26.07.1982 10:00:00;   123
31.08.1982 23:59:55;   123
02.09.1982 08:00:00;   122
04.10.1982 08:00:00;   122
01.11.1982 00:00:00;   122
05.12.1982 08:00:00;   121
01.01.1983 00:00:00;   121
26.02.1983 08:00:00;   133
31.03.1983 23:59:55;   135
02.04.1983 08:00:00;   134
30.05.1983 10:00:00;   127
07.06.1983 08:00:00;   123
26.07.1983 10:00:00;   120
31.08.1983 10:00:00;   103
26.09.1983 08:00:00;   100
03.10.1983 08:00:00;   100
03.11.1983 08:00:00;   101
05.12.1983 00:00:05;   100
30.01.1984 00:01:00;   104
01.02.1984 00:00:00;   104
25.03.1984 00:00:00;   114
03.04.1984 07:45:00;   115
23.05.1984 08:15:00;   115
28.06.1984 08:15:00;   110
08.07.1984 10:15:00;   111
27.08.1984 08:15:00;   102
13.09.1984 07:45:00;   100
16.10.1984 10:45:00;   108
26.11.1984 06:45:00;   100
27.12.1984 08:45:00;    99
07.01.1985 00:01:00;   106
01.02.1985 00:00:00;   111
21.03.1985 06:45:00;   111
10.04.1985 07:00:00;   123
15.05.1985 06:15:00;   114
19.06.1985 06:15:00;   113
16.07.1985 14:45:00;   116
03.08.1985 20:00:00;   126
19.09.1985 09:45:00;   120
23.10.1985 19:15:00;   117
04.11.1985 11:00:00;   115
02.12.1985 07:45:00;   116
08.01.1986 19:15:00;   119
26.02.1986 00:01:00;   125
12.03.1986 08:00:00;   117
21.04.1986 06:30:00;   113
09.05.1986 15:30:00;   107
09.06.1986 07:15:00;   115
30.07.1986 16:15:00;   107
11.08.1986 05:00:00;   106
03.09.1986 06:45:00;   107
13.10.1986 12:45:00;   104
12.11.1986 12:30:00;   106
17.12.1986 22:00:00;   108
31.01.1987 00:01:00;   123
01.02.1987 00:00:00;   123
18.03.1987 08:45:00;   128
30.04.1987 23:59:55;   124
11.05.1987 08:00:00;   115
